Dates,Open,High,Low,Close,Volume
2011-10-26,165.65,165.65,165.65,165.65,0
2011-10-28,167.25,167.25,167.25,167.25,0
2011-10-31,167.7,167.7,167.7,167.7,0
2011-11-01,163.7,163.7,163.7,163.7,0
2011-11-02,161.6,161.6,161.6,161.6,0
2011-11-03,165.8,165.8,165.8,165.8,0
2011-11-04,168.6,168.6,168.6,168.6,0
2011-11-08,164.9,164.9,164.9,164.9,0
2011-11-09,161.9,161.9,161.9,161.9,0
2011-11-11,153.45,153.45,153.45,153.45,0
2011-11-14,158.1,158.1,158.1,158.1,0
2011-11-15,147.35,147.35,147.35,147.35,0
2011-11-16,135,135,135,135,0
2011-11-17,134.55,134.55,134.55,134.55,0
2011-11-18,140.4,140.4,140.4,140.4,0
2011-11-21,138.95,138.95,138.95,138.95,0
2011-11-22,134.6,134.6,134.6,134.6,0
2011-11-23,125.6,125.6,125.6,125.6,0
2011-11-24,120,120,119,119.65,2
2011-11-25,119.4,120.85,119,120.85,6
2011-11-28,122.55,124.35,122.55,124.35,6
2011-11-29,128,128.2,126.6,126.6,12
2011-11-30,123.05,123.25,122,123,17
2011-12-01,126,126,123,123.4,23
2011-12-02,125.65,131.5,124.1,130,18
2011-12-05,127.9,127.9,126,130.9,5
2011-12-07,129.5,131,129.2,129.95,18
2011-12-08,126,126.6,124,130.5,6
2011-12-09,126.9,127.75,126.9,128.9,6
2011-12-12,127.95,127.95,125.35,126.25,35
2011-12-13,126.25,126.25,124.95,129.65,11
2011-12-14,128.25,129.65,128.25,131.9,19
2011-12-15,123.8,124.5,123.3,123.3,13
2011-12-16,127.25,127.25,121,121.85,37
2011-12-19,121.4,121.4,116,117.4,20
2011-12-20,118.2,119.95,116,119,107
2011-12-21,122,122,119.5,121.4,281
2011-12-22,121,121.3,118,120.7,1491
2011-12-23,123,124.35,119.2,121.75,1091
2011-12-26,122,122.95,117.05,120.45,1359
2011-12-27,119.8,124.6,119.8,122.8,1266
2011-12-28,122.65,122.7,118.4,119.35,769
2011-12-29,120.85,127.75,114,117.95,1837
2011-12-30,117.95,119.8,116.8,117.8,522
2012-01-02,120,120.7,107.7,112.1,1188
2012-01-03,113.75,119.65,112.6,119,764
2012-01-04,117.7,121.8,116.15,121.1,647
2012-01-05,119.5,124.85,119.4,124.1,489
2012-01-06,124,125.8,121.5,124.8,797
2012-01-07,123.65,126,123.65,125.35,54
2012-01-09,125.15,130.4,123.75,129.4,781
2012-01-10,131.15,134.2,130.9,133.25,517
2012-01-11,133,139.4,131.75,136,955
2012-01-12,134,134.5,130,131.7,1073
2012-01-13,132.3,132.8,129.65,131.7,753
2012-01-16,130.7,136.8,130.7,136.2,1465
2012-01-17,137.4,141.15,135.45,140.1,844
2012-01-18,141,144,139.25,142.45,693
2012-01-19,149.4,150.85,143.8,149.5,605
2012-01-20,151.5,158,149.75,156.4,1093
2012-01-23,154,155.3,146.25,147.2,1995
2012-01-24,148.2,153,145.3,150.3,2351
2012-01-25,151,151,142.8,143.2,1937
