Dates,Open,High,Low,Close,Volume
2010-12-31,294.33,294.33,294.33,294.33,0
2011-01-03,293.66,293.66,293.66,293.66,0
2011-01-04,289.72,289.72,289.72,289.72,0
2011-01-05,294.19,294.19,294.19,294.19,0
2011-01-06,290.92,290.92,290.92,290.92,0
2011-01-07,283.24,283.24,283.24,283.24,0
2011-01-10,273.12,273.12,273.12,273.12,0
2011-01-11,275.64,275.64,275.64,275.64,0
2011-01-12,277.94,277.94,277.94,277.94,0
2011-01-13,276.63,276.63,276.63,276.63,0
2011-01-14,277.82,277.82,277.82,277.82,0
2011-01-17,271.21,271.21,271.21,271.21,0
2011-01-18,270.29,270.29,270.29,270.29,0
2011-01-19,271.65,271.65,271.65,271.65,0
2011-01-20,272.17,272.17,272.17,272.17,0
2011-01-21,271.02,271.02,271.02,271.02,0
2011-01-24,266.49,266.49,266.49,266.49,0
2011-01-25,264.31,264.31,264.31,264.31,0
2011-01-27,264.18,264.18,264.18,264.18,0
2011-01-28,261.96,261.96,261.96,261.96,0
2011-01-31,252.5,252.5,252.5,261.66,2
2011-02-01,251.14,251.54,247.5,252.5,4
2011-02-02,252.21,252.21,252.21,252.21,0
2011-02-03,250.71,250.71,250.71,250.71,0
2011-02-04,252.12,252.12,252.12,252.12,0
2011-02-07,253.56,253.56,253.56,253.56,0
2011-02-08,251.24,251.24,251.24,251.24,0
2011-02-09,247.74,247.74,247.74,250.74,1
2011-02-10,250.61,250.61,250.61,251.49,1
2011-02-11,252.98,252.98,252.98,252.98,0
2011-02-14,250.61,258.2,250.61,263.04,2
2011-02-15,261,261,261,261,1
2011-02-16,259.54,259.54,259.54,259.54,1
2011-02-17,257.86,263.01,257.86,262.32,6
2011-02-18,262.1,262.1,260.9,261.08,5
2011-02-21,263.66,263.66,253.1,258.01,145
2011-02-22,256.1,256.5,252.16,252.61,107
2011-02-23,248.86,251,246.59,249.66,266
2011-02-24,248.1,248.89,240.21,241.32,538
2011-02-25,242.5,243,239.32,240.89,274
2011-02-28,243.5,244.9,240,240.76,124
2011-03-01,242.95,254.49,242,253.19,194
2011-03-03,252.2,256.85,250.1,255.46,243
2011-03-04,257.6,260.7,251.04,252.28,286
2011-03-07,250.05,253.39,245.11,251.06,100
2011-03-08,251.3,253.2,250.81,251.46,111
2011-03-09,252.49,252.95,251.01,251.46,157
2011-03-10,250.72,252.18,250.61,251.46,32
2011-03-11,250.7,254.3,250.45,252.83,138
2011-03-14,253.8,255.37,251.5,253.39,43
2011-03-15,250.81,254.88,249.4,254.23,148
2011-03-16,257.25,257.25,254.53,255.21,71
2011-03-17,252.1,259.5,251.51,258.92,243
2011-03-18,261,261,250.11,253.99,382
2011-03-21,254.51,254.51,248,252.77,58
2011-03-22,253.85,255.59,251.7,251.96,62
2011-03-23,252,254.9,251.53,254.39,68
2011-03-24,255.38,255.7,251.2,251.53,81
2011-03-25,253.5,262.4,252.5,253.24,148
2011-03-28,255.5,255.5,252.01,252.19,205
2011-03-29,253.67,253.67,251.66,252.06,70
2011-03-30,250.53,258.7,236.2,254.83,925
2011-03-31,251.11,257,251.11,252.58,476
2011-04-01,254.51,256.15,253.67,254.15,152
