Dates,Open,High,Low,Close,Volume
2010-12-31,276.08,276.08,276.08,276.08,0
2011-01-03,274.84,275.01,274.84,279.44,6
2011-01-04,275.39,275.39,275.39,275.39,0
2011-01-05,267.77,267.77,267.77,267.77,0
2011-01-06,266.65,266.65,266.65,266.65,0
2011-01-07,260.71,260.71,260.71,261.36,1
2011-01-10,255.93,255.93,255.93,255.93,0
2011-01-11,265.14,265.14,265.14,265.14,0
2011-01-12,267.79,267.79,267.79,267.79,0
2011-01-13,260.2,260.2,260.2,257.99,1
2011-01-14,248.4,248.4,240.95,244.94,3
2011-01-17,236,249.2,236,250.35,6
2011-01-18,258.6,263.43,250.3,260.29,3
2011-01-19,260.64,260.64,260.64,260.64,0
2011-01-20,264.19,265.36,264.19,261.58,21
2011-01-21,261,261,260.02,260.02,2
2011-01-24,266.66,270.42,266.66,269.6,10
2011-01-25,268.85,270.42,261.4,261.5,9
2011-01-27,266.45,266.45,260.6,261.35,30
2011-01-28,261.9,261.9,252,253.41,62
2011-01-31,250.78,254.61,248,250.6,63
2011-02-01,252.15,253,249.31,250.53,51
2011-02-02,251.09,251.17,246.13,247.28,101
2011-02-03,246,255.36,246,253.74,76
2011-02-04,251.6,255.61,244.6,245.76,94
2011-02-07,248.21,249.22,245,247.31,75
2011-02-08,247.41,247.41,238.8,239.73,112
2011-02-09,237.69,240.7,233,234.31,354
2011-02-10,236.4,240.6,232.46,235.12,150
2011-02-11,235.97,246.71,233.96,245.92,173
2011-02-14,246.47,255.84,246.47,254.87,218
2011-02-15,254.92,258.37,251.42,255.67,292
2011-02-16,256.21,261.2,256.21,260.08,415
2011-02-17,261.53,265.4,259.2,264.27,2064
2011-02-18,264,268.57,258.82,259.83,2074
2011-02-21,259.45,263.75,256.4,263.15,1579
2011-02-22,259.55,259.99,253.09,254.65,3270
2011-02-23,253.31,257.19,251.67,252.4,4184
2011-02-24,251.39,251.39,237.8,239.65,6769
2011-02-25,243.34,249,239.96,247.13,8629
2011-02-28,250,259.2,243.2,245.19,12995
2011-03-01,247.27,260.68,246.83,259.05,9533
2011-03-03,258,265.8,253.54,262.28,17987
2011-03-04,263.88,268.3,262.26,265.38,9320
2011-03-07,263.07,263.6,253.74,257.87,8433
2011-03-08,257.19,264.4,257.19,263.58,6327
2011-03-09,264.86,266.6,260,261.38,7863
2011-03-10,259.28,259.28,255.65,258.33,5582
2011-03-11,256.02,260.56,253.2,254.75,7511
2011-03-14,254.75,260.94,254.75,259.96,6201
2011-03-15,255,260.41,250.33,256.87,9802
2011-03-16,258.75,265.8,258.73,264.57,8418
2011-03-17,261.79,266.5,258.91,260.03,10678
2011-03-18,261.25,261.34,253.39,254.95,8312
2011-03-21,258.01,258.9,253.47,256.77,5124
2011-03-22,258,261.7,256.6,259.98,5582
2011-03-23,259.73,264.6,259.14,264.04,5573
2011-03-24,265.02,267.46,262.4,264.65,6408
2011-03-25,266.42,274.94,265.97,274.18,10248
2011-03-28,275,279.2,273.55,277.22,6151
2011-03-29,276.78,285.77,276.78,283.64,10102
