Dates,Open,High,Low,Close,Volume
2015-05-29,445,460,415,426.57,732
2015-06-01,433.39,443.9,428.09,439.81,480
2015-06-02,441.2,441.5,426,429.2,399
2015-06-03,425.5,436,418.95,433.65,220
2015-06-04,431.34,437.55,421.95,435.15,144
2015-06-05,433.16,451.7,433.16,445.59,331
2015-06-08,450,450,442,447.07,133
2015-06-09,442.3,463.54,440.14,459.15,489
2015-06-10,458.3,459.39,451.11,456.14,223
2015-06-11,456.8,477.59,452.8,466.38,570
2015-06-12,466.5,472.8,463,466.95,233
2015-06-15,469.25,473.49,466,470.75,158
2015-06-16,467.21,472.5,462.81,470.23,220
2015-06-17,471.24,480.99,470.5,478.93,400
2015-06-18,481,491.9,480,489.63,526
2015-06-19,490.8,524.9,490.8,517.12,874
2015-06-22,519.8,539.99,511.91,533.46,970
2015-06-23,535.49,537,523.11,531.06,393
2015-06-24,529.18,535,521.23,524.33,375
2015-06-25,527.5,540,515.6,538.49,654
2015-06-26,535.5,546.5,531.39,537.7,434
2015-06-29,528.11,543.5,524.2,541.67,373
2015-06-30,539.8,544,535.2,540.48,283
2015-07-01,541.46,553,540.1,546.07,700
2015-07-02,546,553.5,540.16,543.38,458
2015-07-03,549,553.98,543.45,551.08,336
2015-07-06,544.5,559.6,542.8,555.84,373
2015-07-07,558.9,563.5,554.21,556,222
2015-07-08,550,557.65,518.5,522.79,874
2015-07-09,525,525,498.5,504.53,1384
2015-07-10,505,510,496.1,505.4,560
2015-07-13,508.7,517.2,506.52,513.2,777
2015-07-14,511.1,514,501.15,508.49,676
2015-07-15,510,518.63,509.01,516.25,425
2015-07-16,519.2,530.5,517,526.91,886
2015-07-17,527,532.4,518.23,519.96,606
2015-07-20,522.42,527.83,513.5,518.35,463
2015-07-21,520.62,523.9,510.82,512.5,402
2015-07-22,515.1,522.4,498.57,515.2,2347
2015-07-23,512.52,519.9,506.57,514.65,474
2015-07-24,515.9,522.4,514.39,517.62,447
2015-07-27,515,525,510.1,521.52,683
2015-07-28,523.1,537,522.5,533.4,777
2015-07-29,535,549.8,535,544.49,955
2015-07-30,548.36,549.71,537.52,544.06,754
2015-07-31,544.1,558.2,541.9,553.72,559
2015-08-03,554.6,573.4,551.2,571.45,793
2015-08-04,569.5,572.99,553,566.5,772
2015-08-05,567.6,574.9,556,559.84,605
2015-08-06,556.6,562.9,543,549.06,505
2015-08-07,551.85,561.1,547.1,551.18,561
2015-08-10,551.99,559.9,544.49,546.41,530
2015-08-11,547.6,550.07,542.9,546.95,411
2015-08-12,546.5,547,528.02,531.55,538
2015-08-13,534,542.9,532.5,538.26,666
2015-08-14,538.48,546.2,535,544.07,419
2015-08-17,541.5,543,528.15,541.26,400
2015-08-18,543,543.3,539.74,541.73,266
2015-08-19,538.94,546.78,537.77,540.9,359
2015-08-20,540.1,546.06,530.51,532.34,365
2015-08-21,528,538.9,522.1,536,330
2015-08-24,517.65,524.5,475.02,487.65,982
2015-08-25,493.23,507.5,482.2,492.36,1098
2015-08-26,493.97,506.6,490.51,496.12,767
2015-08-27,500,514.9,500,510,882
2015-08-28,512.9,515.9,491.64,507.94,668
2015-08-31,510.9,510.9,501,504.9,226
2015-09-01,496.55,512.5,492.5,496.87,540
2015-09-02,505,507.33,499,504.19,424
2015-09-03,513.4,526.5,513.4,522.02,738
2015-09-04,521.41,522.49,503.5,509.98,504
2015-09-07,509.01,515.6,500.1,505.94,358
2015-09-08,507,508.5,498.1,504.29,386
2015-09-09,507,513.4,504,506.82,411
2015-09-10,498.3,512.5,497,506.64,337
2015-09-11,503.5,511,501.9,504.6,226
2015-09-14,512,518.7,505.61,516.35,425
2015-09-15,518.8,527,513.7,525.36,556
2015-09-16,525.53,527.2,517,521.16,329
2015-09-18,524.52,528.89,491.7,497.23,2876
2015-09-21,490.3,502.49,488.9,495.08,635
2015-09-22,497.4,497.44,478.96,482.55,763
2015-09-23,479.55,487,467.2,483.94,1188
2015-09-24,484,488.99,479,486.81,1283
2015-09-28,493.3,493.3,484,485.1,404
2015-09-29,478.9,514.9,476,512.45,1171
2015-09-30,513.6,520,503.74,515.45,1050
2015-10-01,517,517.5,510.23,512.81,761
2015-10-05,517,524.71,514.1,522.04,412
2015-10-06,523.5,524.5,515.98,519.18,474
2015-10-07,513.65,521,511.5,514.34,632
2015-10-08,510.85,511.5,506,506.6,372
2015-10-09,509.2,517,496,501.76,576
2015-10-12,501,502.5,496,497.15,356
2015-10-13,498,501.51,494.5,500.64,269
2015-10-14,496.98,500.04,494.4,495.48,278
