Dates,Open,High,Low,Close,Volume
2010-12-31,336.83,336.83,336.83,336.83,0
2011-01-03,337.11,337.11,337.11,337.11,0
2011-01-04,334.31,334.31,334.31,334.31,0
2011-01-05,327.28,327.28,327.28,327.28,0
2011-01-06,331.1,331.1,331.1,331.1,0
2011-01-07,317.14,317.14,317.14,317.14,0
2011-01-10,317.6,317.6,317.6,317.6,0
2011-01-11,322.97,322.97,322.97,316.86,1
2011-01-12,322.97,322.97,322.28,326.78,2
2011-01-13,324.44,324.44,324.44,324.44,0
2011-01-14,317.69,317.69,317.69,317.69,2
2011-01-17,321.36,321.36,321.36,325.91,2
2011-01-18,321.96,321.96,321.96,321.96,0
2011-01-19,321.18,321.18,321.18,322.01,1
2011-01-20,316.77,316.77,314.75,318.01,4
2011-01-21,312.18,312.87,310.34,312.87,6
2011-01-24,310.25,310.25,310.25,310.99,2
2011-01-25,317.41,317.41,311.17,315.3,12
2011-01-27,306.67,308.78,302.91,303.73,28
2011-01-28,303.55,307.59,299.1,303.04,100
2011-01-31,293.86,298.91,289.23,296.2,99
2011-02-01,301.16,301.16,286.01,291.84,89
2011-02-02,286.47,301.07,286.24,297.72,143
2011-02-03,301.71,315.21,299.56,313.6,192
2011-02-04,315.3,316.59,304.84,306.35,237
2011-02-07,314.71,314.71,306.67,307.87,133
2011-02-08,309.29,313.28,307.36,308.28,93
2011-02-09,301.81,311.45,299.83,306.99,299
2011-02-10,305.75,305.75,290.47,298.36,481
2011-02-11,297.49,297.49,290.83,295.7,243
2011-02-14,296.16,302.86,291.84,301.94,286
2011-02-15,299.74,307.59,299.74,303.04,258
2011-02-16,304.51,306.44,300.47,303.09,1232
2011-02-17,302.36,313.56,302.36,312.5,1872
2011-02-18,312.55,314.38,303.87,305.85,2183
2011-02-21,304.84,307.22,301.81,305.62,1643
2011-02-22,303.64,308.05,298.64,304.42,5415
2011-02-23,303.46,310.25,300.8,302.72,6987
2011-02-24,302.17,308.88,297.21,299.56,6744
2011-02-25,301.16,306.44,299.56,303.96,3648
2011-02-28,305.06,307.77,299.23,304.97,4525
2011-03-01,306.26,312.59,297.54,311.45,5807
2011-03-03,308.78,312.41,301.9,304.93,4527
2011-03-04,307.08,307.36,299.51,301.53,3232
2011-03-07,299.79,300.7,294.32,299.19,2918
2011-03-08,299.74,308.32,297.81,307.87,3537
2011-03-09,309.01,309.47,304.1,306.44,3003
2011-03-10,303.87,304.38,301.16,303.23,1787
2011-03-11,301.44,305.02,296.25,298.22,3105
2011-03-14,296.16,298.96,294.97,297.63,2953
2011-03-15,293.27,295.52,285.37,289.59,4884
2011-03-16,291.43,297.17,291.11,295.56,3021
2011-03-17,293.59,299.05,292.26,294.14,3735
2011-03-18,296.34,298.41,292.9,293.59,3007
2011-03-21,294.37,295.88,291.8,292.44,1883
2011-03-22,294.28,300.89,294.14,300.43,3874
2011-03-23,300.15,305.57,299.83,304.93,2925
2011-03-24,305.75,307.77,301.44,306.9,2588
2011-03-25,308.51,314.48,305.89,313.01,5105
2011-03-28,313.42,321.96,308.51,319.57,6612
2011-03-29,319.07,334.4,319.07,329.44,9983
2011-03-30,330.31,331.83,325.13,329.53,6843
2011-03-31,328.62,329.08,323.24,328.16,4116
2011-04-01,328.07,332.79,325.13,328.52,3074
2011-04-04,327.24,334.91,325.95,332.43,3407
2011-04-05,333.71,335.14,329.86,332.93,2570
2011-04-06,333.3,335.04,323.43,326.27,3519
2011-04-07,326.27,329.53,319.62,328.62,5971
2011-04-08,330.22,335.5,329.17,331.97,6459
2011-04-11,331.46,336.01,331.32,332.79,3784
2011-04-13,328.43,340.74,325.04,338.81,6508
2011-04-15,338.72,346.25,338.39,342.76,6429
2011-04-18,343.49,346.98,336.6,338.07,4345
2011-04-19,337.89,346.8,335.78,345.69,4652
2011-04-20,347.07,354.14,344.32,349.96,9620
2011-04-21,350.7,352.9,342.16,346.66,5733
2011-04-25,345.83,348.86,342.94,345.83,5147
2011-04-26,344.82,351.11,343.58,350.01,8504
2011-04-27,351.48,355.84,350.01,352.76,6108
2011-04-28,353.36,357.81,350.7,355.11,6451
2011-04-29,355.34,357.31,346.2,347.99,4744
2011-05-02,349.83,354.83,349.28,353.91,2968
2011-05-03,352.26,353.04,344.32,345.05,4071
2011-05-04,343.63,346.61,337.02,339.91,4265
2011-05-05,332.11,339.73,324.39,329.95,12184
2011-05-06,326.92,332.56,318.79,323.7,10269
2011-05-09,325.72,337.2,324.35,335.92,6660
2011-05-10,336.7,337.89,333.57,335.87,3382
2011-05-11,336.24,337.84,333.76,336.88,2154
2011-05-12,335.04,337.11,333.07,335.46,2123
2011-05-13,336.05,343.86,333.34,338.3,4091
2011-05-16,338.62,344.09,334.95,340.55,3080
2011-05-17,340.14,343.44,338.44,341.65,2658
2011-05-18,341.88,345.24,339.73,342.76,2391
2011-05-19,343.77,343.77,335.36,336.47,2446
2011-05-20,337.8,347.53,336.05,344.13,4287
2011-05-23,341.42,344.68,335.59,338.12,3711
2011-05-24,340.87,342.85,337.43,339.68,7331
2011-05-25,337.94,341.33,333.48,338.9,5918
2011-05-26,339.18,342.76,334.81,337.25,5651
2011-05-27,341.24,345.14,341.24,344.23,2341
2011-05-30,344.32,344.32,338.49,342.85,2377
2011-05-31,342.94,346.38,340.74,345.65,2056
2011-06-01,346.2,354.88,345.46,352.4,4779
2011-06-02,348.91,356.07,348.08,351.89,3167
2011-06-03,351.85,354.83,348.72,349.83,2659
2011-06-06,350.7,352.49,346.61,351.07,1922
2011-06-07,350.84,352.12,348.54,349.05,1728
2011-06-08,349.14,349.14,342.62,347.99,3193
2011-06-09,348.91,349.83,345.79,346.75,1850
2011-06-10,346.2,346.57,342.8,344.32,1712
2011-06-13,345.1,349.83,344.18,348.4,2108
2011-06-14,350.42,351.02,347.35,349.46,1698
2011-06-15,347.99,349.55,345.46,346.8,1655
2011-06-16,343.4,349.23,339.27,340.97,2966
2011-06-17,341.06,351.62,340.87,350.47,4485
2011-06-20,350.19,359.83,344.41,358.46,8417
2011-06-21,359.79,366.22,357.22,360.48,5898
2011-06-22,363.05,363.42,348.17,351.94,6501
2011-06-23,350.84,355.98,349.5,351.48,3862
2011-06-24,352.67,362.68,352.67,360.57,4472
2011-06-27,357.77,366.63,357.22,364.29,4676
2011-06-28,365.34,372.32,364.43,368.47,6633
2011-06-29,369.66,371.31,367.09,369.2,4184
2011-06-30,369.48,370.99,358.27,362.59,9008
2011-07-01,358.09,365.02,353.59,354.6,5454
2011-07-04,356.44,358.37,353.73,355.06,2875
2011-07-05,356.25,356.35,349.5,353.04,2431
2011-07-06,353.82,358.73,352.12,353.77,3116
2011-07-07,354.83,367.55,354.83,366.9,7740
2011-07-08,367.09,378.11,365.3,367.04,8721
2011-07-11,366.03,368.56,359.7,360.94,2837
2011-07-12,357.49,363.6,355.52,357.13,3197
2011-07-13,358.69,365.76,356.35,363.87,4541
2011-07-14,363.69,367.27,362.22,364.43,3670
2011-07-15,366.4,366.81,360.02,361.49,2423
2011-07-18,360.57,364.15,359.42,361.44,1108
2011-07-19,361.76,368.88,360.2,366.4,3210
2011-07-20,368.01,368.42,362.22,363.23,3055
2011-07-21,361.99,364.75,361.12,362.96,1786
2011-07-22,364.75,379.58,364.52,378.43,9823
2011-07-25,376.82,402.07,375.58,397.53,14561
2011-07-26,397.57,397.57,388.11,390.46,12073
2011-07-27,391.14,396.65,388.39,394.54,7806
2011-07-28,390.91,397.89,390.32,395.55,6305
2011-07-29,394.82,402.35,391.7,400.88,8108
2011-08-01,405.51,407.67,401.24,405.33,4427
2011-08-02,403.08,403.49,395.09,397.53,4614
2011-08-03,393.58,396.84,379.76,391.97,20354
2011-08-04,389.77,394.36,386.09,389.4,6833
2011-08-05,381.04,386.42,376.09,381.78,9300
2011-08-08,368.56,380.59,363.32,375.03,9370
2011-08-09,365.11,377.83,360.61,373.79,9256
2011-08-10,378.29,379.85,366.54,373.15,6077
2011-08-11,370.58,373.38,362.86,364.24,5092
2011-08-12,367.23,367.36,354.05,357.03,5413
2011-08-16,360.43,368.19,355.93,361.35,8572
2011-08-17,359.1,367.96,352.58,364.75,5760
2011-08-18,364.52,369.29,358.09,359.15,5071
2011-08-19,355.66,362.91,347.35,352.35,6897
2011-08-22,353.04,362.18,349.55,361.17,4955
2011-08-23,360.84,371.68,359.93,369.25,7987
2011-08-24,368.05,370.67,362.77,364.65,6695
2011-08-25,367.36,370.35,360.84,369.38,7374
2011-08-26,373.65,376.09,363.83,366.49,6110
2011-08-29,371.82,377.83,371.17,373.79,3243
2011-08-30,375.9,383.62,369.8,372.6,6048
2011-09-02,382.05,385.18,373.52,375.54,3608
2011-09-05,371.4,376.45,368.37,373.01,2835
2011-09-06,371.27,373.15,359.47,366.03,4968
2011-09-07,368.01,372.78,365.66,369.11,3999
2011-09-08,370.03,371.86,364.1,367.87,3281
2011-09-09,371.4,373.7,363.6,367.41,6541
2011-09-12,365.44,365.62,351.39,354.6,5228
2011-09-13,358,360.2,349,350.65,4860
2011-09-14,352.26,352.35,342.11,347.94,5947
2011-09-15,350.06,357.54,342.34,355.38,6842
2011-09-16,355.24,357.49,351.2,355.15,4140
2011-09-19,352.35,358.55,349.05,356.02,3141
2011-09-20,356.8,361.72,354.6,360.89,5172
2011-09-21,361.3,363.6,360.02,361.76,3099
2011-09-22,354.42,356.8,337.89,341.7,7005
2011-09-23,340,350.42,331.55,344.27,8654
2011-09-26,343.4,353.27,338.07,349.41,6717
2011-09-27,353.04,357.17,350.33,355.93,5404
2011-09-28,357.68,357.68,346.15,348.08,5877
2011-09-29,347.07,348.86,343.4,344.68,4321
2011-09-30,346.2,357.17,342.66,347.94,5068
2011-10-03,343.81,352.35,341.7,351.34,4133
2011-10-04,349.83,352.17,336.37,340.46,4717
2011-10-05,342.48,344.68,336.65,337.66,5921
2011-10-07,343.58,346.11,321.09,326,13341
2011-10-10,323.43,336.79,316.82,333.71,11860
2011-10-11,337.52,348.91,337.43,344.18,7141
2011-10-12,345.65,347.07,339.91,344.04,4353
2011-10-13,345.37,346.02,336.83,340.51,4984
2011-10-14,339.73,353.64,338.95,352.67,5280
2011-10-17,353.04,355.24,346.61,348.77,3083
2011-10-18,344.68,348.36,342.02,344.64,3672
2011-10-19,347.07,355.56,342.11,354.33,5445
2011-10-20,351.3,359.93,348.95,358.59,5736
2011-10-21,359.1,359.24,346.34,347.99,6353
2011-10-24,351.85,353.68,347.12,352.35,5007
2011-10-25,353.27,361.26,351.52,356.67,4350
2011-10-26,361.76,364.43,361.35,362.54,702
2011-10-28,367.68,377.37,360.11,362.73,4918
2011-10-31,361.67,365.16,358.18,361.67,1989
2011-11-01,358.23,365.99,358.23,365.3,3030
2011-11-02,362.68,365.44,354.65,355.7,3627
2011-11-03,353.68,364.2,353.68,362.86,4463
2011-11-04,360.02,369.89,356.21,367.36,11537
2011-11-08,366.35,370.85,364.98,367.32,4172
2011-11-09,367.23,372.09,362.73,364.65,4590
2011-11-11,361.76,367.82,360.2,365.57,3775
2011-11-14,368.51,374.62,368.47,373.06,4475
2011-11-15,373.06,376.91,369.66,370.53,6415
2011-11-16,372.37,379.21,365.02,370.07,9952
2011-11-17,370.71,376.96,362.27,364.79,6162
2011-11-18,361.76,369.8,360.75,365.3,7072
