Dates,Open,High,Low,Close,Volume
2010-12-31,1575.6,1575.6,1575.6,1575.6,0
2011-01-03,1508.4,1508.4,1508.4,1508.4,0
2011-01-04,1441.85,1470.75,1441.85,1460.55,2
2011-01-05,1403.8,1403.8,1403.8,1403.8,0
2011-01-06,1355.7,1355.7,1355.7,1355.7,0
2011-01-07,1343.5,1343.5,1343.5,1343.5,0
2011-01-10,1286.95,1286.95,1286.95,1286.95,0
2011-01-11,1331.3,1331.3,1331.3,1331.3,0
2011-01-12,1312.05,1312.05,1312.05,1312.05,0
2011-01-13,1311.45,1311.45,1311.45,1311.45,0
2011-01-14,1260,1260,1260,1270.75,1
2011-01-17,1291.85,1291.85,1291.85,1291.85,0
2011-01-18,1318.2,1318.2,1318.2,1318.2,0
2011-01-19,1320,1320,1320,1345.65,1
2011-01-20,1323.25,1323.25,1323.25,1323.25,0
2011-01-21,1336.35,1336.35,1336.35,1336.35,0
2011-01-24,1329.3,1329.3,1329.3,1329.3,0
2011-01-25,1325.25,1325.25,1305.75,1310,4
2011-01-27,1294.25,1327.6,1294.25,1302.3,18
2011-01-28,1290,1290,1261.05,1266.5,31
2011-01-31,1270,1270,1230,1256.5,39
2011-02-01,1262.2,1271.15,1248.25,1254.25,20
2011-02-02,1254.1,1265.25,1216.9,1221.85,61
2011-02-03,1228,1237,1209,1218.9,64
2011-02-04,1218.3,1257.5,1218.3,1237.35,63
2011-02-07,1234.5,1234.5,1214.25,1227.65,120
2011-02-08,1231.95,1259,1228.6,1243.5,79
2011-02-09,1231.9,1231.9,1199.45,1208.85,96
2011-02-10,1206.5,1233,1197.3,1214.75,92
2011-02-11,1218.05,1275.55,1214.1,1267.55,190
2011-02-14,1302,1307,1278,1303.65,90
2011-02-15,1307,1343.85,1300,1331.05,207
2011-02-16,1331.7,1350,1320.15,1334.15,164
2011-02-17,1335.95,1359.5,1335,1353.65,439
2011-02-18,1350.85,1364.15,1330.4,1341.2,1039
2011-02-21,1346,1350,1323,1344.45,1103
2011-02-22,1335,1351.45,1324.5,1333.1,2756
2011-02-23,1329,1335.45,1306.4,1309.4,3654
2011-02-24,1300.15,1303.05,1264.15,1272.3,3138
2011-02-25,1277.05,1298,1251,1286.15,2354
2011-02-28,1287.05,1329,1262,1276.65,3270
2011-03-01,1285,1349,1284.95,1344.55,3350
2011-03-03,1340,1376,1332.25,1359.55,2987
2011-03-04,1379.85,1392,1371.15,1377.65,2182
2011-03-07,1360.95,1374,1345,1366,2127
2011-03-08,1372.5,1396,1368,1390.5,2068
2011-03-09,1396.95,1419,1392.1,1415.05,2613
2011-03-10,1405.1,1408.05,1392,1400.15,1805
2011-03-11,1385,1399,1353.5,1373.35,2434
2011-03-14,1374.75,1400,1357.1,1391.5,2081
2011-03-15,1362.6,1379,1346,1367.1,1925
2011-03-16,1381.95,1391,1366.65,1379,1301
2011-03-17,1371.05,1389,1356.1,1364.25,1353
2011-03-18,1375,1386.1,1359.6,1363.75,1763
2011-03-21,1364.15,1369.05,1348.35,1359.8,1058
2011-03-22,1361.3,1375.75,1361.25,1366.95,1234
2011-03-23,1365.6,1383.6,1355.4,1368.2,1804
2011-03-24,1362.1,1378.65,1354.65,1362.45,1384
2011-03-25,1370.1,1394.25,1359,1388.85,2725
2011-03-28,1393.8,1418.05,1387.95,1406.5,2958
