Dates,Open,High,Low,Close,Volume
2017-04-28,4576.2,4784.95,4570,4607.75,1709
2017-05-02,4625.3,4695,4545.1,4598.6,985
2017-05-03,4549,4685,4549,4587.8,915
2017-05-04,4610,4644,4584.05,4596.15,637
2017-05-05,4636.95,4636.95,4381,4441.3,1136
2017-05-08,4464.85,4489.35,4411,4439.45,441
2017-05-09,4431.8,4443,4390,4402,352
2017-05-10,4418.75,4450.4,4361.05,4398.6,576
2017-05-11,4421.4,4549,4394.8,4519.1,1272
2017-05-12,4535,4545.35,4376.5,4406.75,851
2017-05-15,4461.15,4600,4394.5,4574.3,1544
2017-05-16,4594.95,4617.95,4530,4570.15,1286
2017-05-17,4565.05,4617.95,4413.3,4495.25,1787
2017-05-18,4400,4435,4290.8,4318.6,1746
2017-05-19,4365.05,4380.95,4075,4183.2,2028
2017-05-22,4210,4238.45,3951.05,3972.85,2003
2017-05-23,3973.05,4034.8,3811,3981.05,2613
2017-05-24,4016.5,4034.1,3928.8,3955.9,1422
2017-05-25,3980.8,4017,3948.05,3997.1,1613
2017-05-26,4001.65,4109.85,3989.25,4035.6,1197
2017-05-29,4020.05,4096.65,3963,4008.7,686
2017-05-30,4009.95,4188,3953,4167,1408
2017-05-31,4182,4223.5,4122.95,4204,1138
2017-06-01,4162.85,4246,4162.85,4217.2,674
2017-06-02,4195.35,4344,4195.3,4327.25,1314
2017-06-05,4348.35,4363.25,4302.15,4330.2,540
2017-06-06,4361.85,4361.85,4190,4262.6,822
2017-06-07,4282.2,4305.3,4208.55,4281.35,646
2017-06-08,4319.8,4323.45,4260,4304.1,423
2017-06-09,4307.95,4307.95,4214.3,4263.1,561
2017-06-12,4216.05,4231.5,4152.35,4169.05,574
2017-06-13,4163.8,4250,4163.8,4195.85,637
2017-06-14,4203.45,4209.05,4121.5,4148.45,577
2017-06-15,4138.5,4165.75,4091.1,4118.6,1124
2017-06-16,4139.8,4277.8,4133.35,4215.1,2164
2017-06-19,4227.5,4283.95,4174,4241.25,923
2017-06-20,4202.65,4288,4202.65,4272.8,777
2017-06-21,4260.05,4335,4250.9,4271,1196
2017-06-22,4294.75,4320,4195.05,4226.1,789
2017-06-23,4203.25,4232.5,4101.5,4117.4,1270
2017-06-27,4107.65,4113.4,3951.65,4044.75,1299
2017-06-28,4022,4150,3960,4106.75,2156
2017-06-29,4155.2,4164,4071.55,4098.75,1630
2017-06-30,4114.1,4151.9,4015.05,4136.1,631
2017-07-03,4144,4196,4108.15,4157.75,767
2017-07-04,4166.95,4213.85,4124,4146.65,1035
2017-07-05,4145.2,4180,4130,4156.35,1248
2017-07-06,4195,4200,4149.6,4164.9,443
2017-07-07,4185.65,4185.65,4100.45,4122.95,932
2017-07-10,4131.15,4160,4120,4125.65,311
2017-07-11,4134.3,4159.95,4111.6,4137,469
2017-07-12,4150.8,4269,4125,4251.4,2225
2017-07-13,4282.05,4387.95,4261.3,4379.05,3497
2017-07-14,4392.4,4432.25,4330.05,4409.8,1892
2017-07-17,4429.95,4488,4413.5,4463.9,1667
2017-07-18,4460.25,4481.3,4408.25,4437.5,1576
2017-07-19,4447.55,4593,4441.55,4569.4,4079
2017-07-20,4618.85,4748.95,4530,4693.25,3526
2017-07-21,4705.8,4967.9,4682.1,4911.8,5249
2017-07-24,4948.95,5043,4900.8,4946,3680
2017-07-25,4959.15,4995,4914,4963.1,1537
2017-07-26,4950,5006.65,4927,4965.35,2074
2017-07-27,4950.4,5098,4933.6,4934.45,3298
