Dates,Open,High,Low,Close,Volume
2010-12-31,112.2,112.2,112.2,112.2,0
2011-01-03,112.37,112.37,112.37,112.37,0
2011-01-04,111.27,111.27,111.27,111.27,0
2011-01-05,107.68,107.68,107.68,107.68,0
2011-01-06,105.29,105.29,105.29,105.29,0
2011-01-07,104.93,104.93,104.93,104.93,0
2011-01-10,102.91,102.91,102.91,102.91,0
2011-01-11,103.63,103.63,103.63,103.63,0
2011-01-12,104,104,104,105.17,1
2011-01-13,101.58,101.58,101.58,101.58,0
2011-01-14,100.88,100.88,100.88,100.88,0
2011-01-17,101,101,99.67,99.67,2
2011-01-18,100.02,100.02,100.02,100.02,0
2011-01-19,100.46,100.46,98.83,99.14,2
2011-01-20,97.52,97.52,97.52,97.62,2
2011-01-21,98.11,99.98,98.11,100.22,5
2011-01-24,100.78,101.42,100.78,101.88,2
2011-01-25,103.45,106.41,103.45,105.62,30
2011-01-27,104.61,107.24,103.99,107.13,16
2011-01-28,106.25,106.83,104.58,106.48,51
2011-01-31,102.94,105.33,102.18,103.27,103
2011-02-01,102.68,102.68,95.47,97.98,84
2011-02-02,97.5,101.58,96.61,99.89,44
2011-02-03,98.25,100.72,98,100.25,40
2011-02-04,99.81,102.02,98.35,98.52,40
2011-02-07,100.94,100.94,98.33,100.14,27
2011-02-08,102.5,103.48,100.46,100.58,29
2011-02-09,100.02,101.02,96.92,98.03,61
2011-02-10,98.14,99.33,97.65,98.33,29
2011-02-11,97.92,98.18,92.21,97.72,118
2011-02-14,98.43,102.33,98.43,101.3,50
2011-02-15,101.69,104.25,101.18,101.83,112
2011-02-16,102.29,102.71,101.5,101.81,84
2011-02-17,100.67,103.28,99.59,103.04,81
2011-02-18,102.67,102.67,99.28,99.48,181
2011-02-21,98.33,99.32,97,98.94,748
2011-02-22,96.85,96.85,94,95.63,1356
2011-02-23,94.83,95.29,93.67,94.55,1093
2011-02-24,91.67,93.67,88.81,90.46,3182
2011-02-25,91.93,92.88,88.59,90.17,3164
2011-02-28,90.54,94.25,90.06,92.42,2929
2011-03-01,93.5,97.78,93.33,97.19,2329
2011-03-03,95.37,99,93.9,95.58,3344
2011-03-04,96.17,98.17,94.67,96.47,2919
2011-03-07,93.3,94.96,92.48,93.2,1757
2011-03-08,93.64,94.68,93.08,94.25,1557
2011-03-09,95.33,95.93,91,92.51,4853
2011-03-10,91.44,91.56,90.25,91.15,1754
2011-03-11,90.83,92.91,90.39,91.71,2524
2011-03-14,92.5,95.78,92.5,95.4,2667
2011-03-15,94.18,96.57,93.18,95.17,2743
2011-03-16,96.81,98.29,95.64,96.11,2262
2011-03-17,94.97,96.83,94.97,95.87,868
2011-03-18,94.48,94.95,93,93.38,1400
2011-03-21,93.14,95.33,92.38,94.09,1753
2011-03-22,94.18,94.75,93.26,94.58,921
2011-03-23,93.83,95.5,93.19,95.33,1202
2011-03-24,95.33,96.5,94.89,96.23,1284
2011-03-25,95.92,98.67,95.53,98.4,1542
2011-03-28,99.05,99.69,97.77,98.38,1499
2011-03-29,98.48,102.48,98.39,101.79,2195
2011-03-30,102.32,103.17,100.91,102.3,1952
2011-03-31,101.78,103.83,100.58,101.98,1853
2011-04-01,101.85,102.23,100.17,101.86,1011
2011-04-04,100.83,101.5,99.88,100.38,1372
2011-04-05,100.07,101.03,99.5,100.02,1108
2011-04-06,100.25,102.63,100.09,101.15,2278
2011-04-07,101.29,103.4,101.29,102.73,1764
2011-04-08,102.33,102.33,99.83,100.52,1561
2011-04-11,99.15,99.33,98.33,98.39,904
2011-04-13,99.17,101.33,99.17,100.78,1979
2011-04-15,101.17,101.17,98.94,100.1,1035
2011-04-18,100.23,100.83,98.08,98.48,1239
2011-04-19,98.96,101.52,98.02,101.33,3529
2011-04-20,101.5,103.33,100.33,103.02,2628
