Dates,Open,High,Low,Close,Volume
2010-12-31,378.1,378.1,378.1,378.1,0
2011-01-03,377.65,377.65,377.65,380.55,5
2011-01-04,387.45,387.45,387.45,387.45,0
2011-01-05,384.4,384.4,384.4,384.4,0
2011-01-06,371.25,371.25,371.25,371.25,0
2011-01-07,364.3,364.3,364.3,364.3,0
2011-01-10,355.05,355.05,355.05,355.05,0
2011-01-11,353.45,353.45,353.45,353.45,0
2011-01-12,353.6,353.6,353.6,353.6,0
2011-01-13,351.2,351.2,351.2,351.2,0
2011-01-14,346.05,346.05,346.05,346.05,0
2011-01-17,353.25,353.25,353.25,353.25,0
2011-01-18,361.05,361.05,361.05,361.05,0
2011-01-19,358.85,358.85,358.85,357.9,1
2011-01-20,349.05,349.05,349.05,357.6,1
2011-01-21,352.85,352.85,352.85,360.25,2
2011-01-24,358.75,358.75,358.75,354.35,1
2011-01-25,348.9,348.9,348.9,348.9,0
2011-01-27,341,342,338.3,338.5,7
2011-01-28,339.8,340.25,329.7,338.85,60
2011-01-31,333.05,339.4,333.05,335.85,28
2011-02-01,334.85,335.2,331.15,332.1,32
2011-02-02,320.3,333,320.3,328.35,15
2011-02-03,332.4,335,331.3,334.15,17
2011-02-04,329.95,330.85,324,325.15,36
2011-02-07,311.45,319.55,311.45,317.75,34
2011-02-08,320,323.5,317.5,318.4,19
2011-02-09,318.75,320.95,311.75,313.3,29
2011-02-10,309,313,300.35,312,57
2011-02-11,309.55,315,309,313.55,33
2011-02-14,314.9,319.9,314.7,315.4,37
2011-02-15,317,319,310.5,312.7,113
2011-02-16,312.4,316.1,308.25,309.15,132
2011-02-17,308.35,309.5,305.05,308.2,197
2011-02-18,310.05,314.25,308.1,309.7,420
2011-02-21,307.6,310,306.8,309.1,280
2011-02-22,306.1,307.75,303.7,307.05,1078
2011-02-23,307.95,310.35,304,304.75,1890
2011-02-24,303.5,306.5,298,300.4,2600
2011-02-25,302,306.8,298.7,301.15,2286
2011-02-28,301.05,305.8,297.55,298.9,1262
2011-03-01,300.65,307.7,299.2,307.1,1696
2011-03-03,306.75,310.6,304.25,307,2124
2011-03-04,309.9,310.9,304,304.8,1515
2011-03-07,303.3,307.1,302.2,305.95,1405
2011-03-08,307.55,309.75,306.6,308.2,1273
2011-03-09,309.6,309.9,302.4,303.25,1847
2011-03-10,302.5,302.9,299.35,301.55,1426
2011-03-11,300.65,302.55,291.3,296.8,1872
2011-03-14,294.7,302.35,293.35,301.45,1592
2011-03-15,296,301.2,293,297.65,2215
2011-03-16,299.75,303.5,297,297.75,1317
2011-03-17,296.95,301.2,295.8,298.95,975
2011-03-18,299.8,301.45,291.8,294.45,1969
2011-03-21,295.85,296,288,289.2,1223
2011-03-22,290,294.55,289.75,292.9,2296
2011-03-23,294.4,305,294,303.65,2088
2011-03-24,305.25,306.8,303.5,305.35,1002
2011-03-25,305.35,309.55,304.2,308.6,1238
2011-03-28,307.05,312.2,303.5,307.65,1780
2011-03-29,309.65,313.4,306.6,312.05,1768
2011-03-30,313.8,333,313.05,329.4,4401
2011-03-31,327.8,328.7,318.6,321.65,2233
2011-04-01,326,327.9,319.75,322.4,1058
2011-04-04,322,322.8,317.4,318.65,1384
2011-04-05,320.4,323.95,318.05,322.7,1259
2011-04-06,324.1,327.9,319.7,321.85,1138
2011-04-07,322,323.8,320.6,322.2,501
2011-04-08,325.15,325.15,318.1,319.4,536
2011-04-11,319.4,323.25,319.4,321,717
2011-04-13,319.8,326.95,318.3,326.25,1439
2011-04-15,325.6,325.85,320.8,322.1,623
2011-04-18,321.15,323.4,315,316.95,1030
2011-04-19,315.9,322,314.65,319.45,653
2011-04-20,319.45,324.9,317.05,323.55,2858
2011-04-21,324.8,325,320,323.1,942
2011-04-25,324.6,324.75,320.15,321.05,1023
2011-04-26,320.1,322,313.2,320.3,1854
2011-04-27,319.15,320.3,316.4,318.95,1924
2011-04-28,317.9,319.7,304.8,308.9,1895
2011-04-29,313.9,314.8,308.25,310.9,1184
2011-05-02,313,317.9,311.55,316.9,1028
2011-05-03,314.4,317,309.4,310.75,1020
2011-05-04,308.75,313.8,300.55,309.45,905
2011-05-05,306.25,308,301.65,303.5,1414
2011-05-06,299,311.5,296.55,306.65,2098
2011-05-09,305.1,307.1,302.3,304.4,564
2011-05-10,303.5,308.3,303,306.1,741
2011-05-11,306.25,308.3,305.25,306.1,444
2011-05-12,305.1,306.6,303.1,304.45,538
2011-05-13,304,313,300.8,309.5,1633
2011-05-16,309,310,303.4,305.1,986
2011-05-17,306.35,309.4,304.5,307.25,829
2011-05-18,307.15,308.5,304.2,305.55,660
2011-05-19,306.4,307.35,304.55,306.7,644
2011-05-20,307,316.2,305.3,314.95,1591
2011-05-23,312.15,313.95,305.25,309.6,1781
2011-05-24,310.6,314.75,308.9,313.8,1690
2011-05-25,313.5,315.4,310.7,311.5,1549
2011-05-26,312.2,322.05,307.5,320.35,3231
2011-05-27,319.45,324.15,319.45,320.35,849
2011-05-30,321.85,330.35,320.5,329.7,1412
2011-05-31,331.95,333.45,325,327.7,1982
2011-06-01,328.7,329.75,325.6,329.2,984
2011-06-02,326.6,334.4,325.1,327.2,1914
2011-06-03,327.1,329.5,324.25,325.55,1013
2011-06-06,326,334.05,324.95,333.3,1951
2011-06-07,333,340.95,333,340,2878
2011-06-08,337.55,339.4,332,336.05,1160
2011-06-09,336.4,339.2,333.85,336.6,762
2011-06-10,337.6,338.55,331.65,333.2,1151
2011-06-13,332.9,342.4,332.4,340.5,2089
2011-06-14,341.5,341.75,336.25,337.05,1046
2011-06-15,336.6,338,333.5,334.2,769
2011-06-16,331.4,335.9,329.15,331.2,882
2011-06-17,332.05,333.5,325.9,330.4,916
2011-06-20,329.55,329.55,310,318.95,1490
2011-06-21,318.2,320.4,313.9,317.25,1019
2011-06-22,318,324.6,316.15,323.65,889
2011-06-23,322.35,323,315.5,316.6,772
2011-06-24,318.9,330.35,317.1,327.9,1493
2011-06-27,327.5,334.75,324.9,331.95,1432
2011-06-28,332.9,337,329.5,332.3,1436
2011-06-29,331.95,334.9,330.4,332.6,1971
2011-06-30,332.9,336.05,324.75,331.05,3114
2011-07-01,333.1,333.1,327.15,328.2,658
2011-07-04,328,333.75,328,331.15,589
2011-07-05,331.05,334.3,328.5,330,651
2011-07-06,329.15,332.4,327.6,328.95,602
2011-07-07,330.05,336.7,328.75,336.25,1239
2011-07-08,337.75,339.3,333.35,334.25,1204
2011-07-11,334,336.15,328.4,329.6,926
2011-07-12,325.4,329.3,321.45,324.1,1111
2011-07-13,325.1,326.35,319.6,324.75,1192
2011-07-14,322,331.6,322,329.2,1432
2011-07-15,328.15,330.1,323.5,325.1,963
2011-07-18,324.55,324.55,316,318.3,1895
