Dates,Open,High,Low,Close,Volume
2011-08-05,387,396.05,376,393.45,2002
2011-08-08,382.5,401,378.15,393.9,2511
2011-08-09,383.6,388.4,377.25,380.5,2358
2011-08-10,385,388.5,381.25,382.6,1424
2011-08-11,382.25,389.85,382.25,387.8,1135
2011-08-12,391,394.7,382.2,386.25,1954
2011-08-16,391.5,395.95,386.95,387.8,1295
2011-08-17,389.55,400.4,389.55,399.25,2458
2011-08-18,401.9,404.8,389.7,391.1,2200
2011-08-19,386.45,399,385.85,394.15,1926
2011-08-22,394.8,398.9,391.95,395.65,974
2011-08-23,393.7,394.4,381.25,392.55,2479
2011-08-24,385,388.5,371.45,373.5,3472
2011-08-25,374.6,376.35,362,374.75,2815
2011-08-26,378,381.25,357.6,360.35,5418
2011-08-29,366.6,373.8,363.5,370.95,3757
2011-08-30,374.5,379.5,370.05,375.95,2577
2011-09-02,379.1,389.9,376,387.8,2561
2011-09-05,385.5,386.75,379.5,381.1,1553
2011-09-06,378.65,383.45,375.1,379.15,1745
2011-09-07,381.3,394.15,379.55,392.55,3168
2011-09-08,391,392.1,385.1,387.25,1730
2011-09-09,388.45,394.1,381.05,382.35,1903
2011-09-12,377.85,382.35,371.35,379.1,1811
2011-09-13,380.85,384.8,374.1,377.25,1323
2011-09-14,379,383.45,377,379.4,1399
2011-09-15,381.25,383.5,378.25,380.15,1003
2011-09-16,382.4,383.75,376,379.05,1772
2011-09-19,377.3,379.4,375.55,376.85,686
2011-09-20,377.5,382.5,374,380.05,1991
2011-09-21,382.8,389.2,381.75,385.8,4016
2011-09-22,380.85,381.85,374.4,375.8,1601
2011-09-23,373.4,373.5,366.25,367.15,2150
2011-09-26,365.3,365.35,343.1,347.5,3686
2011-09-27,354.35,359.5,351.75,358.7,2543
2011-09-28,359.6,363.15,351.05,355.65,2178
2011-09-29,352.65,353.95,344.45,350.65,2289
2011-09-30,354.45,355.95,326.3,333.85,12336
2011-10-03,329.1,341.5,325.05,338.25,5597
2011-10-04,334,340.65,318.7,320.8,6193
2011-10-05,323.4,327.8,315.05,324.5,5079
2011-10-07,331.5,340.5,331.15,338.45,5910
2011-10-10,341.75,345,330.5,343.25,8576
2011-10-11,345.65,347.25,342.1,345.45,3203
2011-10-12,346.05,349,333.05,339.65,9311
2011-10-13,340.05,341,329,332.75,4960
2011-10-14,330.45,331.3,320,324.15,6183
2011-10-17,325.2,325.5,319.25,322.55,4071
2011-10-18,319.55,332.3,317,331.3,10494
2011-10-19,333.85,339.5,332.05,335.9,6571
2011-10-20,333,333.45,327.3,330.25,4358
2011-10-21,331.2,333.75,327.7,328.8,3275
2011-10-24,333.25,333.3,324.3,325.3,3262
2011-10-25,324.1,325.8,320.9,323.9,4170
2011-10-26,328.9,332.5,328.1,330.4,1346
2011-10-28,336.9,345,336.1,339.5,5149
2011-10-31,340,340.5,333.6,334.35,1831
2011-11-01,333.15,334.4,331,332.3,1420
2011-11-02,329.05,331.8,327.25,328.35,2365
2011-11-03,329,330.8,326.1,328.35,2193
2011-11-04,330.4,332.35,328,328.75,2859
2011-11-08,329.8,331.9,328,329.1,1501
2011-11-09,329.95,331.5,325.4,326.9,2528
2011-11-11,326.1,329.35,324.6,326.3,2393
2011-11-14,325,326.95,319.1,323.05,3094
2011-11-15,321.25,325.85,315.65,318.05,2602
2011-11-16,317.1,317.1,306.4,313,3042
2011-11-17,310.75,311,301.15,304.9,4396
2011-11-18,304.1,304.1,294,298.2,3938
2011-11-21,296,302,294.85,297.55,4322
2011-11-22,299.7,305.3,297.75,302.4,4483
2011-11-23,300.1,302.85,296.25,300.35,4433
2011-11-24,303,305.45,298.05,304.15,4376
2011-11-25,303.6,314.8,302.1,309,3876
2011-11-28,312,326.1,311.8,324.35,4378
2011-11-29,330,330,320.1,322.8,1886
2011-11-30,321.8,329.5,318.65,327.4,3040
2011-12-01,334.85,336.95,330.7,333.05,3401
2011-12-02,332.3,338,328.35,337.3,2199
2011-12-05,338.3,340,333.55,335.15,1430
2011-12-07,334.65,334.65,322.85,326.15,3578
2011-12-08,322.7,322.8,312.65,315.3,3568
2011-12-09,310.2,320,307.9,318.25,3247
2011-12-12,320.6,320.9,304.7,305.7,3088
2011-12-13,304,311.25,302.35,309.75,1929
2011-12-14,307,310,299.85,301.6,2929
2011-12-15,299,313.5,295.1,312.5,4333
2011-12-16,314.65,316,299.2,302.05,3324
2011-12-19,299.1,309.75,297.3,308.65,2607
2011-12-20,310.25,311.6,301.6,303.45,2261
2011-12-21,308.05,308.55,300.25,304.55,4563
2011-12-22,303.45,305.2,295.4,301.85,4214
2011-12-23,303.5,304,300.45,301.55,3651
2011-12-26,303.55,307.95,302.9,307.1,2485
2011-12-27,307.25,308.5,295.65,298.8,2951
2011-12-28,298.05,302.2,296,299.85,3444
2011-12-29,299.65,302.4,297.25,298.75,4334
2011-12-30,302.75,304.35,299,302.6,1603
2012-01-02,305.05,314.7,305.05,313.85,3736
2012-01-03,316.1,330.7,316.1,328.35,5325
2012-01-04,329.05,331.5,323,327.85,3567
2012-01-05,327.4,329.4,315.3,322.15,5918
2012-01-06,319.6,325,317.6,320.35,3466
2012-01-07,320.6,321.9,320.05,321.35,186
2012-01-09,321,321,314.35,315.75,2892
2012-01-10,317.95,322.8,317.15,320.05,3020
2012-01-11,320.75,324.8,317.75,322.15,2676
2012-01-12,321.5,329.5,319.7,327.4,7631
2012-01-13,328,346.75,328,344.6,7508
2012-01-16,342.35,346.75,339.6,341.85,2769
2012-01-17,344,355.4,344,352.3,3574
2012-01-18,354,358,337.1,340.05,7641
2012-01-19,338,351.4,337.85,350.05,3563
2012-01-20,352,352,336.3,343.65,5166
2012-01-23,341.65,341.95,332.5,334.7,3383
2012-01-24,332.9,338.45,329.2,330.75,7815
2012-01-25,331,343.5,331,342.9,5088
2012-01-27,338.7,338.9,330.45,333.2,2057
2012-01-30,332.2,333.35,325,327.05,2194
2012-01-31,328,329.4,318.7,323.4,5913
2012-02-01,322.8,322.95,314.1,316.8,5975
2012-02-02,320,322.25,316.5,319.15,4951
2012-02-03,322,324.8,320.5,322.5,4326
2012-02-06,324.95,327.35,320.25,322.55,4573
2012-02-07,324.95,325.85,320.3,321.45,2787
2012-02-08,322.4,329.35,322.3,327.95,4280
2012-02-09,328,332.7,327.25,329.95,2862
2012-02-10,327,330.8,324.1,327.75,2284
2012-02-13,330.2,340.75,329.1,335.4,7172
2012-02-14,336.65,337.85,332.25,334,2235
2012-02-15,336.75,344.7,335.95,339,4332
2012-02-16,336.25,336.25,320.7,321.65,9026
2012-02-17,324.95,333.6,323.8,325.2,7357
2012-02-21,326.5,329.5,321.75,327.25,5722
2012-02-22,328.15,331.7,321.5,323.45,6328
2012-02-23,322.6,326.5,318.4,322.75,3876
2012-02-24,320,326,318.5,323.7,4360
2012-02-27,323.9,325.9,312.2,317.55,3561
2012-02-28,319.2,325.4,318,324.5,2051
2012-02-29,326.8,329.35,324.1,326.65,2721
2012-03-01,326.7,330.25,324.2,326.7,4092
2012-03-02,326.2,327,321.2,322.45,2064
2012-03-03,323,323.7,322.35,322.95,153
2012-03-05,321.55,321.95,318,320.75,958
2012-03-06,319.75,326.75,317.05,321.2,2230
2012-03-07,320.1,321,314.45,317.7,1433
2012-03-09,320.25,328.05,320.25,326.75,1828
2012-03-12,331.4,332,327.2,328.6,1754
2012-03-13,331.05,336.55,330.15,334.2,2843
2012-03-14,337.25,341,335.3,339,3066
2012-03-15,340.05,343.6,335.6,342.3,2045
2012-03-16,341.65,349.3,339.8,342.05,4316
2012-03-19,337.7,341.75,333.45,335.1,1466
2012-03-20,337.45,337.45,327.8,328.7,1371
2012-03-21,329.15,334.5,328.65,333.3,1332
2012-03-22,329.7,344.7,329.7,338.8,3290
2012-03-23,341.6,343.7,331.1,334.9,2206
2012-03-26,333.15,337,328.8,333.5,2413
2012-03-27,332.8,334.8,326.05,331.55,6205
2012-03-28,332.45,333.9,329,332.5,2097
2012-03-29,331.2,339.9,331.15,332.8,3567
2012-03-30,335.5,348.45,334.05,345.7,1551
2012-04-02,341.2,345.4,337.25,342.65,1543
2012-04-03,344.5,348.1,342.25,344.6,899
2012-04-04,338,345.4,336.1,342.05,2011
2012-04-09,337.5,343.35,337.1,338.15,1312
2012-04-10,339,339,332,334.8,940
2012-04-11,331.3,337.4,329.55,333.25,1512
2012-04-12,335.3,336.75,332.7,334.3,1374
2012-04-13,334.25,345.2,334.25,338.8,1959
2012-04-16,335.5,339.95,335.1,339.25,879
2012-04-17,345,354.05,344,352.15,3008
2012-04-18,354.25,354.25,348.15,349.8,1185
2012-04-19,350,364.25,349,363.1,3374
2012-04-20,362.35,365.7,356.35,362.65,3767
2012-04-23,361,366.95,352.6,355.3,2457
2012-04-24,353.05,363.5,353.05,356.6,2849
2012-04-25,356.45,358.15,348.4,349.3,2204
2012-04-26,351.4,360.75,344,359.4,3041
2012-04-27,359.35,360.9,351.6,354.85,1504
2012-04-28,355.05,355.05,351.6,353.8,101
2012-04-30,353.95,357.55,352.5,356.05,1001
2012-05-02,356.95,358.7,346.9,349.1,2021
2012-05-03,344.7,346.7,336.5,340.2,1781
2012-05-04,339.85,341.7,332,332.85,1272
2012-05-07,327.75,335,327.75,331.55,1680
2012-05-08,331.25,341.35,329.8,337.6,2659
2012-05-09,334.95,334.95,328,329.15,1852
2012-05-10,330.6,333.3,322.25,323.7,2777
2012-05-11,322.9,323.5,315,316.15,1636
2012-05-14,316.8,322,315.75,317.5,1304
2012-05-15,317.2,320,312.75,316.4,1502
2012-05-16,313.3,316.8,309.6,310.45,1421
2012-05-17,311.95,314,306.5,307.6,2023
2012-05-18,305.1,306.6,302.05,304.95,1750
2012-05-21,303.9,312.55,303.7,311.3,1982
2012-05-22,314.4,315.9,305.9,306.75,1722
2012-05-23,305.1,310.55,303.55,308.85,1341
2012-05-24,308.95,312.75,306,310.25,1167
2012-05-25,309.6,314.55,307.75,314.05,1511
2012-05-28,314.65,317,314.4,315.1,1817
2012-05-29,318.4,323.85,317.1,322.1,3103
2012-05-30,320.75,322.25,318.3,319.6,1837
2012-05-31,318,324.75,317.35,321.6,4101
2012-06-01,355,355,320.25,323.45,1308
2012-06-04,321,324.15,316.3,321.15,1030
2012-06-05,322.1,325.95,316.35,317.25,1543
2012-06-06,319,324.05,318.8,323.15,1175
2012-06-07,324.45,327.5,324.45,326.05,805
2012-06-08,324.35,329.7,322,328.1,1021
2012-06-11,331.7,337.9,330.05,333.2,1753
2012-06-12,330.75,338.25,330.55,337.6,994
2012-06-13,338.7,342.35,334.35,335.15,1870
2012-06-14,335.85,337.8,330.1,331.5,1096
2012-06-15,334.35,341.6,334.35,340.7,1384
2012-06-18,342.2,344.4,337.4,339.4,1323
2012-06-19,337.9,345.6,335.15,343.95,1580
2012-06-20,345.2,345.8,337.2,339.2,1507
2012-06-21,340.7,344.75,335.2,343.1,1258
2012-06-22,340.85,343.9,337.2,338.85,1086
2012-06-25,340.95,346,336.2,337.55,1336
2012-06-26,338,340.85,335.9,339.75,1236
2012-06-27,341.45,344.4,339.2,343.1,1962
2012-06-28,343.5,348.9,341.85,347.85,1741
2012-06-29,353,356.9,346.4,349.7,1873
2012-07-02,350.8,354.4,347.75,352.8,812
2012-07-03,350.8,359.75,350,359,1397
2012-07-04,359.3,360.5,354.5,356.15,1144
2012-07-05,356,357.8,350.4,351.05,1067
2012-07-06,351.7,355.7,349.6,353.55,1149
2012-07-09,351.45,354.95,348.3,353.25,1477
2012-07-10,352.4,361.4,352.4,355.95,993
2012-07-11,353.65,356.8,352.55,355.6,621
2012-07-12,353.9,357.8,353.5,356.2,663
2012-07-13,355.8,358.7,354.7,355.65,675
2012-07-16,356,358.15,351.2,351.9,688
2012-07-17,353.65,356.45,352.4,354.85,1022
2012-07-18,357.55,363,357.55,360.55,2341
2012-07-19,362.5,363.95,359.05,361,1330
2012-07-20,360.6,363.45,360.2,361.25,867
2012-07-23,359,359.8,355.05,355.7,1172
2012-07-24,355.9,357.9,353.55,356.75,1362
2012-07-25,354.5,354.9,346.2,350.85,2393
2012-07-26,356.8,356.8,346.1,348.75,1992
2012-07-27,353.95,356.85,352.45,355.05,1089
2012-07-30,354.95,359.7,352.85,357.9,1596
2012-07-31,356.25,362.95,356.25,361.55,1325
2012-08-01,358.25,360.45,347.6,351.7,2736
2012-08-02,351.1,351.95,345.2,349.25,1301
2012-08-03,347,347.35,337.6,346.6,2228
2012-08-06,347.25,349.8,343.75,345.9,1263
2012-08-07,341.25,347.9,341.25,346.6,1209
2012-08-08,346.95,353.3,346.3,347.75,2054
2012-08-09,348.1,356.55,347.8,354.3,1849
2012-08-10,355.4,355.4,348.85,350.2,1133
2012-08-13,352.2,353.25,344,349.3,997
2012-08-14,352.75,358.25,352.75,355.4,1973
2012-08-16,355.95,356.85,350.5,354.6,1145
2012-08-17,355.6,357.3,349.9,351.1,1262
2012-08-21,351.85,354.85,347,353.8,704
2012-08-22,352.25,359.35,351.25,357.65,1045
2012-08-23,356.9,361.55,355,360.2,1808
2012-08-24,360.95,373,360.65,368.4,4450
2012-08-27,368.55,370.55,363.45,365,3018
2012-08-28,369,369,358.5,360.25,1769
2012-08-29,360.95,362.4,357.5,360.65,1534
2012-08-30,359,360.85,357.35,360.7,2686
2012-08-31,360,360.6,351.5,353.65,1602
2012-09-03,354.5,364.65,351.05,362.85,1532
2012-09-04,362.15,364.8,357.25,361.3,1187
2012-09-05,359.45,362.35,355.7,360,1287
2012-09-06,361.7,362.25,357.25,360.4,940
2012-09-07,362.55,364.4,359.8,362.95,780
2012-09-08,361,363.25,361,362.85,50
2012-09-10,361.5,369.9,361.2,367.05,1601
2012-09-11,366.1,368.45,364.35,367.5,825
2012-09-12,367.05,378.95,367.05,378.2,2624
2012-09-13,378.2,382.3,376.55,381.05,1730
2012-09-14,383.6,386,382.3,384.05,1574
2012-09-17,382.5,387,374,375.25,2073
2012-09-18,375.4,379.8,371.2,377.25,1584
2012-09-20,372.05,375.3,363.3,365.55,2219
2012-09-21,366.2,377,363.15,372.7,1795
2012-09-24,371.75,371.9,368.15,370.55,1042
2012-09-25,370.25,373.4,365.65,369.5,1552
2012-09-26,368.05,368.05,357.55,358.95,2205
2012-09-27,358.7,363.15,352,357.6,2893
2012-09-28,362.9,366.65,357.5,361.55,1948
2012-10-01,362.6,362.8,358.3,360.55,892
2012-10-03,359.35,368.85,359.1,367.65,1906
2012-10-04,369.3,369.45,363.1,364.7,1674
2012-10-05,365.4,371.9,361.05,365.5,3130
2012-10-08,365.45,366.75,359,359.6,1196
2012-10-09,360.9,363.4,358,358.85,1144
2012-10-10,355.85,358.65,354.95,355.4,1017
2012-10-11,355.75,361.6,355.1,360.85,1280
2012-10-12,360,363.5,356.35,360.45,1462
2012-10-15,359.35,359.55,355.6,357.7,794
2012-10-16,357.15,360.9,353.9,354.95,1113
2012-10-17,356.75,357.7,353.6,354.8,778
2012-10-18,353.75,363,353.3,361,1286
2012-10-19,360.1,360.5,353.7,354.5,1192
2012-10-22,353.35,358.75,351.9,358.15,1969
2012-10-23,357.25,362,354.8,358.6,2367
2012-10-25,359,360.6,356,356.35,2308
2012-10-26,358.7,359,355.1,357.85,605
2012-10-29,357.95,359.5,352,353.2,1019
2012-10-30,353.3,353.3,348.45,349.7,914
2012-10-31,350.2,351.5,345.8,348.55,1051
2012-11-01,348.05,351.75,347,350.75,971
2012-11-02,350.2,354.95,349.9,353.55,1425
2012-11-05,358.9,358.9,352.55,355.35,1111
2012-11-06,355,357.7,350.5,353.95,1270
2012-11-07,354,354.7,350.55,351.05,1406
2012-11-08,347.55,352.5,347.4,351,1100
2012-11-09,351.7,353.9,347.4,348.95,1437
2012-11-12,345,350.9,344.05,346.2,1241
2012-11-13,347.9,348.5,346.25,347,364
2012-11-15,345.75,351.45,345.45,349.65,1113
2012-11-16,350.45,354.35,347.05,351.3,2258
2012-11-19,351.3,353,350.15,351.8,687
2012-11-20,353.15,355.7,350.05,354.9,1601
2012-11-21,355.9,356.5,351.7,354.85,1169
2012-11-22,356,357,351.1,355.85,987
2012-11-23,356.9,358.8,354.8,358,1106
2012-11-26,357.7,361.8,357.7,360.2,1750
2012-11-27,362.2,364.85,360.4,363.25,1623
2012-11-29,363.35,373.75,363.35,369.9,3030
2012-11-30,372.7,374.35,365,368.45,1266
2012-12-03,367.35,376.55,365.3,369.2,1674
2012-12-04,369.95,371.85,363.45,366.4,1235
2012-12-05,365.65,369.25,364.15,364.6,864
2012-12-06,365.05,370.9,360.15,365.4,2381
2012-12-07,367.75,375.15,364.2,365.95,5283
2012-12-10,366.2,370.4,365,365.55,1281
2012-12-11,366.6,368.4,357.7,359.4,1535
2012-12-12,361.05,362.8,357.8,358.65,1241
2012-12-13,359.3,359.4,353.85,355.5,975
2012-12-14,355.65,358.75,354,356.7,676
2012-12-17,355.7,356.9,352.05,354.15,815
2012-12-18,354.9,357.5,351,354.7,1709
2012-12-19,354.7,361,354.7,359.05,1813
2012-12-20,359.1,362.65,355.25,358.15,2128
2012-12-21,355.9,356.1,351.6,353.2,2256
2012-12-24,353.9,356.25,352,354.95,1568
2012-12-26,355.65,356.25,353,355.6,1751
2012-12-27,358.4,358.4,351.5,353.05,3512
2012-12-28,354.1,358.1,352.55,355.65,1460
2012-12-31,354.55,357.75,354.15,357.3,608
2013-01-01,358.15,362.5,358.15,361.45,1475
2013-01-02,362.4,364.25,360.5,361.75,1449
2013-01-03,362.05,364.5,360.8,361.5,2131
2013-01-04,361.25,365.9,359,364.8,1912
2013-01-07,365.5,366.25,361.05,362.45,1195
2013-01-08,363.25,363.25,358.2,362.75,960
2013-01-09,362.9,373.05,361.25,366.6,5133
2013-01-10,369.55,375.1,366.6,368.4,3255
2013-01-11,367.95,371.9,361.15,362.65,1823
2013-01-14,362.8,363.9,359.65,361.85,1186
2013-01-15,362.05,362.9,356.05,357.2,1466
2013-01-16,356.6,360.75,353.4,354.65,1779
2013-01-17,355.1,357.1,352.35,354.65,1309
2013-01-18,356.7,360.5,355.4,356.3,1855
2013-01-21,356.3,357.4,351.95,353.45,2147
2013-01-22,353.45,356,350.15,352,1653
2013-01-23,353.4,354.7,350.5,351.8,1096
2013-01-24,351.4,356.35,342.85,344.05,2022
2013-01-25,344.2,345,338.5,341.65,2044
2013-01-28,343.2,343.2,337.1,342.05,2173
2013-01-29,342.55,347.9,338.05,347.15,2036
2013-01-30,347.15,352.4,346.9,350.4,2602
2013-01-31,349.45,354.55,347.45,353.35,2416
2013-02-01,354.45,360.5,351.65,358.45,1881
2013-02-04,359.25,359.25,349.25,350.9,1127
2013-02-05,349.8,354.4,346.05,351.5,972
2013-02-06,352.55,355.25,341.6,343.55,1744
2013-02-07,342.7,345.5,340.15,344.2,1196
2013-02-08,343.55,344.35,335.05,339.55,1810
2013-02-11,340.25,342,336.25,340.1,914
2013-02-12,340.8,346.8,338.8,345.15,1516
2013-02-13,344.85,348.2,340.7,347.1,1915
2013-02-14,350.25,352.5,345.75,350.1,2301
2013-02-15,351.15,351.15,345.2,349.2,874
