Dates,Open,High,Low,Close,Volume
2010-12-31,330.7,330.7,330.7,330.7,0
2011-01-03,333.32,333.32,333.32,333.32,0
2011-01-04,339.82,339.82,339.82,339.82,0
2011-01-05,341,341,341,341,0
2011-01-06,336.95,336.95,336.95,336.95,0
2011-01-07,324.5,324.5,324.5,324.5,0
2011-01-10,324.48,324.48,320.23,322.35,2
2011-01-11,317.13,317.13,317.13,317.13,0
2011-01-12,321.57,321.57,321.57,321.57,0
2011-01-13,321.5,321.5,321.5,321.5,1
2011-01-14,320.27,320.27,320.27,320.27,1
2011-01-17,313.68,313.68,313.68,313.68,0
2011-01-18,313.45,313.45,313.45,313.45,0
2011-01-19,315.18,315.18,315.18,315.18,0
2011-01-20,317.88,317.88,317.88,318.18,1
2011-01-21,316.4,316.4,316.4,316.4,0
2011-01-24,318.82,318.82,318.82,318.82,0
2011-01-25,321.23,321.23,321.23,320.6,1
2011-01-27,320.3,320.3,312.5,313.13,6
2011-01-28,305.6,305.6,302.5,314.27,4
2011-01-31,314.35,317.63,311.15,317.63,5
2011-02-01,316.32,316.32,316.32,316.32,0
2011-02-02,316.23,316.23,316.23,317.7,2
2011-02-03,320.4,320.4,320.4,320.4,0
2011-02-04,333.1,333.1,333.1,333.1,0
2011-02-07,337.07,340,331.75,329.85,5
2011-02-08,325,325,325,326.82,2
2011-02-09,312.93,315,312.93,314.32,3
2011-02-10,318.95,318.95,318.95,318.95,0
2011-02-11,315,321.5,314.27,321.5,5
2011-02-14,325.9,325.9,325.9,325.9,1
2011-02-15,321.75,330.52,321.75,331.93,4
2011-02-16,329.5,330,329.15,329.23,5
2011-02-17,323,328.5,323,326.25,161
2011-02-18,326.45,326.6,312.5,315.93,177
2011-02-21,312.63,330.95,311.5,324.52,197
2011-02-22,327.77,329.5,316.1,317,359
2011-02-23,316,318,310.6,312,640
2011-02-24,308,309.85,301.15,303.95,1016
2011-02-25,306,306,296.73,300.57,382
2011-02-28,301.05,302.5,293.65,295.5,389
2011-03-01,295,306,293.45,303.93,547
2011-03-03,302.5,305.55,299,302.23,357
