Dates,Open,High,Low,Close,Volume
2010-12-31,1700.2,1700.2,1700.2,1700.2,0
2011-01-03,1706.6,1706.6,1706.6,1706.6,0
2011-01-04,1732.75,1732.75,1732.75,1732.75,0
2011-01-05,1751.8,1751.8,1751.8,1751.8,0
2011-01-06,1752.35,1752.35,1752.35,1752.35,0
2011-01-07,1706.8,1706.8,1706.8,1706.8,0
2011-01-10,1687.35,1687.35,1687.35,1687.35,0
2011-01-11,1703.7,1703.7,1703.7,1703.7,0
2011-01-12,1701.95,1701.95,1701.95,1701.95,0
2011-01-13,1674,1674,1674,1674,0
2011-01-14,1683.15,1683.15,1683.15,1683.15,0
2011-01-17,1671.05,1671.05,1671.05,1671.05,0
2011-01-18,1702,1702,1702,1702,0
2011-01-19,1687.75,1687.75,1687.75,1687.75,0
2011-01-20,1695.8,1695.8,1695.8,1695.8,0
2011-01-21,1680.95,1680.95,1680.95,1680.95,0
2011-01-24,1663.55,1663.55,1663.55,1663.55,0
2011-01-25,1645.45,1645.45,1645.45,1605.15,1
2011-01-27,1566,1567.5,1555.15,1567.3,23
2011-01-28,1545.85,1579.05,1543.7,1579.05,12
2011-01-31,1630.65,1633.85,1610.4,1632.15,17
2011-02-01,1650.55,1650.55,1592.5,1608.6,19
2011-02-02,1586,1626.95,1586,1620.55,65
2011-02-03,1606.25,1621.25,1600.3,1623.35,19
2011-02-04,1608,1608,1578,1583.1,21
2011-02-07,1564.5,1576.2,1563.6,1565.65,21
2011-02-08,1544.4,1592.6,1531.75,1537.1,13
2011-02-09,1530,1545.35,1510.25,1529.8,91
2011-02-10,1524.9,1536.55,1500,1504.9,24
2011-02-11,1508,1521.6,1495,1495,13
2011-02-14,1519.95,1549.65,1503.85,1543.5,121
2011-02-15,1512.15,1551.4,1512.15,1541.95,47
2011-02-16,1525.15,1564.9,1515,1519.3,920
2011-02-17,1517.55,1540.5,1517.55,1533.25,55
2011-02-18,1535.35,1550,1527.55,1534.9,205
2011-02-21,1541.5,1543.95,1504.1,1539.7,1599
2011-02-22,1527.1,1555.85,1516,1549.65,1096
2011-02-23,1550.75,1590,1550.75,1570.7,1670
2011-02-24,1558.55,1568.95,1475.15,1500.3,3455
2011-02-25,1511.05,1547.5,1504.95,1524.9,1900
2011-02-28,1530.15,1554.9,1510.5,1532.4,1479
2011-03-01,1530,1586.45,1521.15,1578,1820
2011-03-03,1573.25,1591.8,1552,1579.35,1289
2011-03-04,1592,1602,1568.8,1574.25,1007
2011-03-07,1567.65,1613,1551,1608.7,1837
2011-03-08,1602.05,1617.7,1598.65,1605.95,1040
2011-03-09,1605.2,1614,1583.5,1606.55,2720
2011-03-10,1596.35,1600.6,1571,1573.65,1683
2011-03-11,1565,1589.3,1560.5,1571.3,1256
2011-03-14,1574.6,1591.85,1571,1585.85,1202
2011-03-15,1561.05,1580,1510.65,1527.05,2219
2011-03-16,1546,1568.7,1546,1555.65,1612
2011-03-17,1534,1546.35,1520,1530.45,1327
2011-03-18,1543.8,1543.95,1495.5,1500.4,1048
2011-03-21,1516,1528.85,1500.95,1514.9,1187
2011-03-22,1522.25,1541.8,1516.55,1538.3,1011
2011-03-23,1538.3,1567.95,1536,1563.35,1295
2011-03-24,1560.05,1563.65,1546,1550.3,1597
2011-03-25,1563.9,1575.5,1550.7,1558.4,1568
2011-03-28,1564.95,1568.45,1552.05,1556.1,1662
2011-03-29,1556.05,1609.3,1553.6,1602.1,2308
2011-03-30,1616,1647.9,1614.55,1640.25,1962
2011-03-31,1645,1680,1622.1,1639.05,1896
2011-04-01,1655,1665,1615.2,1631.5,1139
2011-04-04,1640.25,1648,1625.9,1641.3,716
2011-04-05,1638.15,1650.9,1616.45,1645.35,955
2011-04-06,1646,1664.75,1638,1650.05,1045
2011-04-07,1652,1652,1634,1639.15,504
2011-04-08,1634.8,1648.9,1625,1636.5,1008
2011-04-11,1639.85,1639.85,1607.6,1621.55,751
2011-04-13,1612,1646.25,1611,1643.95,1321
2011-04-15,1650.1,1662.6,1641.8,1656.55,993
2011-04-18,1658,1683.9,1636.1,1650.55,1130
2011-04-19,1640.45,1652,1628,1633.15,849
2011-04-20,1638,1687.8,1629.35,1681.45,1358
2011-04-21,1685.1,1696.9,1659.9,1665.7,1698
2011-04-25,1673.95,1679,1656.05,1660.4,528
2011-04-26,1655.35,1693,1630.15,1683.15,1734
2011-04-27,1685,1691.05,1661.75,1666.9,1175
2011-04-28,1666.15,1684,1652.15,1679.35,1202
2011-04-29,1685,1696,1662.75,1669.6,538
2011-05-02,1691,1723.5,1684.65,1698.1,1387
2011-05-03,1700,1700,1668.35,1681.55,1123
2011-05-04,1665,1668,1585,1606.6,1910
2011-05-05,1602.15,1619.45,1576,1579.5,1059
2011-05-06,1587,1613.75,1560.7,1606.15,1288
2011-05-09,1611.05,1619.7,1588.05,1600.3,515
2011-05-10,1605,1621,1593.65,1599,698
2011-05-11,1598.15,1608.2,1589.05,1605.7,656
2011-05-12,1602.95,1634.25,1575.1,1598.75,1380
2011-05-13,1608.4,1676.9,1602.45,1654.65,4399
2011-05-16,1649.9,1672.9,1605.85,1624.3,2038
2011-05-17,1630.95,1647,1621,1633.95,912
2011-05-18,1635,1643.75,1576.7,1595.4,2448
2011-05-19,1596.7,1610,1573.7,1599.8,1123
2011-05-20,1599,1619.85,1561.4,1603.6,1041
2011-05-23,1587,1595.55,1560.15,1570.1,937
2011-05-24,1576.1,1588,1553.7,1558.95,977
2011-05-25,1551,1564,1532.05,1543.4,1271
2011-05-26,1540.05,1559.95,1525.1,1550.15,1595
2011-05-27,1559.65,1575,1555.6,1562.6,690
2011-05-30,1554.25,1594,1554.2,1583.85,845
2011-05-31,1597.65,1618.95,1585.65,1614.05,925
2011-06-01,1610.95,1618.65,1599.95,1615,691
2011-06-02,1609.75,1634,1606.05,1614.75,920
2011-06-03,1615.05,1622.8,1580.1,1585.15,1113
2011-06-06,1573.05,1617,1566.5,1611.4,1242
2011-06-07,1616.95,1622.75,1596.65,1611.95,869
2011-06-08,1608.6,1609.95,1578.65,1584.45,711
2011-06-09,1590.95,1592.45,1566.05,1571.45,798
2011-06-10,1580,1580,1556.05,1563.1,1214
2011-06-13,1559,1563.8,1540,1543.9,1161
2011-06-14,1547.05,1568.85,1545.55,1553.15,3125
2011-06-15,1339.9,1564,1339.9,1553.3,1539
2011-06-16,1545,1553.95,1530.1,1540.75,898
2011-06-17,1532.15,1551,1532.15,1543.9,526
2011-06-20,1544,1547.45,1475.35,1508,1454
2011-06-21,1506.05,1530,1493,1500.95,937
2011-06-22,1500.3,1511,1484.1,1506.35,770
2011-06-23,1498.9,1499.95,1481.1,1486.15,1223
2011-06-24,1503.95,1503.95,1478.7,1494.9,1455
2011-06-27,1493.3,1513.95,1488,1499.95,888
2011-06-28,1508,1542,1508,1538,2359
2011-06-29,1547.95,1559.7,1538,1545,2266
2011-06-30,1546.95,1547,1513,1531.9,1699
2011-07-01,1560.9,1561.3,1521.2,1531,971
2011-07-04,1535.05,1570.4,1535.05,1563.6,1168
2011-07-05,1564.95,1581,1560,1572.05,1104
2011-07-06,1569.95,1587.25,1512.1,1526.75,4251
2011-07-07,1526,1573.3,1526,1566.6,2240
2011-07-08,1570.95,1575,1540.1,1548.45,921
2011-07-11,1540.05,1558.95,1535,1539.75,479
2011-07-12,1532,1556.45,1532,1550.95,1287
2011-07-13,1575.3,1623.65,1575.3,1600.3,3449
2011-07-14,1594.95,1609.25,1582,1593.8,1570
2011-07-15,1592,1606.9,1583.65,1598.15,1095
2011-07-18,1602.35,1615.8,1575.1,1580.5,1183
2011-07-19,1578.25,1605,1575.8,1601.25,1041
2011-07-20,1611.1,1618.8,1555,1564.85,4030
2011-07-21,1554.95,1554.95,1534,1545.45,1626
2011-07-22,1555.3,1578.95,1552.2,1573.4,1317
2011-07-25,1565.5,1599.8,1542.45,1591.25,1587
2011-07-26,1608.9,1608.9,1559,1576.8,1204
2011-07-27,1593.9,1598.45,1550.65,1584.15,2083
2011-07-28,1574.3,1614.15,1558.3,1603.8,2305
2011-07-29,1588.45,1597,1575,1584.95,1675
2011-08-01,1595,1609.5,1594.85,1606.85,848
2011-08-02,1588.8,1615,1584.05,1597.05,1300
2011-08-03,1586.1,1592,1572.65,1581.9,921
2011-08-04,1572.95,1574,1542,1546.05,868
2011-08-05,1507.4,1537.7,1480.1,1531.25,1373
2011-08-08,1514.95,1567.4,1501.05,1548.95,1648
2011-08-09,1490,1508.45,1448.7,1491.45,3087
2011-08-10,1515,1515,1472.6,1487.45,1436
2011-08-11,1489.95,1513.45,1455.35,1489.15,1590
2011-08-12,1494.4,1509,1483,1490.9,952
2011-08-16,1500,1518.8,1494.05,1503.55,915
2011-08-17,1502,1523.05,1475.05,1508.2,1191
2011-08-18,1505.6,1508.2,1453,1465.05,1542
2011-08-19,1442.2,1486.25,1398.05,1413.9,2298
2011-08-22,1416.9,1462.4,1389,1454.8,1394
2011-08-23,1456.05,1461.35,1426.8,1445.05,1313
2011-08-24,1434.25,1456,1434.25,1447.5,1317
2011-08-25,1475.6,1487.9,1448.2,1456.05,2457
2011-08-26,1465,1670,1438.95,1455.2,1544
2011-08-29,1472.6,1499.5,1455.25,1474.85,1031
2011-08-30,1488.95,1504,1455.15,1499.6,1116
2011-09-02,1532.15,1557.05,1503.35,1512.35,898
2011-09-05,1500,1510,1478,1482.35,792
2011-09-06,1489.5,1489.5,1465.2,1477.1,952
2011-09-07,1485.95,1489,1469.25,1476.5,721
2011-09-08,1465.15,1486.5,1454,1481.35,1009
2011-09-09,1482.8,1486,1462.1,1468.65,955
2011-09-12,1451.05,1464.15,1437,1457,825
2011-09-13,1464.3,1487.85,1450.5,1454.15,1070
2011-09-14,1455,1482,1445.65,1472.8,1105
2011-09-15,1471.15,1485,1457.65,1481.9,861
2011-09-16,1478.15,1532,1470.25,1524.85,1914
2011-09-19,1520.1,1526.7,1502.5,1514.6,610
2011-09-20,1514.15,1549,1509.3,1543.55,1129
2011-09-21,1525.05,1548.15,1522,1533.3,614
2011-09-22,1511,1526,1491.1,1502.45,1233
2011-09-23,1487,1521.95,1484,1491.4,1299
2011-09-26,1477,1496.7,1464.45,1487.25,868
