Dates,Open,High,Low,Close,Volume
2014-09-10,1115.54,1143.53,1100,1110.75,808
2014-09-11,1116.58,1182.5,1109.68,1169.72,1669
2014-09-12,1185,1221.33,1176,1211.57,1811
2014-09-15,1199.73,1239.14,1199.73,1225.65,1323
2014-09-16,1230,1242,1143.47,1151.68,1478
2014-09-17,1163.5,1180.74,1111,1147.51,1319
2014-09-18,1137.73,1180.8,1137.73,1170.36,1027
2014-09-19,1170,1206.7,1157.51,1163.53,1492
2014-09-22,1155.5,1188.5,1155.5,1178.25,612
2014-09-23,1180,1185,1150,1163.24,554
2014-09-24,1164.4,1170,1137.53,1157.92,591
2014-09-25,1153.26,1168.9,1121.73,1136.42,857
2014-09-26,1137.5,1158.8,1087.5,1144.72,675
2014-09-29,1148,1156.7,1131,1138.47,218
2014-09-30,1149.8,1237,1142.5,1205.8,2792
2014-10-01,1215,1217.9,1182.67,1186.85,844
2014-10-07,1194,1202.66,1171.3,1173.68,501
2014-10-08,1172.5,1183.7,1169.02,1178.3,248
2014-10-09,1183,1185.5,1165.2,1168.92,352
2014-10-10,1155.61,1160,1126.7,1132.64,431
2014-10-13,1117.81,1145.1,1093.63,1133.51,677
2014-10-14,1134,1142.5,1111,1124.28,391
2014-10-16,1117,1151,1086.98,1101.86,692
2014-10-17,1115,1146.43,1104,1134.98,486
2014-10-20,1164.89,1174.2,1150.47,1163.2,497
2014-10-21,1165.21,1184.4,1155.5,1173.2,500
2014-10-22,1185,1197,1178,1190.3,405
2014-10-23,1198,1198,1189.1,1191.1,102
2014-10-27,1192.26,1241.9,1185,1227.69,949
2014-10-28,1242.5,1248.5,1229,1237.9,681
2014-10-29,1239.39,1270.5,1235.53,1259.06,1034
2014-10-30,1243.04,1269.17,1243.04,1253.22,564
2014-10-31,1268.88,1291.5,1266.04,1286.7,691
2014-11-03,1250,1288.7,1249.99,1281.53,491
2014-11-05,1283.5,1301.99,1280,1295.91,554
2014-11-07,1300,1308,1270.5,1276.75,543
2014-11-10,1280,1290,1270.3,1281.6,251
2014-11-11,1282,1309.39,1280.8,1306.6,757
2014-11-12,1315,1334.69,1309,1322.23,1281
2014-11-13,1350,1350,1306.26,1324.12,1171
2014-11-14,1337.1,1414,1333.1,1405.93,3093
