Dates,Open,High,Low,Close,Volume
2010-12-31,147.42,147.42,147.42,147.42,0
2011-01-03,147.99,147.99,147.99,147.99,0
2011-01-04,149.57,149.57,149.57,149.57,0
2011-01-05,151.9,151.9,151.9,151.9,0
2011-01-06,151.37,151.37,151.37,151.37,0
2011-01-07,150.51,150.51,150.51,150.51,0
2011-01-10,144.23,144.23,144.23,144.23,0
2011-01-11,143.58,143.58,143.58,143.58,0
2011-01-12,145.93,145.93,145.93,145.93,0
2011-01-13,142.88,142.88,142.88,142.95,2
2011-01-14,139.53,139.53,139.53,139.53,0
2011-01-17,138.04,138.04,138.04,138.04,0
2011-01-18,136.96,136.96,136.96,136.96,0
2011-01-19,133.73,133.73,133.73,133.73,0
2011-01-20,129.74,129.74,129.74,129.74,0
2011-01-21,130.5,130.5,130.5,129.64,1
2011-01-24,131.61,131.61,131.61,131.61,0
2011-01-25,133.9,136.97,133.9,135.13,23
2011-01-27,134.3,134.3,129.94,131.33,4
2011-01-28,129.94,130.3,126.87,129.28,39
2011-01-31,129.52,134.16,129.52,132.44,28
2011-02-01,132.24,132.24,129.23,131.29,78
2011-02-02,129.66,132.92,129.66,130.35,25
2011-02-03,130.25,132.92,130.25,131.32,12
2011-02-04,130.64,130.71,127.13,127.72,34
2011-02-07,127.41,127.41,124.37,126.1,37
2011-02-08,125.79,125.79,124.43,125.83,12
2011-02-09,121.67,126.75,120.92,126.18,61
2011-02-10,126.8,128.32,126.63,127.58,39
2011-02-11,124.31,127.17,124.31,126.27,44
2011-02-14,126.62,129.61,126.56,129.25,54
2011-02-15,131.72,131.79,128.04,129.35,52
2011-02-16,129.38,130.08,128.22,129.5,51
2011-02-17,128.81,128.81,127.94,128.45,152
2011-02-18,128.62,129.09,124.88,125.56,196
2011-02-21,124.33,128.15,123.47,127.41,2284
2011-02-22,125.75,127.17,124.03,125.4,1290
2011-02-23,124.48,126.68,124.48,125.17,1780
2011-02-24,124.58,126.79,121.88,123.76,2414
2011-02-25,123.78,125.02,121.71,123.38,1242
2011-02-28,123.19,124.62,120.22,120.71,2626
2011-03-01,121.01,126.46,120.87,125.92,1694
2011-03-03,124.59,129.35,124.17,128.36,1770
2011-03-04,130.75,131.63,126.73,127.79,1181
2011-03-07,126.82,128.15,124.31,125.35,872
2011-03-08,123.89,126.07,123.43,124.82,1150
2011-03-09,125.3,125.92,122.7,124.62,1518
2011-03-10,124.05,125.2,123.05,124.85,1220
2011-03-11,124.09,125.58,123.91,125.09,1010
2011-03-14,125.16,131.82,125.09,130.53,2207
2011-03-15,128.03,130.16,125.8,128.76,2203
2011-03-16,129.94,130.36,128.14,128.83,1432
2011-03-17,127.7,128.45,126.58,127.65,1003
2011-03-18,128.25,128.53,125.44,126.06,1298
2011-03-21,126.66,128.07,126.2,126.82,990
2011-03-22,127.32,128.81,126.66,128.38,1648
2011-03-23,128.36,132.38,128.36,131.99,1705
2011-03-24,132.46,132.6,128.87,129.95,1198
2011-03-25,130.68,130.73,127.58,129.68,1985
2011-03-28,129.64,129.66,126.62,127.1,1849
2011-03-29,126.59,128.41,125.94,128.1,1588
2011-03-30,128.81,130.5,127.41,129.57,3269
2011-03-31,129.7,131.51,128.6,130.5,1987
2011-04-01,130.92,133.21,130.05,131.43,1528
2011-04-04,131.89,131.89,129.02,129.57,2118
2011-04-05,130.21,130.87,128.81,130.33,1802
2011-04-06,131.02,134.27,130.5,133.95,2968
2011-04-07,134.59,135.63,132.78,133.51,1835
2011-04-08,133.88,134.02,131.22,132.54,1396
2011-04-11,132.38,133.26,130.54,130.85,699
2011-04-13,130.87,134.82,129.83,134.31,1746
2011-04-15,132.78,133.97,131.78,132.24,1681
2011-04-18,132.24,133.93,129.97,130.68,1489
2011-04-19,130.3,133.26,128.53,132.96,1328
2011-04-20,133.86,135.53,132.55,135.08,1388
2011-04-21,135.68,135.79,133.14,134.03,1509
2011-04-25,133.82,136.34,133.73,135.18,1145
2011-04-26,134.44,136.87,133.54,135.96,2514
2011-04-27,135.28,136.03,133.65,133.96,1801
2011-04-28,134.2,134.2,133.31,133.66,2056
2011-04-29,134.99,135.98,133.62,134.23,1287
2011-05-02,134.16,135.7,129.8,130.71,1649
2011-05-03,130.26,130.33,125.54,125.85,1256
2011-05-04,126.18,126.93,123.91,125.82,1625
2011-05-05,126,128.48,126,126.8,1683
2011-05-06,127.39,128.25,125.92,127.1,1102
2011-05-09,128.33,129.28,127.14,128.63,957
2011-05-10,128.29,130.92,128.28,130.09,1204
2011-05-11,129.52,130.25,128.18,129.87,859
2011-05-12,129.9,131.3,129.08,129.74,1003
2011-05-13,128.28,131.79,128,129.77,1276
2011-05-16,129.94,129.94,126.9,127.17,791
2011-05-17,127.13,127.13,121.84,122.27,1751
2011-05-18,121.8,122.26,118.31,119.12,1531
2011-05-19,119.55,122.81,118.94,120.56,1771
2011-05-20,120.91,122.75,117.97,119.8,2780
2011-05-23,118.21,122.82,115.59,122.08,9348
2011-05-24,121.36,122.71,120.5,120.98,1906
2011-05-25,121.77,121.77,119.17,120.87,2729
2011-05-26,121.01,125.49,119.84,124.34,3507
2011-05-27,125.16,125.28,122.63,122.93,1530
2011-05-30,123.47,125.27,121.85,124.82,1289
2011-05-31,125.56,126.84,124.43,125.79,1270
2011-06-01,126.49,128.26,125.72,127.97,989
2011-06-02,126.73,128.36,124.88,126.53,1191
2011-06-03,126.84,127.36,123.76,124.48,1536
2011-06-06,124.09,124.24,121.98,122.3,1347
2011-06-07,123.03,123.47,121.96,123.22,1256
2011-06-08,123.74,125.26,122.78,125.04,1308
2011-06-09,125.35,126.28,123.95,125.41,1052
2011-06-10,124.36,125.86,123.89,125.11,1230
2011-06-13,125.16,127.53,124.64,127.13,1081
2011-06-14,127.81,128.81,126.59,127.55,1033
2011-06-15,127.14,127.14,124.58,124.88,783
2011-06-16,124.06,124.93,122.7,123.38,1004
2011-06-17,122.67,125.3,122.67,124.43,1034
2011-06-20,124.31,125.3,119.55,121.49,1419
2011-06-21,121.71,124.06,120.83,122.25,1128
2011-06-22,122.78,124.59,122.63,123.57,716
2011-06-23,123.64,124.28,122.85,123.23,622
2011-06-24,123.99,127.36,123.99,126.58,1462
2011-06-27,128.77,131.01,128.07,129.11,2340
2011-06-28,129.16,129.56,125.45,125.83,1396
2011-06-29,126.41,127.45,123.26,124.09,2689
2011-06-30,124.1,125.66,123.75,124.09,976
2011-07-01,125.55,127.66,125.4,127.29,1031
2011-07-04,128.74,130.89,127.14,130.23,1369
2011-07-05,130.46,130.75,128.59,129.05,1079
2011-07-06,128.41,131.3,128.33,129.76,872
2011-07-07,130.04,132.38,129.52,131.88,1325
2011-07-08,132.71,133.24,130.37,130.6,1183
2011-07-11,130.77,131.2,129.39,130.54,629
2011-07-12,129.78,131.82,128.05,129.32,1144
2011-07-13,130.29,131.81,129.71,131.02,864
2011-07-14,129.94,130.68,128.12,128.74,1679
2011-07-15,128.14,129.5,125.59,125.83,1577
2011-07-18,125.47,128.25,125.47,128.05,1051
2011-07-19,128.46,130.46,127.13,128.73,996
2011-07-20,129.38,130.22,127.43,128.17,1787
2011-07-21,127.29,129.29,127.28,128.64,603
2011-07-22,129.36,132.17,129.36,131.56,1401
2011-07-25,131.7,134.44,131.09,131.67,1483
2011-07-26,132.05,132.47,128.6,129.53,1617
2011-07-27,130.09,130.6,126.9,129,3607
2011-07-28,128.19,129.94,127.76,129.11,1686
2011-07-29,128.26,130.43,127.7,128.78,1031
2011-08-01,130.22,130.5,128.08,129.9,773
2011-08-02,129.47,130.46,126.56,128.84,1087
2011-08-03,128.21,129.87,127.69,129.29,648
2011-08-04,129.39,132.5,129.11,129.94,1625
2011-08-05,127.96,129.36,125.62,126.65,2007
2011-08-08,125.42,130.73,124.17,125.17,2183
2011-08-09,122.78,125.07,120.84,122.26,2050
2011-08-10,123.51,123.51,120.19,121.67,1685
2011-08-11,121.46,123.17,120.92,122.44,1061
2011-08-12,122.98,125.41,121.85,124.88,1300
2011-08-16,125.52,125.99,120.09,120.57,1238
2011-08-17,120.92,125.56,120.92,123.51,1391
2011-08-18,124.43,124.88,122.34,123.13,1089
2011-08-19,121.08,124.45,120.39,120.97,1268
2011-08-22,121.4,121.5,116.61,117.35,1834
2011-08-23,117.27,117.96,114.83,116.17,1816
2011-08-24,116.17,116.99,115.02,115.65,1926
2011-08-25,116.31,116.99,115.3,116.16,1961
2011-08-26,117.56,118.66,115.03,115.88,1644
2011-08-29,116.99,118.6,116.3,117.89,767
2011-08-30,118.69,119.24,114.92,116.04,1462
2011-09-02,118.13,119.25,115.95,116.89,1415
2011-09-05,116.68,118.55,116.34,117.14,1500
2011-09-06,116.73,120.76,116.47,119.98,1544
2011-09-07,120.85,121.78,119.29,119.86,1108
2011-09-08,119.98,120.53,118.1,119.26,1144
2011-09-09,118.83,119.07,116.04,116.35,1608
2011-09-12,115.05,115.88,113.23,115.24,1604
2011-09-13,115.31,117.76,114.19,114.74,1282
2011-09-14,115.34,117.68,113.53,117.11,2102
2011-09-15,118.07,122.91,117.69,122.09,2146
2011-09-16,122.81,124.68,118.41,119.49,2762
2011-09-19,119.07,122.22,118.72,121.74,1259
2011-09-20,122.02,123.47,120.83,123.24,1284
2011-09-21,122.93,123.6,121.06,121.44,669
2011-09-22,120.38,120.53,117.07,118.66,1322
2011-09-23,118.41,119.81,115.86,118.67,1390
2011-09-26,117.35,119.04,114.69,115.65,1484
2011-09-27,116.03,116.65,115.26,116.3,1636
2011-09-28,116.44,118.97,115.31,118.51,1844
2011-09-29,119,120.35,116.99,119.77,1142
2011-09-30,119.39,120.66,115.61,116.04,1332
2011-10-03,114.24,118.07,113.34,117.75,1330
2011-10-04,117.08,117.76,114.54,115.34,1084
2011-10-05,115.88,115.97,112.92,114.65,1567
2011-10-07,116.69,118.53,115.55,116.14,1251
2011-10-10,116.27,119.24,115.88,118.8,1016
2011-10-11,120.07,120.07,117.55,117.89,921
2011-10-12,118.17,119,117.24,118.59,885
2011-10-13,119.25,119.48,116.89,117.69,872
2011-10-14,118.2,118.91,116.3,117.38,937
2011-10-17,117.8,117.84,115.09,115.58,1011
2011-10-18,115.03,117.24,115.03,116.83,870
2011-10-19,117.39,120.66,116.11,120.11,1512
2011-10-20,118.86,119.19,116.93,118.9,1302
2011-10-21,117.31,119.24,116.97,117.73,1286
2011-10-24,118.04,120.59,118.04,119.91,1070
2011-10-25,120.46,121.78,118.97,119.95,1837
2011-10-26,120.88,122.2,120.88,121.4,254
2011-10-28,122.81,127.46,120.14,121.54,1644
2011-10-31,121.78,122.02,119.12,119.8,1148
2011-11-01,119.36,120.77,119.36,120.01,592
2011-11-02,120.12,121.61,117.93,118.56,931
2011-11-03,118.9,121.3,118.62,120.77,1018
2011-11-04,120.95,121.89,119.15,119.78,896
2011-11-08,120.23,120.6,118.74,119.14,571
2011-11-09,118.69,118.96,116.94,117.62,1053
2011-11-11,117.17,118.41,116.45,117.35,747
2011-11-14,117.96,118.35,117.38,117.9,800
2011-11-15,117.7,117.97,114.37,115.12,855
2011-11-16,114.54,114.75,107.45,110.64,2657
2011-11-17,110.81,111.53,108.03,108.93,1473
2011-11-18,108.56,108.84,104.54,107.8,1442
2011-11-21,106.59,108.28,104.48,105.1,1419
2011-11-22,105.58,106.59,103.53,105.15,1781
2011-11-23,102.66,107.41,102.66,104.93,1816
2011-11-24,105.2,109.41,105.2,108.82,2930
2011-11-25,108.6,110.38,107.56,108.01,1488
2011-11-28,110.12,111.04,108.31,109.93,996
2011-11-29,110.33,110.95,108.48,109.55,838
2011-11-30,108.84,110.88,108.49,110.14,1592
2011-12-01,111.43,113.91,111.02,112.2,1618
2011-12-02,111.66,113.25,111.11,112.85,1347
2011-12-05,112.22,113.57,111.23,112.82,762
2011-12-07,113.26,114.46,111.71,114.01,2080
2011-12-08,113.55,113.63,110.24,111.19,1497
2011-12-09,109.2,112.02,108.86,110.39,1344
2011-12-12,112.22,112.22,109.14,109.93,1214
2011-12-13,109.53,110.45,108.42,109.88,924
2011-12-14,108.8,109.48,104.15,105.05,1737
2011-12-15,104.47,105.96,103.09,104.95,2102
2011-12-16,105.99,108.56,103.39,105.24,1769
2011-12-19,104.29,106.55,102.68,105.65,1378
2011-12-20,105.89,107.72,105.47,106.47,1244
2011-12-21,107.31,110.52,106.26,109.66,1484
2011-12-22,109.55,111.74,108.41,111.19,1274
2011-12-23,111.45,111.45,109.67,110.22,602
2011-12-26,109.69,112.22,108.9,111.46,1454
2011-12-27,111.04,112.29,108.87,110.97,778
2011-12-28,110.81,111.92,109.55,111.25,717
2011-12-29,111.5,111.6,107.28,107.47,1366
2011-12-30,107.72,108.2,106.59,107.45,1105
2012-01-02,106.88,109.59,106.09,108.39,510
2012-01-03,109.03,111.08,108.75,110.62,604
2012-01-04,109.7,111.66,109.58,110.49,819
2012-01-05,110.66,110.67,106.88,107.66,1488
