Dates,Open,High,Low,Close,Volume
2010-12-31,399.64,399.64,399.64,399.64,0
2011-01-03,401.59,401.59,401.59,401.59,0
2011-01-04,409.15,409.15,409.15,409.15,0
2011-01-05,409.88,409.88,409.88,409.88,0
2011-01-06,405.56,405.56,405.56,405.56,0
2011-01-07,407.02,407.02,407.02,407.02,0
2011-01-10,396.01,396.01,396.01,396.01,0
2011-01-11,393.86,393.86,393.86,393.86,0
2011-01-12,410.39,410.39,410.39,410.39,0
2011-01-13,419.06,419.06,419.06,419.06,0
2011-01-14,417.92,417.92,417.92,417.92,0
2011-01-17,415.49,415.49,415.49,415.49,0
2011-01-18,411.06,411.06,411.06,411.06,0
2011-01-19,409.38,409.38,409.38,409.38,0
2011-01-20,413.78,413.78,413.78,413.78,0
2011-01-21,409.41,409.41,409.41,409.41,0
2011-01-24,406.48,406.48,406.48,406.48,0
2011-01-25,401.66,401.66,401.66,401.66,0
2011-01-27,397.09,397.09,395.59,395.59,2
2011-01-28,390.24,390.24,390.24,390.24,0
2011-01-31,386.38,386.38,386.38,386.38,0
2011-02-01,385.43,385.43,385.43,382.4,1
2011-02-02,382.5,383.24,382.5,379.25,4
2011-02-03,385.3,387.36,385.3,386.34,4
2011-02-04,391.59,391.59,384.91,384.91,2
2011-02-07,386.34,386.91,386.34,389.22,2
2011-02-08,383.83,392.09,383.83,386.58,10
2011-02-09,383.62,383.62,378.92,378.92,3
2011-02-10,375.58,375.58,369.98,369.98,4
2011-02-11,372.06,376.4,372.06,376.29,16
2011-02-14,377.07,394.33,377.07,393.96,22
2011-02-15,395.09,397.09,390.48,389.58,28
2011-02-16,390.42,394.81,388.42,389.06,25
2011-02-17,393.12,394.42,392.09,392.42,20
2011-02-18,396.2,397.93,382.91,385.62,40
2011-02-21,385.37,392.92,383.23,392.06,64
2011-02-22,388.03,392.2,384.94,391.54,692
2011-02-23,389.58,393.75,381.24,382.56,969
2011-02-24,380.41,382.7,375.4,377.51,1094
2011-02-25,377.92,381.02,374.17,378.18,262
2011-02-28,376.97,383.41,372.91,378.73,341
2011-03-01,378.74,386.2,378.74,385.2,183
2011-03-03,384.29,386.73,382.08,383.16,238
2011-03-04,385.41,387.91,382.12,385.65,204
2011-03-07,371.4,385.25,371.4,384.75,388
2011-03-08,386.81,389.58,383.41,385.2,246
2011-03-09,386.08,389.95,385.91,388.92,385
2011-03-10,388.92,391.08,387.59,390.38,178
2011-03-11,387.16,402.6,387.16,395.04,949
2011-03-14,393.92,401.24,393.92,400.33,274
2011-03-15,392.09,406.22,389,399.14,873
2011-03-16,402.6,410.61,402.6,407.59,622
2011-03-17,406.6,412.61,400.98,407.67,644
2011-03-18,422.9,422.9,404.43,407.09,387
2011-03-21,407.6,408.76,404.8,407.08,298
2011-03-22,407.77,413.44,404.97,410.67,1426
2011-03-23,412.09,419.45,403.79,406.21,2983
2011-03-24,406.45,411.27,397.48,401.38,3628
2011-03-25,404.6,416.22,402.28,413.53,1556
2011-03-28,413.92,415.11,410.45,412.65,1314
2011-03-29,412.27,413.77,407.44,408.62,1462
2011-03-30,412.03,420.11,403.93,409.67,2652
2011-03-31,413.4,425.45,407.1,409.92,1834
2011-04-01,416.23,428.61,414.22,426.07,2111
2011-04-04,427.96,435.77,423.4,434.72,1500
2011-04-05,435.47,436.47,428.32,430.35,1081
2011-04-06,432.96,441.3,424.84,426.56,1946
2011-04-07,428.96,428.96,422.13,423.19,1075
2011-04-08,423.45,430.63,418.46,425.34,1474
2011-04-11,425.29,428.59,422.57,423.81,714
2011-04-13,420.62,431.13,418.95,429.26,1414
2011-04-15,426.29,430.13,420,422.43,561
2011-04-18,423.04,431.87,410.77,412.95,1299
2011-04-19,414.61,416.28,398.09,402.41,1389
2011-04-20,405.83,405.93,396.67,404.03,1718
2011-04-21,406.93,408.96,402.35,406.34,1025
2011-04-25,400.94,413.62,400.94,411.97,1181
2011-04-26,408.95,421.28,408.95,418.69,1883
2011-04-27,419.67,422.79,409.96,412.47,1331
2011-04-28,412.61,416.94,406.02,408.21,3001
2011-04-29,408.1,415,399.11,409.44,947
2011-05-02,408.53,416.28,408.53,414.68,698
2011-05-03,412.94,416.78,404.78,406.75,802
2011-05-04,405.12,405.12,390.42,391.41,1345
2011-05-05,390.42,390.92,380.91,381.97,1125
2011-05-06,385.41,390.75,384.19,389.77,811
2011-05-09,390.58,394.8,388.47,389.75,334
2011-05-10,387.25,396.02,384.81,392.5,587
2011-05-11,393.25,397.84,389.77,395.02,1095
2011-05-12,396.24,408.76,382.59,384.56,2060
2011-05-13,384.08,396.26,384.08,391.44,1050
2011-05-16,389.57,392.92,383.91,387.25,765
2011-05-17,387.31,391.46,383.18,386.02,768
2011-05-18,390.25,391.08,380.17,382.85,1215
2011-05-19,383.74,383.74,370.65,372.31,1103
2011-05-20,374.07,380.57,372.11,377.49,1645
2011-05-23,371.01,373.17,363.89,369.32,817
2011-05-24,371.56,374.86,368.48,370.49,1290
2011-05-25,374.57,375.34,366.78,374.76,1941
2011-05-26,375.32,379.41,367.46,376.06,1454
2011-05-27,377.04,380.83,372.07,374.45,862
2011-05-30,378.19,378.19,372.66,374.66,316
2011-05-31,383.4,385.4,373.77,383.08,737
2011-06-01,386.07,388.33,384.64,387.74,469
2011-06-02,386.74,387.08,379.33,380.85,618
2011-06-03,378.79,383.24,377.31,381.06,750
2011-06-06,378.75,382.49,378.5,381.05,335
2011-06-07,378.75,385.6,377.54,383.29,435
2011-06-08,380.52,386.58,380.42,381.92,566
2011-06-09,380.41,380.98,377.09,379.93,558
2011-06-10,380.41,380.41,369.82,370.47,800
2011-06-13,368.74,371.4,366.07,370.73,539
2011-06-14,372.9,377.03,371.56,373.17,437
2011-06-15,371.26,374.07,367.11,367.79,385
2011-06-16,362.9,365.22,358.88,360.75,888
2011-06-17,359.24,359.72,350.37,353.2,744
2011-06-20,346.59,356.71,327.03,334.37,2496
2011-06-21,335.37,343.37,329.69,341.34,964
2011-06-22,339.07,347.36,338.75,343.37,552
2011-06-23,344.37,345.04,337.36,338.49,493
2011-06-24,341.84,350.7,335.87,349.66,1592
2011-06-27,347.7,353.38,345.36,346.64,1438
2011-06-28,343.06,348.4,343.06,347.2,1136
2011-06-29,347.6,352.44,347.59,351.22,1190
2011-06-30,353.29,354.46,347.33,349.68,2136
2011-07-01,351.69,354.38,340.86,353.69,1513
2011-07-04,357.04,358.73,353.24,358.06,528
2011-07-05,359.99,369.39,356.89,368.6,1006
2011-07-06,367.89,373.67,366.1,370.49,722
2011-07-07,371.05,376.72,371.05,376.09,867
2011-07-08,381.07,381.07,359.38,362.48,984
2011-07-11,360.6,365.72,358,363.71,803
2011-07-12,361.04,368.89,360.39,363.15,755
2011-07-13,362.09,365.47,362.09,363.95,495
2011-07-14,359.43,368.32,357.92,363.66,1204
2011-07-15,360.56,365.97,358.91,360.66,535
2011-07-18,361.57,363.41,361.23,362.09,337
2011-07-19,361.43,366.98,361.3,365.44,633
2011-07-20,362.33,367.81,359.14,360.09,594
2011-07-21,357.88,363.22,357.44,360.09,273
2011-07-22,363.39,372.11,361.18,371.61,1066
2011-07-25,367.43,371.23,365.42,369.09,1417
2011-07-26,372.49,372.64,363.32,363.94,1018
2011-07-27,362.92,365.1,355.65,361.6,1409
2011-07-28,366.06,369.88,356.37,368.19,3207
2011-07-29,367.54,373.72,364.56,366.6,942
2011-08-01,373.67,373.67,367.23,368.18,664
2011-08-02,364.12,370.76,361.7,369.55,696
2011-08-03,368.55,370.38,365.45,368.73,578
2011-08-04,365.71,370.1,358.88,360.53,792
2011-08-05,356.87,357.05,349.57,352.84,1050
2011-08-08,345.74,353.38,344.05,350.12,896
2011-08-09,347.44,383.74,343.38,359.08,1178
2011-08-10,362.06,363.39,351.28,353.6,859
2011-08-11,354.67,359.38,349.4,351.45,531
2011-08-12,352.21,356.21,345.04,351.9,759
2011-08-16,357.05,357.05,346.29,350.11,379
2011-08-17,353.81,359.4,350.93,354.18,564
2011-08-18,351.18,356.13,348.08,350.23,549
2011-08-19,349.34,353.17,344.08,348.36,689
2011-08-22,348.58,355.2,342.03,353.39,787
2011-08-23,351.38,356.21,350.12,354.55,1280
2011-08-24,348.37,359.68,348.37,355.91,1700
2011-08-25,354.75,361.11,354.05,360.76,1679
2011-08-26,357.05,362.72,343.2,347.19,673
2011-08-29,349.54,359.13,349.54,357.77,602
2011-08-30,360.39,365.06,358.47,363.27,875
2011-09-02,361.22,365.39,350.73,358.88,723
2011-09-05,359.88,364.89,352.04,363.99,1331
2011-09-06,363.72,364.14,355,358.53,2129
2011-09-07,361.22,369.96,359.6,367.8,1727
2011-09-08,368.44,374.4,361.68,372.34,1132
2011-09-09,375.23,376.69,356.21,357.77,1229
2011-09-12,347.48,362.64,347.48,359.95,950
2011-09-13,361.22,365.39,357.38,360.45,804
2011-09-14,358.93,368.89,352.41,367.26,1037
2011-09-15,367.9,382.08,362.05,377.18,1117
2011-09-16,377.24,389.74,373.93,382.89,1118
2011-09-19,375.59,381.57,375.59,377.69,673
2011-09-20,375.45,390.42,375.45,387.96,817
2011-09-21,384.58,395.39,384.58,393.87,722
2011-09-22,384.58,389.42,379.76,383.39,1171
2011-09-23,380.91,393.82,377.5,389.69,1495
2011-09-26,387.25,390.42,378.83,381.94,1042
2011-09-27,384.28,388.27,382.24,385.9,1658
2011-09-28,380.81,387.08,377.34,379.37,840
2011-09-29,377.65,396.42,375.92,388.92,2089
2011-09-30,386.58,391.08,379.75,387.83,1751
2011-10-03,381.93,385.4,373.94,380.7,603
2011-10-04,377.57,388.75,377.57,380.31,641
2011-10-05,377.24,389.23,377.24,387.57,778
2011-10-07,400.09,403.76,387.26,390.77,981
2011-10-10,390.42,395.42,386.26,389.47,595
2011-10-11,389.57,395.24,389.57,391.23,600
2011-10-12,390.68,402.1,390.68,401.38,601
2011-10-13,402.15,403.6,387.25,389.71,844
2011-10-14,389.71,399.89,389.71,398.68,1071
2011-10-17,397.64,398.58,389.58,390.38,516
2011-10-18,392.75,398.71,388.42,390.6,624
2011-10-19,390.58,397.89,389.09,394.06,910
2011-10-20,392.09,392.09,386.75,387.91,1370
2011-10-21,385.45,391.23,381.25,383.14,1970
2011-10-24,388.77,396.9,388.24,394.54,1338
2011-10-25,396.26,410.76,394.76,409.67,1691
2011-10-26,415.24,421.95,413.48,419.28,283
2011-10-28,417.7,437.71,417.7,427.73,1095
2011-10-31,425.42,425.42,413.95,415.9,574
2011-11-01,419.78,421.28,413.11,418.61,588
2011-11-02,417.06,420.29,414.04,415.29,395
2011-11-03,411.06,422.43,409.79,421.11,506
2011-11-04,421.28,425.33,418.95,423.71,388
2011-11-08,423.76,425.39,419.87,423.26,232
2011-11-09,422.28,424.97,409.27,413.28,558
