Dates,Open,High,Low,Close,Volume
2010-12-31,116.63,116.63,116.63,116.63,0
2011-01-03,115.99,115.99,115.99,115.99,0
2011-01-04,117.78,117.78,117.78,117.78,0
2011-01-05,120.61,120.61,120.61,120.61,0
2011-01-06,121.94,121.94,121.94,121.94,0
2011-01-07,122.25,122.75,121.25,118.69,8
2011-01-10,118.55,118.55,118.55,118.55,0
2011-01-11,121.16,121.16,121.16,121.16,0
2011-01-12,121.49,121.49,121.49,121.49,0
2011-01-13,118.44,118.44,118.44,118.44,0
2011-01-14,119.91,119.91,119.91,119.91,0
2011-01-17,118.45,118.45,118.24,121.31,2
2011-01-18,121.84,123.75,121.84,123.75,3
2011-01-19,127.5,128,127.5,129.31,3
2011-01-20,126.75,126.75,126.75,126.75,1
2011-01-21,127.5,127.5,125.99,125.99,2
2011-01-24,127.5,128.5,127.5,129.18,6
2011-01-25,126.41,128.71,126.41,129.25,11
2011-01-27,127.19,129,127.19,127.76,27
2011-01-28,127.81,127.81,123.33,124.2,60
2011-01-31,116.61,124.46,116.61,124.46,63
2011-02-01,124.04,124.31,121.59,122,21
2011-02-02,122.43,125.8,122.43,124.81,29
2011-02-03,125.5,126.11,123,124.23,32
2011-02-04,124.5,124.5,120.5,120.86,69
2011-02-07,121.25,121.9,118.13,120.13,27
2011-02-08,119.39,120.45,116.95,117.34,39
2011-02-09,115.5,116.88,115.11,116.59,33
2011-02-10,118.06,120,117.55,118.14,47
2011-02-11,117.78,118.48,114.43,118.25,35
2011-02-14,118,123.04,118,121.54,99
2011-02-15,122.19,123.29,119.54,121.64,166
2011-02-16,121.64,122.01,119.06,119.54,103
2011-02-17,119.3,119.31,117.51,117.94,213
2011-02-18,117.76,117.76,114.19,115.51,680
2011-02-21,114.5,117.88,112.9,117.51,928
2011-02-22,115.78,117,114.53,116,949
2011-02-23,114.81,117.48,114.81,115.78,1445
2011-02-24,115.3,116.61,107.45,111.09,3944
2011-02-25,112,112.68,109.58,111.94,1934
2011-02-28,111.63,116,109.13,110.9,2401
2011-03-01,111.45,118.38,109.5,117.49,2480
2011-03-03,116.24,116.75,113.83,115.41,2178
2011-03-04,116.14,117.44,115.29,115.79,1227
2011-03-07,114.49,115.58,112.13,113.6,1772
2011-03-08,114.7,117.15,113.74,116.28,1650
2011-03-09,117,117.53,115.14,116.44,1093
2011-03-10,114.65,115.24,113.64,114.83,893
2011-03-11,114.59,114.75,112.4,114.18,1069
2011-03-14,113.64,116.94,113.14,116.56,1103
2011-03-15,113.8,114.75,111.53,114,2340
2011-03-16,116.1,117.43,114.25,116.2,1166
2011-03-17,115.89,116.6,113.39,114.54,1324
2011-03-18,116.25,116.25,111.8,113.08,1321
2011-03-21,113.51,114.23,112.29,112.99,691
2011-03-22,113.76,114.33,112.76,113.55,602
2011-03-23,112.84,114.9,112.8,114.38,1010
2011-03-24,114.69,115.98,114.5,115.7,652
2011-03-25,116.25,119.88,116,118.56,2733
2011-03-28,118.26,120.43,116.89,119.66,1947
2011-03-29,119.98,121.18,118.99,120.29,1162
2011-03-30,121.21,121.7,118.09,119.38,1450
2011-03-31,118.01,119.75,116.35,119.49,2289
2011-04-01,118.75,119.15,116.86,117.79,1574
2011-04-04,118,123,118,122.28,2588
2011-04-05,122.51,123.7,120.76,122.29,2089
2011-04-06,122.63,124.71,121.39,123.45,2952
2011-04-07,123.49,125.55,122.55,124.79,1909
2011-04-08,125.23,125.79,121.25,121.51,1812
2011-04-11,121.5,123.74,120.46,122.78,1937
2011-04-13,121.81,126.25,121.81,124.86,2669
2011-04-15,125.04,125.18,120.21,121.01,2711
2011-04-18,120.86,123.99,115.18,115.89,3015
2011-04-19,116.03,119.86,116.03,119.34,1825
2011-04-20,125.25,131.5,125.06,130.68,12059
2011-04-21,131.25,132.19,128.94,129.45,3878
2011-04-25,126.18,130.63,126.18,128.93,1976
2011-04-26,128.32,129.79,127.38,129.46,3410
2011-04-27,129.56,130,128.68,129.06,2272
2011-04-28,127.5,131,127.5,128.07,2191
2011-04-29,129.05,131.3,129.05,130.6,1952
2011-05-02,131.11,132.48,130.61,131.04,2256
2011-05-03,130.01,130.66,128.25,129.18,2013
2011-05-04,128.82,128.82,124.54,125.21,2626
2011-05-05,123.09,125.5,123.09,124.23,1965
2011-05-06,125.24,126.25,124.51,125.71,1445
2011-05-09,126.49,127.51,124.63,125.18,1224
2011-05-10,125.3,127.74,124.5,125.99,1533
2011-05-11,126.66,127.25,125.88,126.49,707
2011-05-12,125.68,126.99,125.06,126.15,1113
2011-05-13,125.03,128.63,125.03,126.83,1700
2011-05-16,125.99,126.7,124.53,124.99,1064
2011-05-17,125.5,127,124.75,126.06,861
2011-05-18,126.46,126.54,125.3,126.28,1041
2011-05-19,126.39,127.45,126.14,126.4,785
2011-05-20,126.5,127.11,125.55,126.7,778
2011-05-23,125.28,126.35,123.26,123.66,1085
2011-05-24,123.38,123.71,120.91,122.96,2236
2011-05-25,123.15,123.21,120.61,122.73,2674
2011-05-26,122.7,125.29,122.08,124.81,2030
2011-05-27,125.88,129.49,125.88,127.75,1371
2011-05-30,129.23,129.31,126.78,128.01,860
2011-05-31,128.51,129.71,128.06,129.43,967
2011-06-01,129.51,129.84,127.88,129.51,1063
2011-06-02,128.24,129.64,128.03,129.25,885
2011-06-03,129.98,130.19,128.14,129.01,1281
2011-06-06,128.68,129,127.14,128.19,987
2011-06-07,127.25,129.25,127.25,128.82,691
2011-06-08,128.55,128.95,127.79,128.59,647
2011-06-09,126.75,127.8,125,127.45,1747
2011-06-10,126.5,127.5,125.8,126.26,764
2011-06-13,125.04,127.14,125.04,125.84,603
2011-06-14,126.75,128.09,126.5,127.73,797
2011-06-15,127.88,127.94,125.13,125.48,731
2011-06-16,124.63,124.75,122.14,122.59,1530
2011-06-17,123,123.28,119.41,120.69,1602
2011-06-20,121.25,121.25,101.73,116.35,2103
2011-06-21,115,117.38,113.5,116.68,1903
2011-06-22,117.25,117.99,115,116.34,975
2011-06-23,115.35,118.35,115.28,117.81,1244
2011-06-24,119.25,123.73,119,123.3,2200
2011-06-27,122.69,124.44,121.91,122.94,2028
2011-06-28,123.75,124.41,120.55,122.66,2454
2011-06-29,123.5,124.1,121.19,122.3,1397
2011-06-30,123.09,124.84,122.43,123.69,1682
2011-07-01,125,126.48,124.34,124.73,940
2011-07-04,125.54,125.98,124.71,125.29,524
2011-07-05,125.49,127.88,125.19,127.4,1893
2011-07-06,128,128.68,126.25,126.49,1469
2011-07-07,126.76,128.45,126.28,127.83,1536
2011-07-08,128.21,128.74,125.99,126.26,1070
2011-07-11,126.56,127.35,123.35,123.81,1227
2011-07-12,122,123.75,121.13,123.24,1775
2011-07-13,123.5,124.49,122.94,124.11,952
2011-07-14,123.53,124.46,122.5,123.2,1213
2011-07-15,124.6,124.85,122.89,124.64,1284
2011-07-18,124.99,127.55,124.94,126.09,1842
2011-07-19,126.61,127.88,126.26,127.45,1207
2011-07-20,127.74,127.74,123.05,124.89,1585
2011-07-21,123.74,126.86,123.29,125.83,1111
2011-07-22,126.03,127.1,125.89,126.54,1819
2011-07-25,125.58,130.2,125.58,129.56,2588
2011-07-26,129.88,130.38,127.75,129.03,2315
2011-07-27,130,130,125.39,125.98,3706
2011-07-28,123.73,123.78,121.6,122.75,3756
2011-07-29,123,123.71,120.5,122.24,1674
2011-08-01,123.16,124.06,121.06,121.95,1253
2011-08-02,121.49,121.75,117.84,119,1303
2011-08-03,117.65,119.13,115.84,118.33,1681
2011-08-04,117.84,119.85,116.4,117.23,1211
2011-08-05,114.75,114.75,106.98,111.29,2630
2011-08-08,106.89,107.5,101.5,105,3834
2011-08-09,100.78,106.98,99.63,103.79,3345
2011-08-10,106.75,109.04,104.04,105.76,3287
2011-08-11,103.95,106,102.13,103.36,1979
2011-08-12,105.29,105.29,100.91,102.06,1712
2011-08-16,103.96,104.25,102.3,103.03,789
2011-08-17,104,106.7,102.89,106.08,1716
2011-08-18,105,106.1,98.13,99.03,2355
2011-08-19,97.38,99.34,91.75,98.06,3954
2011-08-22,97.85,98.75,94.35,97.13,2622
2011-08-23,97.5,100.25,95.05,99.64,3829
2011-08-24,98.85,99.39,96.29,97.04,3358
2011-08-25,97.5,97.5,92.1,93.09,4169
2011-08-26,93.35,94.1,90.39,91.28,1792
2011-08-29,92.5,98.6,92.31,98.15,2263
2011-08-30,99.61,103.63,97.49,102.88,3607
2011-09-02,102.5,102.5,98.4,99.5,1961
2011-09-05,99.2,99.33,94.83,96.25,2385
2011-09-06,95.39,99.38,95.28,98.79,2654
2011-09-07,99.86,102.43,99.25,101.53,2271
2011-09-08,102.59,104.7,101.54,103,2179
2011-09-09,103.4,104.55,100.45,101.4,2420
2011-09-12,98.24,99.16,94.05,94.64,1617
2011-09-13,95.5,98.45,93.45,95.2,2753
2011-09-14,95.51,99.99,95.51,99.24,2927
2011-09-15,100.25,101.25,97.65,100.99,2152
2011-09-16,102,102.44,96,97.01,1948
2011-09-19,96.4,98.5,95.26,98.26,1196
2011-09-20,98.23,101.63,97.25,101.33,1815
2011-09-21,102.09,103.5,100.33,101.61,2389
2011-09-22,99.25,100,94.74,95.58,2438
2011-09-23,95.15,98.51,94.83,96.98,2603
2011-09-26,97.13,97.34,93.25,96.65,1498
2011-09-27,98.2,99.41,97.26,98.54,1607
2011-09-28,99.03,102.2,99.01,101.63,2785
2011-09-29,101.36,103.23,101.01,102.54,2031
2011-09-30,102.99,104,101.5,102.08,1867
2011-10-03,99.03,101.63,98.13,99.94,1690
2011-10-04,99.15,99.79,96.25,97.63,2029
2011-10-05,97.96,100,97.5,98.99,1281
2011-10-07,102.44,103.98,100.51,101.36,2271
2011-10-10,101.18,103.5,101,103.21,1564
2011-10-11,103.88,105.34,100,100.41,2058
2011-10-12,101.48,105.5,101.29,104.63,3846
2011-10-13,106,108.23,105,106.26,2953
2011-10-14,105.5,110.19,105.5,109.5,2699
2011-10-17,110.36,110.66,107.39,109.14,1783
2011-10-18,105.53,105.53,98.5,99.08,5001
2011-10-19,100.25,101.98,99.49,100.83,2960
2011-10-20,99.5,102.25,98.56,101.81,2105
2011-10-21,102.46,104.63,102.43,103.38,2587
2011-10-24,104.98,106.41,104.5,106.16,3167
2011-10-25,107.35,107.5,105.04,107.34,2982
2011-10-26,108.88,109.73,108,108.29,292
2011-10-28,110.5,113.7,109.94,113.03,2304
2011-10-31,113.08,113.08,110.25,110.85,1270
2011-11-01,109.88,112.71,107.05,108.03,1440
2011-11-02,107,110.48,106.01,109.83,1375
2011-11-03,110,111.21,108.4,109.74,1712
2011-11-04,110.43,111.65,109.01,109.83,910
2011-11-08,108.99,109.64,107.15,107.85,1146
2011-11-09,108.31,109.09,106.25,106.84,1469
2011-11-11,106.21,108.63,105.16,106.79,1448
2011-11-14,108.63,108.75,106.16,107.24,1211
2011-11-15,107.43,107.75,105.39,106.13,890
2011-11-16,106.06,106.06,101.13,102.89,2989
2011-11-17,102.01,103.35,101.03,102.13,2013
2011-11-18,101.7,102.13,99.75,100.59,1768
2011-11-21,99.3,99.8,97.26,98.38,2220
2011-11-22,97.91,99.88,96.63,97.88,4395
2011-11-23,97.53,97.53,94.19,96.21,2587
2011-11-24,95.78,98.83,93.14,98.36,4181
2011-11-25,97.5,98.46,95.85,96.83,2200
2011-11-28,97,99.75,96.26,98.35,1808
2011-11-29,98.5,99.25,96.78,98.09,1578
2011-11-30,96.79,98.89,95.89,96.88,6350
2011-12-01,99.95,102.01,99.24,101.2,3660
2011-12-02,100.8,105.9,100.76,105.14,1753
2011-12-05,104.9,104.99,101.89,102.54,1421
2011-12-07,102.79,106.13,102.6,104.8,2716
2011-12-08,104.71,106.75,103.01,104.78,3010
2011-12-09,102.65,104.38,101.53,102.21,1902
2011-12-12,103.21,103.98,100.13,103.6,2839
2011-12-13,103.75,107,102.81,104.46,2863
2011-12-14,104.69,106.49,102.55,103.41,1952
2011-12-15,103.25,104.33,101.66,103.64,1827
2011-12-16,104.23,104.66,101.88,103.01,1901
2011-12-19,104.23,104.7,101.96,103.43,1833
2011-12-20,103.61,103.61,97.2,98.31,3053
2011-12-21,99.24,100.13,96.69,98.05,3471
2011-12-22,97,98.5,95.49,97.68,1771
2011-12-23,97.63,98.89,96.68,97.79,1518
2011-12-26,97.53,99.53,96.9,97.43,1166
2011-12-27,97.66,98.74,97.09,98.15,2237
2011-12-28,98.19,98.25,96.01,98.03,2780
2011-12-29,97.99,99.88,96.38,96.96,2268
2011-12-30,97.69,98.5,96.69,97.41,588
2012-01-02,97.01,99.13,97,98.71,563
2012-01-03,99.49,101.7,99.26,101.29,1010
2012-01-04,101.84,106.6,101.84,104.54,2174
2012-01-05,104.95,106.09,103.25,103.84,738
2012-01-06,103.25,105.24,102.89,104.23,766
2012-01-07,104.26,104.41,103.6,103.81,56
2012-01-09,103.79,104.71,103.41,103.85,461
2012-01-10,104.26,105.35,104.25,105.13,777
2012-01-11,105.88,106.05,103.13,103.7,1012
2012-01-12,102,102.41,100.34,100.94,1558
2012-01-13,101.5,101.89,99.08,99.6,1642
2012-01-16,99.3,102.3,98.78,101.73,1350
2012-01-17,105.75,107.75,103.53,106.26,4266
2012-01-18,106.19,106.35,103.2,104.16,1404
2012-01-19,105,105.24,103.55,104.39,992
2012-01-20,105.04,105.04,102.68,104.3,1271
2012-01-23,104.53,105.73,103.9,104.88,1097
2012-01-24,103.74,107.53,102.74,106.99,1565
2012-01-25,107.14,107.56,104.61,105.2,1182
2012-01-27,106.88,107.84,105.25,107.24,882
2012-01-30,107.16,108.3,105.51,107.5,1004
2012-01-31,108,110.3,108,109.5,1364
2012-02-01,109.94,110.3,108.15,109.85,777
2012-02-02,110.21,116.03,110.21,115.55,2058
2012-02-03,115.48,115.95,113.2,114.05,992
2012-02-06,114.25,117.16,114.2,115.94,1057
2012-02-07,115.68,117.36,114.4,115.18,1006
2012-02-08,115,117.74,115,117.31,607
2012-02-09,117.74,118,115.33,116.6,867
2012-02-10,116.75,117.8,115.38,117.45,704
2012-02-13,117.78,119.03,117.08,117.71,549
2012-02-14,117.55,117.99,116.03,117.53,410
2012-02-15,117.68,118.44,116.98,117.61,617
2012-02-16,117.64,119.73,117.64,119.3,907
2012-02-17,120,125.48,119.88,123.49,2297
2012-02-21,122.5,123.84,121.75,123.34,1181
2012-02-22,123.75,124.75,121.5,123.48,1894
2012-02-23,122.78,124.16,122.71,123.85,1195
2012-02-24,124.74,127.25,122.26,124.8,835
2012-02-27,124.34,125.86,121.79,122.48,1038
2012-02-28,123.19,123.19,119.59,122.35,872
2012-02-29,122.75,123.24,121.54,122.73,879
2012-03-01,122.43,122.44,120.25,121.96,476
2012-03-02,122.3,122.44,120.06,121.35,796
2012-03-03,121.51,121.56,120.89,121.28,36
2012-03-05,120.69,122.2,118.48,121.08,705
2012-03-06,120.28,123.95,119.69,121.15,1147
2012-03-07,121.11,124.88,119.64,124.39,970
2012-03-09,125.71,128.6,125.39,126.95,1412
2012-03-12,127.36,128.1,125.05,126.7,1051
2012-03-13,127.73,127.84,125.1,127.11,819
2012-03-14,128.34,130.28,126.56,127.19,891
2012-03-15,126.46,127.4,124.5,125.13,865
2012-03-16,125.36,127.23,123.15,125.21,1157
2012-03-19,123.76,125.68,123,125.13,824
2012-03-20,124.75,125.69,122.4,123.38,720
2012-03-21,123.49,124.7,122.76,123.78,737
2012-03-22,123.69,124.24,118.08,119.91,1052
2012-03-23,120.29,122.33,119.04,121.41,763
2012-03-26,121.38,121.38,118.06,119.6,725
2012-03-27,120.5,121,117.63,118.35,1283
2012-03-28,118.45,119.45,116.79,117.79,589
2012-03-29,116.5,120.75,116.18,118.04,1252
2012-03-30,120.31,122.23,118.95,121.48,694
2012-04-02,121.51,126.7,120.3,126.01,871
2012-04-03,127,127.19,125.39,126.86,406
2012-04-04,126,128.55,125.61,127.6,696
2012-04-09,125.88,127.93,123.8,124.85,819
2012-04-10,124,125.4,121.94,122.89,640
2012-04-11,122.15,123.75,121,122.88,564
2012-04-12,122.58,125.5,122.58,123.63,967
2012-04-13,120.43,122.81,118.5,119.44,1699
2012-04-16,118,122.2,118,121.56,1012
2012-04-17,120.51,124.38,119.96,120.49,1908
2012-04-18,125.13,127.74,123.4,123.86,6015
2012-04-19,124.5,126.03,123.75,125.65,1345
2012-04-20,124.66,126.83,124.66,125.86,1474
2012-04-23,126.41,126.64,123.25,123.81,969
2012-04-24,124.13,129.88,124.13,127.84,2210
2012-04-25,127.31,128.38,125.99,126.79,1241
2012-04-26,126.75,126.75,124.18,125.24,1013
2012-04-27,126.18,129.15,126.06,128.57,1270
2012-04-28,128.5,128.74,128.25,128.39,47
2012-04-30,128.73,129.75,127.63,129.34,1049
2012-05-02,129.75,131.98,129,130.36,1994
2012-05-03,130.78,130.79,128.56,129.23,1499
2012-05-04,129.5,130.88,127.56,128.34,2923
2012-05-07,126.99,128.26,125.06,125.54,1772
2012-05-08,125.73,125.73,119.13,119.76,2392
2012-05-09,119.19,122.49,118.89,122.09,1350
2012-05-10,121.9,124.36,121.01,123.05,1065
2012-05-11,122,122.68,120.88,121.99,2020
2012-05-14,120,121.98,118.13,120.84,1326
2012-05-15,119.75,122.75,118.46,122.21,1392
2012-05-16,120.96,121.61,119.2,121.31,936
2012-05-17,123.24,123.39,119.5,121.26,1455
2012-05-18,118.75,122.03,118.75,121.43,1320
2012-05-21,121.25,122.5,119.54,120.19,652
2012-05-22,120.75,122.5,120,121.6,1054
2012-05-23,122.99,122.99,120.21,121.03,945
2012-05-24,121.25,122.18,119.75,121.6,821
2012-05-25,121.98,122.38,120.54,121.95,446
2012-05-28,122.09,123.63,120.98,123.04,3589
2012-05-29,124.16,127.1,123.84,126.54,2138
2012-05-30,126.71,127.95,126.39,127.29,1482
2012-05-31,126.75,126.93,123.83,126.01,1673
2012-06-01,126.08,126.35,120.56,121.74,1529
2012-06-04,120.8,123.6,119.85,123.24,1073
2012-06-05,123.06,124.18,122.31,123.81,1428
2012-06-06,124.21,126.63,124.21,125.81,1089
2012-06-07,126.16,126.74,123.38,124.96,1352
2012-06-08,124.76,124.86,123.01,124.5,868
2012-06-11,125.31,125.31,120.03,121.13,2062
2012-06-12,119.78,122.18,118.6,121.83,2110
2012-06-13,121.98,124.06,121.48,123.39,1561
2012-06-14,123.48,123.79,119.78,120.29,989
2012-06-15,120.25,122.41,120.25,122.03,743
2012-06-18,122.68,122.68,115.25,117.85,3387
2012-06-19,117.25,119.45,116.69,118.56,3260
2012-06-20,118.98,122.5,118.9,121.95,2410
2012-06-21,122,123.5,119.76,120.93,1134
2012-06-22,120.24,121.04,118.39,118.59,1060
2012-06-25,118.81,119.16,115.8,116.61,4031
2012-06-26,116.65,116.74,113.78,115.69,3272
2012-06-27,115.75,118,115.3,117.59,2239
2012-06-28,117.63,117.64,113.89,114.76,3076
2012-06-29,116.74,120.25,116.74,119.74,2128
2012-07-02,119.5,122,119.5,121.63,1355
2012-07-03,122.41,122.69,121,121.44,1271
2012-07-04,120.5,122,119.23,121.24,1304
2012-07-05,120.75,123.45,120.68,123.14,1208
2012-07-06,123.3,123.3,120.71,122.59,1114
2012-07-09,121.75,122.95,121.03,121.66,1031
2012-07-10,121.93,124.74,121.29,124.59,1551
2012-07-11,125.18,125.18,123.18,123.58,1118
2012-07-12,122,122,119.43,120.7,1891
2012-07-13,121.69,122.5,120.55,120.99,969
2012-07-16,121.39,121.94,119.31,120.18,1065
2012-07-17,120.98,120.98,118.25,119.68,1457
2012-07-18,120.46,120.63,118.88,119.4,1116
2012-07-19,120.38,121.48,120,120.3,1257
