Dates,Open,High,Low,Close,Volume
2010-12-31,744.7,744.7,744.7,744.7,0
2011-01-03,743.95,743.95,743.95,743.95,0
2011-01-04,747.5,747.5,747.5,747.5,0
2011-01-05,723.2,723.2,723.2,723.2,0
2011-01-06,721.75,721.75,721.75,721.75,0
2011-01-07,697.85,697.85,697.85,697.85,0
2011-01-10,666.65,666.65,666.65,666.65,0
2011-01-11,672.3,672.3,672.3,672.3,0
2011-01-12,693.95,693.95,693.95,693.95,0
2011-01-13,684.1,684.1,680,680,2
2011-01-14,654.1,654.1,654.1,654.1,0
2011-01-17,653.85,668.2,653.85,668.2,2
2011-01-18,670.3,670.3,670.3,670.3,0
2011-01-19,664.9,664.9,664.9,664.9,0
2011-01-20,664.35,664.35,664.35,672.35,2
2011-01-21,662.65,662.65,662.65,662.65,0
2011-01-24,680.2,680.2,674.7,676,4
2011-01-25,687.95,687.95,675.7,681.4,11
2011-01-27,678.1,678.1,670,674.3,8
2011-01-28,677.7,677.7,648.25,652.9,90
2011-01-31,646.8,646.8,623,634.95,133
2011-02-01,648,652.75,635,637.25,49
2011-02-02,643.6,644,620.95,623.3,130
2011-02-03,626.85,635.1,624.6,631.45,39
2011-02-04,627.75,638,604.6,609.7,101
2011-02-07,610,612.05,592.25,595.3,75
2011-02-08,605.2,605.2,591.6,593.95,78
2011-02-09,591,619.8,591,611.55,131
2011-02-10,619,620.95,595.2,600.9,265
2011-02-11,605,627.55,602,624.6,275
2011-02-14,627.8,646.35,626.5,644.85,116
2011-02-15,640.65,655.35,637.3,648.95,169
2011-02-16,647.5,647.5,629.25,632.6,965
2011-02-17,635.45,654.5,633.9,652.55,753
2011-02-18,656.75,665.2,642,645.15,2001
2011-02-21,644.3,654.85,638.4,652.75,4317
2011-02-22,642.3,648.55,638.05,643.9,3822
2011-02-23,648.2,662.9,646,648.45,8252
2011-02-24,645.75,649.95,613.05,619.85,8552
2011-02-25,625.85,634.2,614.15,628.25,6496
2011-02-28,633.85,654.85,626.35,632.7,8941
2011-03-01,639,658,637.2,654.9,4949
2011-03-03,648.35,681.4,648.35,671.85,10572
2011-03-04,677.2,686.85,674.75,679.65,7295
2011-03-07,671.15,677.5,660.25,667.35,5531
2011-03-08,665.95,677,664.3,674.35,5117
2011-03-09,678.65,681.45,665.1,674.85,4809
2011-03-10,676,677.7,666.1,668.55,3984
2011-03-11,664.8,668,650.25,663.3,6046
2011-03-14,663.1,676.7,660.2,675.1,4923
2011-03-15,662.05,671.25,652,663.05,6657
2011-03-16,672,675.4,662.1,663.55,6602
2011-03-17,656.75,658.6,639,641.85,8768
2011-03-18,646.5,646.5,621.15,624.3,8528
2011-03-21,627.75,634.8,625.5,628.7,5590
2011-03-22,630.2,642,626.55,640.55,6032
2011-03-23,640.1,647,637,643.8,5147
2011-03-24,646.4,649.9,640.1,648,3140
2011-03-25,652.15,669.9,648.3,667.4,7687
2011-03-28,667,681.5,662.65,669.95,8128
2011-03-29,673.95,689.9,672.2,683.95,6833
2011-03-30,685.9,700.9,685.85,698.4,6376
2011-03-31,698.55,715,692.95,701.2,9060
2011-04-01,702.5,713.85,700.9,711.35,3664
2011-04-04,714.35,715.95,700.7,710.85,5753
2011-04-05,707.05,713.95,696.4,703.15,4982
2011-04-06,697.6,709.5,696,701.6,4659
2011-04-07,702.1,721.4,702.1,716.9,7715
2011-04-08,717.85,723.4,708.1,712.15,5282
2011-04-11,704.35,708.45,692.1,693.85,4256
2011-04-13,687.05,724.4,686.25,720.95,6912
2011-04-15,719.7,725.5,706.6,709.05,5433
2011-04-18,711,721.5,692.5,695.8,6282
2011-04-19,694.95,702.6,690.3,698.1,4556
2011-04-20,703,717.5,697,716.1,5224
2011-04-21,720.45,734.4,720.05,733.1,7591
2011-04-25,732.8,738,729.05,731.5,3832
2011-04-26,731,732,710.55,724.15,8341
2011-04-27,727,727.65,716.35,721.9,4493
2011-04-28,723,723,706.8,717.35,5593
2011-04-29,719.85,722,700.1,708.3,5155
2011-05-02,712.05,713.1,700.5,704.4,3815
2011-05-03,699.95,707.35,683.5,686.45,6894
2011-05-04,685.65,692,662.25,665.65,7519
2011-05-05,667.9,675.75,653.5,655.95,5310
2011-05-06,659.65,672,655.55,668.5,4759
2011-05-09,671.55,671.55,658.25,667.05,3007
2011-05-10,669.7,670.95,653,663.85,10026
2011-05-11,665.2,669.6,657.2,667.85,5294
2011-05-12,665,665,647,648.05,5568
2011-05-13,648.2,658.75,643,648.15,8975
2011-05-16,646.8,647.6,633.3,635.4,4401
2011-05-17,636.45,640.2,629.4,634.15,4187
2011-05-18,638,648.8,637.4,647.35,5209
2011-05-19,650.05,650.05,639.1,644.8,3533
2011-05-20,647.1,664.5,641.3,659.2,5100
2011-05-23,654.9,654.9,641.95,646.85,4175
2011-05-24,649.2,659.85,644.85,649.15,5603
2011-05-25,643.7,654.9,642,644.95,5134
2011-05-26,648.4,649.35,633.55,643.15,5088
2011-05-27,639.5,652.5,639.45,650.05,3746
2011-05-30,653.95,663.25,652.15,661.05,3583
2011-05-31,662.9,679.75,662.5,676.55,4748
2011-06-01,677.05,685.5,675.1,683.55,3535
2011-06-02,675.1,680.05,672.1,675.65,2925
2011-06-03,675.75,678,653.7,655.45,5515
2011-06-06,653.85,667.4,653.15,664.95,3554
2011-06-07,664.25,669.4,656.75,664.5,4376
2011-06-08,660.95,663.7,652.1,653.5,3273
2011-06-09,651,656,645.25,648.9,3710
2011-06-10,652.4,652.4,637.55,644.4,3998
2011-06-13,642.4,653.6,639,651.85,3015
2011-06-14,645,649.85,638.05,643.15,6365
2011-06-15,644.75,651.8,638.1,639.65,4957
2011-06-16,637.25,647.9,635.55,639.15,4482
2011-06-17,643.7,645.85,629.35,632.7,3608
2011-06-20,634.05,634.25,617.15,622.5,6135
2011-06-21,625,639.9,622,633.85,4921
2011-06-22,639.55,647,635.05,644.8,3974
2011-06-23,644.7,646.8,637.1,639.45,2723
2011-06-24,642.75,669.8,642.75,668.4,6156
2011-06-27,663.75,684.85,662.8,676.9,5379
2011-06-28,678,691.35,675.35,689.75,4765
2011-06-29,692.6,699.5,692.6,696.1,4508
2011-06-30,698.7,708.4,695.95,706.3,4976
2011-07-01,710.05,713.85,703.8,705.65,4184
2011-07-04,708,712.1,699,703.75,2857
2011-07-05,704.95,706.6,693.65,704.2,3572
2011-07-06,702.4,714.95,700.1,711.95,4641
2011-07-07,714.45,727.45,713.85,725.85,5142
2011-07-08,727.1,733,713,714.95,9808
2011-07-11,712,715.8,704.3,709.5,4325
2011-07-12,702.8,709.5,688.65,692.8,6518
2011-07-13,691.1,699.5,686.7,697,5560
2011-07-14,693.5,713.2,688.1,703.55,6821
2011-07-15,702.05,709.5,692.75,696.6,3532
2011-07-18,696.4,703.6,692,701.75,2188
2011-07-19,702.7,710.4,697.2,705.35,3552
2011-07-20,709.75,709.8,693.95,696.95,3797
2011-07-21,696.1,701.95,692.55,698.4,2364
2011-07-22,704.8,712,700.6,707.4,6047
2011-07-25,704.25,710.8,696.05,709.4,6052
2011-07-26,711.95,713.9,686.3,693.05,7239
2011-07-27,693.55,704.35,686.25,702.2,8805
2011-07-28,695.05,696.55,688.05,688.35,5223
2011-07-29,685.35,692.45,678.05,690.05,4073
2011-08-01,697.5,707.4,695,697.55,4787
2011-08-02,694.1,694.2,685,687.4,2876
2011-08-03,677.25,686.4,677.25,683.25,3158
2011-08-04,685.35,695.5,675,677.25,4797
2011-08-05,664.25,674.4,660.55,667.4,6089
2011-08-08,655.05,667.3,645,649.15,5829
2011-08-09,631.2,666,623.55,660.5,7824
2011-08-10,670.4,672.05,660.3,667.75,4106
2011-08-11,664.55,687.5,664.1,682.85,5126
2011-08-12,687,687.25,665.05,670.85,4246
2011-08-16,674.95,682.75,644.05,646.5,4226
2011-08-17,641.35,671.95,641.35,661.65,5364
2011-08-18,662.85,669,638.4,641.9,5961
2011-08-19,632.95,646,629.45,640.55,7151
2011-08-22,642.5,649,639.1,643.45,6051
2011-08-23,646.45,652.35,633.05,646.9,9247
2011-08-24,644.85,657.7,641.25,645.85,5971
2011-08-25,650.25,650.6,624.95,628.2,6382
2011-08-26,633.95,641.3,613.05,622.45,5109
2011-08-29,631,652.3,627.1,647.95,3338
2011-08-30,652.55,668.4,651.45,663.7,4112
2011-09-02,660.9,684.9,654,660.85,3446
2011-09-05,654.05,659.35,642.25,650.45,4152
2011-09-06,647,656.4,642,655.35,4779
2011-09-07,658.95,669.4,658.5,666.65,3937
2011-09-08,666.5,667.45,656.5,660.95,2932
2011-09-09,664.4,672,659.05,660.6,5427
2011-09-12,655.6,658.5,642.6,654.45,3864
2011-09-13,656.95,665,646,647.9,4097
2011-09-14,645.55,651,634,647.85,5301
2011-09-15,652.85,663.1,635.7,656.15,5047
2011-09-16,665,674.75,658.6,662.65,4659
2011-09-19,656.95,660.2,650.75,654.55,2272
2011-09-20,655.7,679.5,655.15,676.75,6596
2011-09-21,676.2,679.35,667.15,675.65,3349
2011-09-22,665,669.8,641.65,644.2,5230
2011-09-23,639.8,645,624,626.55,9498
2011-09-26,624.3,628.35,617.65,624.4,5997
2011-09-27,631,646.9,628,642.2,4043
2011-09-28,645.75,646,630.6,636.05,5157
2011-09-29,638,659.95,637.45,652.45,6477
2011-09-30,650.1,655,637,640.3,4631
2011-10-03,632.4,634.8,615.55,632.95,5770
2011-10-04,628,636.25,617.1,621.4,4614
2011-10-05,624.65,641.3,621.15,627.55,6388
2011-10-07,638.7,658.2,638.7,647.8,6223
2011-10-10,645.15,667.3,645.15,663.85,3361
2011-10-11,668.25,679.8,665.7,668,4147
2011-10-12,671.1,674.7,660,672.4,5082
2011-10-13,673.95,674.7,663.3,664.95,3509
2011-10-14,661.2,671.9,660.35,669.7,3912
2011-10-17,673.9,678,665.2,673.7,6209
2011-10-18,666.2,677.9,666.2,674.5,8363
2011-10-19,678,678.5,671.3,676.25,4922
2011-10-20,671,671,640.5,647.45,10436
2011-10-21,648.25,651.8,631.8,635.35,5601
2011-10-24,644.55,649.35,635.9,642.25,4220
2011-10-25,639.1,672,633.65,669.2,6870
2011-10-26,672.25,679.5,665.65,672.75,1013
2011-10-28,686,695.85,684.1,692.5,3834
2011-10-31,690.15,698.45,682.25,691.3,2993
2011-11-01,684.9,690.4,683.65,688.55,2739
2011-11-02,684.9,693.45,683,685.75,2923
2011-11-03,681.65,690,677.3,687.35,2690
2011-11-04,692,692,682.8,688.75,2111
2011-11-08,688.5,692.95,678.35,684.45,1929
2011-11-09,686.75,689.55,681.5,684.2,3504
2011-11-11,682,683,667.6,670.65,3843
2011-11-14,675.7,679,670,673.95,2816
2011-11-15,672.35,676,657.05,660.4,3467
2011-11-16,652.25,659,629.25,650.05,7149
2011-11-17,652.25,654.1,632.6,636.05,4655
2011-11-18,635.1,648,632.9,646.05,6214
2011-11-21,642.5,642.5,620.2,624.9,4395
2011-11-22,628.9,645.55,627.75,637.1,5943
2011-11-23,637,638.25,611.8,622.5,8322
2011-11-24,621.65,628.8,607.1,626.1,8114
2011-11-25,624.65,625,605.6,613.55,5876
2011-11-28,620.25,649.7,620.25,647.5,4478
2011-11-29,648.55,648.55,635.3,637.7,4064
2011-11-30,630.1,647.8,627.25,642.5,5423
2011-12-01,657.1,666.55,655,660.5,5295
2011-12-02,664.1,673.9,658.25,672.35,3703
2011-12-05,666.3,673.85,660.7,666.3,2452
2011-12-07,666,680.55,660.55,677.75,5365
2011-12-08,673.6,679,661.1,669.75,5554
2011-12-09,660.25,665.6,652.65,657.65,4689
2011-12-12,662.8,662.8,644.75,646.8,5031
2011-12-13,640.6,653.9,636.25,647.75,6126
2011-12-14,646.15,648.85,630.55,632.6,5011
2011-12-15,625,642.25,625,637.4,6402
2011-12-16,641,647.8,620.15,624.15,6024
2011-12-19,618.4,622.4,600.05,618.7,8460
2011-12-20,620.15,628.8,618,623.5,6024
2011-12-21,634.6,659,633.4,655.35,7475
2011-12-22,650.8,664.7,648.1,661.8,9343
2011-12-23,665.1,665.1,655.05,659.3,6307
2011-12-26,660.85,669.55,657.5,665.1,6395
2011-12-27,664.6,669.5,662,666.7,4996
2011-12-28,668,671.65,659.5,660.85,5941
2011-12-29,658.1,664.5,655.35,656.6,6314
2011-12-30,659.9,668.5,650,652.35,4493
2012-01-02,650.55,654.95,643.15,651.2,2824
2012-01-03,658.05,671.15,656,668.2,3424
2012-01-04,670,670,661.2,662.95,3792
2012-01-05,665.5,672.35,663.15,669.85,3963
2012-01-06,665.7,676.45,658,671.5,5247
2012-01-07,669.75,671.85,667.65,669.3,323
2012-01-09,667.7,669.3,656.75,665.45,3678
2012-01-10,668.65,685.5,668.4,683.15,5286
2012-01-11,685.9,690.95,680.05,682.6,7894
2012-01-12,683.5,703.8,671.15,690.85,22196
2012-01-13,692.25,695.85,674,685.2,8160
2012-01-16,680.95,681.35,673.25,677.95,4341
2012-01-17,680,683.45,675.3,677.75,4582
2012-01-18,677.7,684.95,673.95,683.75,4932
