Dates,Open,High,Low,Close,Volume
2010-12-31,239.9,239.9,239.9,239.9,0
2011-01-03,244.21,244.21,244.21,244.21,0
2011-01-04,239.6,239.6,239.6,239.6,0
2011-01-05,235.74,235.74,235.74,235.74,0
2011-01-06,237.66,237.66,237.66,237.66,0
2011-01-07,231.57,231.57,231.57,231.57,0
2011-01-10,221.91,221.91,221.91,219.52,1
2011-01-11,218.87,218.87,218.87,218.87,0
2011-01-12,219.5,219.5,219.5,224.83,1
2011-01-13,218.44,218.44,218.44,218.44,0
2011-01-14,205.68,205.68,205.68,205.68,1
2011-01-17,210.64,210.64,210.64,210.64,0
2011-01-18,214.76,214.76,214.76,214.76,0
2011-01-19,211.29,211.29,211.29,211.29,0
2011-01-20,214.9,214.9,214.9,215.51,4
2011-01-21,213.09,213.09,213.09,213.09,0
2011-01-24,213.41,213.41,213.4,218.46,4
2011-01-25,218.94,218.94,212.5,211.9,5
2011-01-27,210.49,210.49,206,207.6,8
2011-01-28,207.8,210,206.94,207.27,112
2011-01-31,187.75,207.35,187.75,206.03,66
2011-02-01,201.97,206.48,201.97,205.09,61
2011-02-02,206.31,206.88,202.32,203.15,161
2011-02-03,204.77,207.8,204.22,207.09,26
2011-02-04,207.93,209.36,201.62,202.94,119
2011-02-07,204.69,206.67,203.73,204.26,193
2011-02-08,205.77,205.77,199.31,200.63,188
2011-02-09,201.36,203.81,199.5,202.63,135
2011-02-10,204.09,205.66,201,202.18,175
2011-02-11,202.9,207.71,201.82,207.38,266
2011-02-14,208.78,211.95,208.46,211.48,887
2011-02-15,211.24,213.2,208.25,211.57,453
2011-02-16,205.23,211.91,205.23,210.64,731
2011-02-17,210.5,219.47,210.38,218.79,4590
2011-02-18,218.32,224.2,217.01,217.66,5881
2011-02-21,217.44,221.8,213.62,221.31,2803
2011-02-22,219.99,219.99,213,214.49,6243
2011-02-23,214.1,215.8,210.1,211.49,10902
2011-02-24,211.11,211.75,205.5,206.8,10751
2011-02-25,208.4,209,202.4,205.38,9003
2011-02-28,206.3,213.07,203.61,205.14,14263
2011-03-01,207.39,215.99,206.11,214.79,9815
2011-03-03,214.1,223.14,214.1,219.39,12379
2011-03-04,220.89,223.25,220.07,221.31,8161
2011-03-07,219.81,220.21,214.59,218.04,7761
2011-03-08,217.01,222.61,216.31,221.76,8123
2011-03-09,222.3,224.5,219.61,221.06,7388
2011-03-10,219.61,221.4,218.56,220.66,6731
2011-03-11,219.39,221.68,217.24,218.84,6167
2011-03-14,218.67,222.95,217.8,222.48,5837
2011-03-15,219.2,220.09,213.9,218.13,13736
2011-03-16,219.89,221.14,218.7,219.24,7276
2011-03-17,217.74,223.19,217.49,218.82,11337
2011-03-18,219.04,219.91,215.1,215.59,6684
2011-03-21,217.66,218.38,215.14,216.21,6155
2011-03-22,217,218.1,215.11,216.16,6598
2011-03-23,215.66,219.1,215.36,217.41,7527
2011-03-24,217.9,220.96,217.64,220.56,8542
2011-03-25,222,228.99,220.9,227.89,11014
2011-03-28,228.01,231.89,228.01,230.36,8915
2011-03-29,231.21,233.06,229.27,231.43,8907
2011-03-30,231.54,236.6,230,234.61,9680
2011-03-31,235.1,239.71,230.8,234.59,12614
2011-04-01,236.5,237.48,233.65,235.09,4905
2011-04-04,235,242.17,235,241.42,7456
2011-04-05,239.9,241.96,237.68,240.53,7258
2011-04-06,240.41,240.78,236.11,238.77,5640
