Dates,Open,High,Low,Close,Volume
2020-02-28,551,566.8,542,544.65,2708
2020-03-02,554,566.45,550.85,554.95,1241
2020-03-03,560.7,574.7,560.7,565.4,1513
2020-03-04,569,571.25,561,569.8,933
2020-03-05,572,572,558,567.05,1926
2020-03-06,540.15,557.8,536.7,549.75,1324
2020-03-09,541,545,508.65,519.15,2226
2020-03-11,517.55,527.3,510,515.2,1481
2020-03-12,490,500,455,475.45,2315
2020-03-13,436.75,526,434.2,509.15,3809
2020-03-16,491.8,501,464,474.5,3489
2020-03-17,479.2,485.35,459.3,464.7,2575
2020-03-18,468,470,409.55,418.85,2813
2020-03-19,387.55,432.5,385.3,418.55,4112
2020-03-20,426,444,412.85,419.15,3363
2020-03-23,378,394,340,342.6,2583
2020-03-24,361.95,411.15,345.05,392,5005
2020-03-25,388,441.75,388,435.1,2928
2020-03-26,447,485,433.45,477.45,3012
2020-03-27,457.7,486,435.95,438.6,10162
2020-03-30,430.2,444.35,409.15,414.65,4156
2020-03-31,429,447.25,416.15,441.6,2989
2020-04-01,437.6,448.75,426.95,431,4236
2020-04-03,429,444.15,418.55,424.3,4188
2020-04-07,441.1,477.7,434.65,472.55,3381
2020-04-08,465.55,502.65,460.4,478.35,3381
2020-04-09,489,496.4,466.15,474.75,1990
2020-04-13,473.95,484.5,455.6,480,2326
2020-04-15,483,492,470,472.8,2654
2020-04-16,468.55,494.75,463.45,490.55,2820
2020-04-17,504,520,494.15,497.9,3984
2020-04-20,501.6,517.45,496.8,509.45,2390
2020-04-21,497.95,504.35,490.05,497.35,1945
2020-04-22,500,510,491.4,505.15,1705
2020-04-23,508.85,512,487,489.05,2074
2020-04-24,477.9,479.25,451.5,453.55,3397
2020-04-27,461,490.8,461,484.7,5567
2020-04-28,494.65,495,470.95,485.9,6886
2020-04-29,487,505,484.55,492.2,5423
2020-04-30,499,510.25,491.1,501.05,3805
2020-05-04,487.95,489.95,472,480.8,3383
2020-05-05,486.8,489.8,475.05,478.4,2077
2020-05-06,479.25,501.05,471.35,493,6021
2020-05-07,491.2,503.45,491.2,494.6,2785
2020-05-08,500,527.7,499.5,520.95,9646
2020-05-11,526.5,538.95,522.95,526,5762
2020-05-12,520.3,537.6,518.1,528.65,5248
2020-05-13,537.85,538.2,514.4,516.8,4129
2020-05-14,511.05,522,490.75,494.8,4971
2020-05-15,499.2,499.7,485.65,488.6,3844
2020-05-18,484.35,490,463.6,467.5,3202
2020-05-19,474.9,487.25,465,474,3705
2020-05-20,474.7,483.35,472.8,480,2775
2020-05-21,482.7,494,481.75,491.95,4155
2020-05-22,493.9,504,488,492.5,5035
2020-05-26,498.05,514.85,495,507.05,7494
2020-05-27,505.15,510.65,495.25,501.9,7313
2020-05-28,499.9,523.05,499.3,516.8,5183
2020-05-29,512.4,534.9,510.9,519.35,12774
2020-06-01,518.75,526.35,512.05,515.1,3882
2020-06-02,513.15,521,496,498.6,11352
2020-06-03,503.45,521,496.2,503.05,22326
2020-06-04,524,526,511.25,516.45,16785
2020-06-05,518,520.45,510.15,515.35,4407
