Dates,Open,High,Low,Close,Volume
2011-05-27,1894.8,1894.8,1894.8,1894.8,0
2011-05-30,1816.2,1816.2,1808,1879.2,17
2011-05-31,1897.65,1897.65,1897.65,1897.65,0
2011-06-01,1906.05,1906.05,1906.05,1906.05,0
2011-06-02,1832.7,1849.5,1832.7,1841.35,5
2011-06-03,1839.95,1839.95,1805,1810.8,57
2011-06-06,1818.95,1818.95,1818.95,1818.95,1
2011-06-07,1805,1805,1795.55,1871.9,9
2011-06-08,1762.55,1762.55,1762.55,1800.9,1
2011-06-09,1735.05,1735.05,1704.05,1709.2,19
2011-06-10,1682.1,1685.5,1682.1,1759.65,2
2011-06-13,1679.5,1695.75,1679.5,1695.75,3
2011-06-14,1711,1711,1711,1770,1
2011-06-15,1780.45,1780.45,1780.45,1780.45,0
2011-06-16,1705.1,1707.85,1700.75,1769.55,3
2011-06-17,1700.45,1705.35,1689,1691.1,57
2011-06-20,1701.95,1701.95,1699.9,1701.9,3
2011-06-21,1708.9,1732,1708.9,1727.1,3
2011-06-22,1735.05,1735.1,1726.2,1777.65,7
2011-06-23,1681.5,1718,1681.5,1711.95,36
2011-06-24,1746.15,1825,1746.15,1895.5,6
2011-06-27,1811.15,1865.3,1811.15,1881,3
2011-06-28,1813.8,1813.8,1807.15,1807.65,9
2011-06-29,1829,1829,1804.5,1804.55,96
2011-06-30,1830,1839,1820.9,1827.9,7
2011-07-01,1834.35,1853.1,1834.25,1926.4,37
2011-07-04,1865.9,1865.9,1851.25,1857.6,11
2011-07-05,1854.15,1864,1838.2,1856.25,43
2011-07-06,1854.8,1854.8,1834,1836.4,18
2011-07-07,1844,1859,1839.75,1857.75,11
2011-07-08,1866.6,1898.25,1866.6,1875.25,32
2011-07-11,1868,1898.2,1858.15,1869.7,27
2011-07-12,1857,1864.45,1833.1,1838.7,13
2011-07-13,1850.95,1859.8,1844.8,1859.15,14
2011-07-14,1837,1851.7,1809.65,1835,38
2011-07-15,1832.2,1841.1,1796,1809.9,39
2011-07-18,1803.5,1811,1803,1806.35,304
2011-07-19,1800.3,1800.3,1782.6,1786.55,354
2011-07-20,1790.05,1795,1743,1751.15,168
