Dates,Open,High,Low,Close,Volume
2010-12-31,248,248,248,252.55,2
2011-01-03,251.45,251.45,251.45,251.45,0
2011-01-04,249.35,249.35,249.35,249.35,0
2011-01-05,249.95,250.65,249,251.75,4
2011-01-06,251.25,254.75,250.5,254.75,8
2011-01-07,252.65,252.65,237.2,238.1,6
2011-01-10,226.55,226.55,226.55,226.55,0
2011-01-11,229.4,229.4,228,235.15,2
2011-01-12,242.15,242.15,242.15,242.15,0
2011-01-13,238.8,238.8,238.8,238.8,0
2011-01-14,234.45,234.45,234.45,234.45,0
2011-01-17,232.6,232.6,229,229.05,2
2011-01-18,232.25,233.25,232,232.85,5
2011-01-19,238.5,238.5,238.5,238.5,1
2011-01-20,239,240.25,236.15,240.7,10
2011-01-21,238.9,238.9,237.05,238.6,5
2011-01-24,236.4,237.15,235,236,9
2011-01-25,238.45,240.8,236.15,236.75,23
2011-01-27,238.45,239.5,235.4,235.65,32
2011-01-28,235.4,235.4,221.3,225.45,111
2011-01-31,220.85,232.5,220,231.15,182
2011-02-01,234,235.4,229.5,230.6,146
2011-02-02,233.9,238.7,232.15,235.7,209
2011-02-03,236.7,247.65,236.7,247,322
2011-02-04,248.6,252.2,236.65,238.55,502
2011-02-07,239,239.6,229.9,234.1,384
2011-02-08,235.7,239.5,233.9,235.35,368
2011-02-09,233.1,233.4,219.65,221.45,502
2011-02-10,220.6,222.15,213.95,217.9,465
2011-02-11,217.1,217.5,203.8,213.45,629
2011-02-14,214.2,221.7,205.65,221.1,529
2011-02-15,220.1,221.4,214,214.7,501
2011-02-16,214.1,216.9,209.95,213.85,731
2011-02-17,214,216.1,212.5,213.4,457
2011-02-18,214.95,219.15,210.25,211.45,1185
2011-02-21,211.7,215.25,207.25,214.45,3039
2011-02-22,212.4,216,210,213.6,2834
2011-02-23,212.65,217,212.25,213.9,3655
2011-02-24,212.5,213.2,204.5,206.4,8167
2011-02-25,209.25,209.8,195.8,201.6,18568
2011-02-28,202.5,210.45,197.3,201.8,20716
2011-03-01,203.9,214,203.7,213.4,13379
2011-03-03,212,213.45,207,210.65,13701
2011-03-04,211.8,213.95,208.1,210.6,11317
2011-03-07,208.9,211.9,208.2,210.75,10745
2011-03-08,209,213.2,208,212.45,10379
2011-03-09,213.2,215.8,211.6,213.5,8649
2011-03-10,211.55,212,206.3,209.4,10044
2011-03-11,207.9,208.95,204,206.55,9262
2011-03-14,205.8,210.75,205.2,210.3,7417
2011-03-15,204.85,206.8,203.2,204.4,8508
2011-03-16,205.9,207.3,203.75,204.4,6203
2011-03-17,202.7,204,198.1,199.05,8515
2011-03-18,200.5,202.4,197.3,197.95,8742
2011-03-21,199.5,199.7,191.25,191.9,10074
2011-03-22,193.7,194.35,190.3,192.9,7214
2011-03-23,191.8,197.6,191.5,197.2,8077
2011-03-24,197.8,205.7,197.8,205.2,11941
2011-03-25,206.65,208,204.4,207.1,8702
2011-03-28,207,208.75,204.3,205.85,7020
2011-03-29,205,210.65,205,208.5,9063
2011-03-30,210,210.4,204.95,205.85,6155
2011-03-31,206.25,209.4,203.55,209.15,7090
2011-04-01,210.2,215.85,210.2,215.05,7630
2011-04-04,215.4,218.4,215.25,217.35,4837
2011-04-05,217.3,220.95,215.25,217.05,10679
2011-04-06,217.1,218.7,212.5,213.7,6751
2011-04-07,213.95,218.3,213.75,216.75,6855
2011-04-08,216.05,218.2,209.5,210.1,8692
2011-04-11,208.7,211.5,207.05,208.6,6276
2011-04-13,205.5,211.5,205.5,210.8,8809
2011-04-15,209.75,213.8,209.45,210.85,8295
2011-04-18,211.5,213.9,204,204.5,8669
2011-04-19,204.45,206.4,200.7,205.95,6939
2011-04-20,207.1,215.5,207.1,214.7,10363
2011-04-21,216.9,221.45,216.35,221.05,12607
2011-04-25,221,221.95,216.3,219.95,9016
2011-04-26,219.5,224.45,216.65,223.25,14316
2011-04-27,224.9,224.9,219.55,220.3,6362
2011-04-28,221.15,221.85,217.9,219.05,7205
2011-04-29,220.7,220.75,214.55,216.95,9891
2011-05-02,218.25,218.4,213.55,215,5570
2011-05-03,214.9,216,206,207.55,7468
2011-05-04,204.15,209.55,201.7,206.5,10147
2011-05-05,205.7,208.9,201.15,202.2,10732
2011-05-06,203.1,204.9,197.6,202.4,12809
2011-05-09,203.1,206.75,201.15,203.65,10341
