Dates,Open,High,Low,Close,Volume
2010-12-31,319.95,319.95,319.95,319.95,0
2011-01-03,319.95,319.95,319.95,319.95,0
2011-01-04,327.8,327.8,327.8,327.8,0
2011-01-05,332.65,332.65,332.65,332.65,0
2011-01-06,327.5,327.5,327.5,327.5,0
2011-01-07,319.45,319.45,319.45,319.45,0
2011-01-10,315.2,315.2,315.2,315.2,0
2011-01-11,314,314,314,314,0
2011-01-12,310.85,310.85,310.85,310.85,0
2011-01-13,308.05,308.05,308.05,308.05,0
2011-01-14,309.4,315,305,305,9
2011-01-17,307.25,307.25,307.25,307.25,0
2011-01-18,306.8,306.8,303,307.35,3
2011-01-19,304.2,304.2,304.2,305.05,1
2011-01-20,301.75,301.75,301.75,301.75,1
2011-01-21,303.45,303.45,303.45,303.45,0
2011-01-24,302.95,302.95,302.95,302.95,0
2011-01-25,299,299,282,282.65,15
2011-01-27,280,280,271.5,272.05,31
2011-01-28,270,277,266,274.95,48
2011-01-31,271.4,278,267.75,272,84
2011-02-01,271.55,271.55,268,270.75,36
2011-02-02,271.3,276.7,271,274.95,33
2011-02-03,276.2,282,276.2,278.8,42
2011-02-04,277,277.35,271.15,272.75,55
2011-02-07,272.55,275.85,272.45,274.05,38
2011-02-08,276,276.2,271,273.65,238
2011-02-09,272.75,277.95,270.5,276.4,384
2011-02-10,275.85,277.6,268.1,271.9,438
2011-02-11,273.1,273.55,268.45,268.8,300
2011-02-14,268.75,273.5,268.6,272.9,306
2011-02-15,275.3,275.3,272.1,272.8,645
2011-02-16,273.2,275.75,273.2,275.25,699
2011-02-17,276,276,272.6,273.5,812
2011-02-18,273.1,281.2,273.1,277.35,2807
2011-02-21,279.6,281.45,276.55,280.3,2740
2011-02-22,278.35,280.05,274.4,278.1,6221
2011-02-23,278.35,280.1,276.5,277.75,9100
2011-02-24,277.85,279.8,270.9,274.4,6179
2011-02-25,274.1,278,268.5,276.95,3582
2011-02-28,275.1,289.35,275.1,281.2,4145
2011-03-01,281.1,286.5,281,285.55,2669
2011-03-03,285,290.5,284.95,287.75,2962
2011-03-04,288.3,288.9,282.25,284.05,1789
2011-03-07,283.75,285.7,278.15,281,2431
2011-03-08,281.95,284.6,280.25,281.45,1169
2011-03-09,282.4,283.5,278.2,279.55,1681
2011-03-10,278,279,275.8,276.35,955
2011-03-11,276.3,278.5,275.25,276.4,1939
2011-03-14,275.75,278.35,274.5,277.6,1906
2011-03-15,274.2,277.5,269.35,272.35,3276
2011-03-16,273.75,274.4,268.3,270.7,3864
2011-03-17,269.55,271.65,268.5,269.8,2202
2011-03-18,270.75,271.4,267.8,268.4,1207
2011-03-21,268.3,268.85,263.7,264.95,1682
2011-03-22,265.6,269.25,263.6,266.4,2337
2011-03-23,266.55,271.4,266.2,269.6,2602
2011-03-24,269.6,270.6,267.95,269.45,1871
2011-03-25,270.1,272.55,267.55,271.85,6985
2011-03-28,272.8,279.3,271.25,276.55,8484
2011-03-29,276.8,279.9,276.1,278.05,4504
2011-03-30,277.35,280.6,276.85,277.95,5177
2011-03-31,278.8,289.2,276.3,287.1,8202
2011-04-01,284.35,287.5,280.3,282,2305
2011-04-04,281.35,282.85,274.5,277.9,3336
2011-04-05,277.05,280.45,273.6,274.4,2475
2011-04-06,275.3,276.75,272.35,275.35,2446
2011-04-07,275.9,277.3,273.35,274.15,1851
2011-04-08,275.2,277,274,274.95,1465
2011-04-11,272.35,276.95,272.35,273.1,1694
2011-04-13,272.35,282.9,271.45,280.7,5081
2011-04-15,280.8,281.6,273.4,275.3,3767
2011-04-18,276.4,282,273.6,278.65,3066
2011-04-19,278.6,279.85,276.2,277.35,1501
2011-04-20,277.85,285.2,277.85,284.75,4282
2011-04-21,285,290.7,284.25,289.5,6512
2011-04-25,289.4,293.85,288.65,289.8,7691
2011-04-26,288.1,289.3,279.85,284.95,7346
2011-04-27,285.25,288.15,282.2,283.95,6664
2011-04-28,284.25,284.25,278.65,279.3,6249
2011-04-29,277.75,285.5,276.6,283.4,2687
2011-05-02,284.25,286.95,280.1,281.35,2164
2011-05-03,280.35,280.75,271.55,272.6,1963
2011-05-04,272.6,275.8,270.2,273.1,1832
2011-05-05,273.45,273.8,265.1,265.55,1898
2011-05-06,267.3,275,266.75,273.6,2269
2011-05-09,272.95,286.4,269.6,283.55,13625
2011-05-10,286.6,298,285.95,296,11926
2011-05-11,296.1,299.95,293.6,298.9,4018
2011-05-12,297.4,302.2,296.05,298.8,5400
2011-05-13,298.35,310.9,296.5,305.6,6354
2011-05-16,305.6,308.75,300.35,302.45,4180
2011-05-17,303.45,308.7,300.3,307.35,5536
2011-05-18,307.6,309.8,306.5,307.2,3517
2011-05-19,308.2,309.2,305.2,307.45,2860
2011-05-20,307.35,310.65,306.5,308,3524
2011-05-23,307.1,307.9,302.4,304.05,7742
2011-05-24,304.05,305,298.7,302.15,9426
2011-05-25,301.55,306.5,297.4,300.85,8191
2011-05-26,301.6,308.95,298.75,308.6,8240
2011-05-27,303.95,305.45,300.2,301.25,1593
2011-05-30,302,303.75,299.25,302.45,1398
2011-05-31,302,308.3,302,304.7,3222
2011-06-01,304.75,313,303.25,310.5,3225
2011-06-02,311.1,322.75,308.65,320.05,9303
2011-06-03,320.75,320.75,315.1,317.75,3533
2011-06-06,317.6,319.05,314.15,314.75,1496
2011-06-07,313.25,314.55,307.2,308.95,2991
2011-06-08,306.65,314.7,306,313.3,3658
2011-06-09,314.25,315.6,311.1,311.75,1832
2011-06-10,311.1,312.4,307.8,310.3,1744
2011-06-13,309.15,314.5,308.4,312.8,1946
2011-06-14,313.85,316.8,313.85,315.45,3277
2011-06-15,314.45,318.35,313,315.6,1892
2011-06-16,315.8,321.95,315.05,319.15,4263
2011-06-17,319.15,325.3,317.55,320.65,3269
2011-06-20,320.35,321.95,312.2,319.6,7506
2011-06-21,320.45,324.5,318.5,320,3399
2011-06-22,321.6,321.6,309.8,310.4,5316
2011-06-23,310,317.25,309.2,315.7,4025
2011-06-24,316.55,325.2,316.55,324.45,6211
2011-06-27,322.45,327.2,321.6,323.65,5456
2011-06-28,323,325.7,321.8,324.25,5772
2011-06-29,325,334.6,324.55,332.9,9718
2011-06-30,332.9,346.65,332.9,343.65,7234
2011-07-01,342,342,333.25,334.8,3467
2011-07-04,336.65,337.5,332.7,333.45,1533
2011-07-05,332.8,334.25,329.1,330.25,2807
