Dates,Open,High,Low,Close,Volume
2010-12-31,212.87,212.87,212.87,212.87,0
2011-01-03,212.65,212.65,212.65,212.65,0
2011-01-04,205.05,205.05,205.05,205.05,0
2011-01-05,198.36,198.51,198.36,198.57,2
2011-01-06,195.55,195.55,195.55,195.55,0
2011-01-07,193.64,193.64,193.64,193.64,1
2011-01-10,188.41,188.41,186.82,188.05,3
2011-01-11,186.11,190.91,186.09,189.64,3
2011-01-12,191.64,191.64,191.64,198.24,1
2011-01-13,186.82,195.08,186.38,190.74,3
2011-01-14,186.73,198.2,184.55,184.55,5
2011-01-17,185.26,185.26,182.84,185.4,4
2011-01-18,185.71,185.71,185.71,187.24,1
2011-01-19,188.73,189.42,188.27,188.27,4
2011-01-20,189.09,193.64,188.37,191.55,21
2011-01-21,192.03,195.45,190.71,195.45,16
2011-01-24,195.82,200.37,195.82,198.15,34
2011-01-25,198.15,199.58,189.97,190.38,99
2011-01-27,194.93,194.93,184.92,186.37,97
2011-01-28,185.53,187.68,182.45,186.78,168
2011-01-31,183.95,188.35,182.95,187.01,216
2011-02-01,186,186,180.35,181.28,370
2011-02-02,183.64,187,182.91,184.63,471
2011-02-03,184.36,189.45,183.6,187.94,283
2011-02-04,186.92,189.18,180.91,181.81,1555
2011-02-07,181.82,181.82,176.36,178.48,298
2011-02-08,179.45,179.45,173.79,174.25,441
2011-02-09,173.32,179.52,172.01,174.96,844
2011-02-10,175.82,178.65,175.09,175.98,365
2011-02-11,177.37,184.36,176.73,183.3,1557
2011-02-14,187.04,189.29,185.76,188.55,822
2011-02-15,189.2,193.77,188.24,192.2,1659
2011-02-16,192.36,192.91,190.48,191.65,2305
2011-02-17,191.03,194.52,188.83,192.87,5135
2011-02-18,193.09,195.26,186.95,187.62,6053
2011-02-21,188.49,190.36,183.64,189.67,5262
2011-02-22,187.31,188.07,184.75,187.08,13991
2011-02-23,185.71,187.82,183.14,183.72,15122
2011-02-24,182.55,182.9,172.91,174.25,25882
2011-02-25,176.01,181.45,176.01,179.77,26002
2011-02-28,181.45,184,175.77,177.49,42091
2011-03-01,179.36,187.83,178.56,187.03,27406
2011-03-03,184.55,189.28,181.93,185.99,35258
2011-03-04,188.16,190.68,184.18,185.14,25505
2011-03-07,183.45,184.53,180.15,183.91,22422
2011-03-08,184.18,187.18,183.31,186.51,19146
2011-03-09,188.91,189.62,185.64,188.39,22168
2011-03-10,187.64,187.64,183.38,185.11,15843
2011-03-11,183.86,186.71,182.19,183.51,17065
2011-03-14,183.59,186.41,183.3,186.17,15417
2011-03-15,180,182.99,179.82,181.07,22099
2011-03-16,182.54,187.99,182.54,186.56,22917
2011-03-17,185.42,187.44,183.67,184.99,27684
2011-03-18,186.55,187.09,182.75,183.09,17549
2011-03-21,184.33,184.73,181.84,183.43,12789
2011-03-22,184,184.8,181.95,183.37,18346
2011-03-23,182.84,189.25,182.27,188.77,30343
2011-03-24,190,193.17,190,192.35,20452
2011-03-25,194,200.35,193.48,199.43,27900
2011-03-28,197.09,202.91,196.55,200.51,28582
2011-03-29,196.55,202.59,194.45,200.6,19024
2011-03-30,201.64,203.18,200.36,202.07,18333
2011-03-31,203.62,205.27,199.82,202.95,20871
2011-04-01,203.86,204.8,200.18,202.07,12394
2011-04-04,203.21,206.17,201.92,204.84,16525
2011-04-05,204.55,205.98,201.82,203.38,14516
2011-04-06,202.74,204.5,200.67,201.34,13951
2011-04-07,200.53,203.8,199.85,201.51,14686
2011-04-08,201.45,204.41,199.33,200.65,16513
2011-04-11,198.56,201.98,198.56,200.6,13462
2011-04-13,199.64,206.54,198.35,205.9,27501
2011-04-15,205.04,207.88,200.65,201.33,25130
2011-04-18,201.35,204.12,197.11,197.62,27137
2011-04-19,197.11,199.74,195.73,199.13,20050
2011-04-20,200.41,203.42,199.68,203.07,18919
2011-04-21,204.05,205.09,202.91,203.95,22246
2011-04-25,201.89,205.45,201.89,202.99,15712
2011-04-26,203.18,205.16,200.2,204.44,27634
2011-04-27,205.09,205.55,201.15,201.95,21788
2011-04-28,203.84,205.16,197.56,203.18,41387
2011-04-29,204.22,206.16,201.24,203.05,26729
2011-05-02,203.15,204.1,199.4,200.31,14457
2011-05-03,199.52,202,192.37,194.45,39004
2011-05-04,193.39,195.69,190.55,192.65,26072
2011-05-05,192.73,194.55,186.34,187.59,22618
2011-05-06,188.16,197.95,188.16,197.06,30421
2011-05-09,197.63,198.77,193.89,197.02,15025
2011-05-10,196.84,197.43,193.84,195.61,16884
2011-05-11,196.03,196.44,192.76,195.56,16491
2011-05-12,194.52,196.33,190.96,191.65,12651
2011-05-13,192.97,200,190.08,195.8,28536
2011-05-16,194,194,191.61,192.09,14433
