Dates,Open,High,Low,Close,Volume
2010-12-31,270.8,270.8,270.8,270.8,0
2011-01-03,270.4,270.4,270.4,270.4,0
2011-01-04,261.25,261.25,261.25,261.25,0
2011-01-05,254.35,254.35,254.35,254.35,0
2011-01-06,249.05,249.05,249.05,249.05,0
2011-01-07,234.95,234.95,234.95,234.95,0
2011-01-10,228.05,228.05,228.05,228.05,0
2011-01-11,238.05,238.05,238.05,238.05,0
2011-01-12,247.55,247.55,247.55,247.55,0
2011-01-13,238.55,238.55,238.55,238.55,0
2011-01-14,233.1,233.1,233.1,233.1,0
2011-01-17,231,231,231,231,0
2011-01-18,241.2,241.2,241.2,241.2,0
2011-01-19,238.25,238.25,238.25,238.25,0
2011-01-20,244.6,244.6,244.6,244.6,0
2011-01-21,236.15,236.15,236.15,236.15,0
2011-01-24,242.7,242.7,242.7,242.7,0
2011-01-25,239.75,239.75,234.85,235,3
2011-01-27,230.8,237.1,230.8,225.4,2
2011-01-28,218.7,220.5,213,217.85,23
2011-01-31,211.5,226.5,211.5,226.45,15
2011-02-01,225.95,225.95,220.1,220.3,6
2011-02-02,224.95,229.1,224.95,226.6,5
2011-02-03,224.05,228.65,224.05,227.2,5
2011-02-04,230.55,230.55,222.5,223.05,12
2011-02-07,223.9,226.5,221.5,225.85,10
2011-02-08,224.35,225,219,221.35,18
2011-02-09,216,221.65,212.1,213.4,26
2011-02-10,215,222.55,215,217.2,13
2011-02-11,212.1,223.3,206,214.1,61
2011-02-14,221.4,224.9,219.2,223.3,43
2011-02-15,224.7,230.35,220.9,225.6,51
2011-02-16,228,228,225.4,227,6
2011-02-17,227.3,235.55,226.8,232.35,176
2011-02-18,234.9,240.2,227.1,229.3,631
2011-02-21,230.45,232.55,223.15,231.65,1065
2011-02-22,231.7,238.35,230.7,234.25,2972
2011-02-23,233.55,235.75,227.55,229.85,3054
2011-02-24,227.1,229.05,212.5,219.2,2565
2011-02-25,221.55,222.45,213.55,216.25,1037
2011-02-28,216.25,226.7,209,220.55,5859
2011-03-01,225.8,237.6,224,233.9,1883
2011-03-03,233.05,236.3,228.15,234.15,992
2011-03-04,237.35,241.1,235.3,239.25,1275
2011-03-07,237.2,244.75,234.1,241.65,1242
2011-03-08,243,247.8,241.35,246.5,1451
2011-03-09,247.5,250.3,242.5,243.45,1486
2011-03-10,242.3,244.6,238.1,243.85,864
2011-03-11,240.35,244.35,238.5,241.35,619
2011-03-14,242.1,246.9,241.6,246.4,399
2011-03-15,241.25,249.45,239.6,244.35,1029
2011-03-16,246.3,250.35,246.15,248.05,725
2011-03-17,244.25,250.95,243.4,246.35,964
2011-03-18,246.8,248.9,243.15,244.05,349
2011-03-21,245.7,247.35,241.75,244.85,273
2011-03-22,245,247,244.25,246,275
2011-03-23,246,256.7,245.5,254.95,1326
2011-03-24,256.25,260.4,255.1,258.2,1005
2011-03-25,259.25,264.9,256.35,263.8,1468
2011-03-28,261,266.3,260.2,265.45,1478
2011-03-29,264.25,269.9,264,268.15,1910
2011-03-30,268.55,280.3,268.3,277.9,2387
2011-03-31,279.5,280.75,263.3,263.6,2020
2011-04-01,265.2,270.05,261,268.05,1168
2011-04-04,268.35,278,266.5,274.6,1196
2011-04-05,276,277.1,268,274.1,851
2011-04-06,274.65,276.05,271.1,272.35,392
2011-04-07,272.1,278.55,271.3,276.05,861
2011-04-08,277,277,272,273.35,701
2011-04-11,275.7,278,270.1,276,873
2011-04-13,277,284.4,275.5,282.05,1621
2011-04-15,282.5,284.4,276.6,281.9,951
2011-04-18,284.5,287.4,274.35,275.65,4521
2011-04-19,279,281,271.6,276.95,2051
2011-04-20,278.8,283,275.9,280.7,1255
2011-04-21,281,282.15,275.6,276.55,895
2011-04-25,277.75,280.15,275.6,276.8,1486
2011-04-26,276.1,276.7,269,271.15,1798
2011-04-27,273.85,273.85,265.25,266.3,1578
2011-04-28,266.6,269.9,262,267,2162
2011-04-29,270.35,270.35,261.1,262.05,525
2011-05-02,262.65,262.8,253.65,255.75,349
2011-05-03,253.5,262.65,242.15,244.05,1275
2011-05-04,243.6,245.6,235.65,239.8,1347
2011-05-05,240.4,246,236.05,237.7,697
2011-05-06,242.1,253.5,241.85,252.2,758
2011-05-09,255.6,261,246.05,256,1041
2011-05-10,254,256,250.9,254.05,228
2011-05-11,254.9,255.5,251.6,253.05,301
2011-05-12,252,255.95,246.85,248.1,488
2011-05-13,248.05,255.5,247.2,253.5,551
2011-05-16,249.3,254,244.9,245.75,367
2011-05-17,247.45,248.5,236.85,242.15,644
2011-05-18,242.7,243.8,238.35,242.1,398
2011-05-19,242,244.3,239.75,243.3,486
2011-05-20,243,251.65,243,250.25,715
2011-05-23,246.5,248,240.15,241.85,923
2011-05-24,243.2,248.3,241,245.05,2513
2011-05-25,245.85,247.3,243.15,245.2,921
2011-05-26,246.2,251.25,245.25,250.95,1963
2011-05-27,253.6,261,253,259.7,649
2011-05-30,260.5,264.45,258.25,259.75,540
2011-05-31,261.1,264,258.2,263.45,580
2011-06-01,263.95,265.8,261.55,263.9,360
2011-06-02,261.6,262,257,260.6,332
2011-06-03,262.3,267.9,261.75,266.4,562
2011-06-06,266.9,268.25,263.9,265.7,335
2011-06-07,265.4,268.7,264.1,266.75,361
2011-06-08,265.5,267.45,261.1,262.45,383
2011-06-09,263,264.65,259.8,261.5,171
2011-06-10,261.5,261.5,257,259,168
2011-06-13,257.55,261.95,252.3,260.75,410
2011-06-14,262.75,264.6,260.5,261.6,229
2011-06-15,261.95,263,255.5,256.55,278
2011-06-16,253.65,256.5,251.6,254.5,409
2011-06-17,256.2,256.35,250.5,253.15,391
2011-06-20,254.4,254.4,240.1,249.5,290
2011-06-21,251.5,255.45,249,252,323
2011-06-22,254.3,254.3,250.45,252.25,240
2011-06-23,251.5,252.65,250.5,252,194
2011-06-24,254.8,267,254.8,264.35,868
2011-06-27,263.9,273,263.9,268.25,1396
2011-06-28,270.5,271.3,265.05,268.8,1909
2011-06-29,270.1,276.2,269.15,273.95,940
2011-06-30,274.7,274.95,270.25,272,1147
2011-07-01,275.75,281,275.6,277.35,521
2011-07-04,279.75,283.9,277.75,282.2,1630
2011-07-05,283,287.8,281,286.3,1078
2011-07-06,286,292,285.5,287.9,894
2011-07-07,289.35,289.75,282.7,285.85,774
2011-07-08,286.95,290.9,284.05,285.05,2695
2011-07-11,286.5,286.5,279.1,281.15,812
2011-07-12,279,279.85,272.4,274.35,751
2011-07-13,275.5,279.5,275.5,278.75,330
2011-07-14,277.5,283.45,276.4,280.5,936
2011-07-15,281.5,283.25,277.6,279.05,274
2011-07-18,279,281.2,275.5,276.95,347
2011-07-19,277.5,280.3,275.4,279.2,715
2011-07-20,280.6,282.2,272.9,274.35,485
2011-07-21,274,276.45,270,271.4,384
2011-07-22,272.5,278.5,271.5,277.1,662
2011-07-25,277.25,281,274.25,278.1,822
2011-07-26,279.8,279.8,265.35,267.6,1775
2011-07-27,267.95,273,267,270.55,1533
2011-07-28,271.1,277,267.6,274.1,1423
2011-07-29,272,276.25,269.45,271.7,264
