Dates,Open,High,Low,Close,Volume
2010-12-31,432.5,432.5,432.5,440,4
2011-01-03,433.12,434.75,433.12,434.72,5
2011-01-04,437.5,438.75,437.5,444.54,3
2011-01-05,436.16,436.16,436.16,441.66,1
2011-01-06,443.88,443.88,443.88,443.88,0
2011-01-07,429.94,429.94,429.94,429.94,0
2011-01-10,431.25,431.25,425,432.94,2
2011-01-11,425,425,419.21,419.21,2
2011-01-12,430.39,430.39,430.39,430.39,0
2011-01-13,411.88,411.88,403.77,405.01,8
2011-01-14,411.42,411.42,406.38,408.23,4
2011-01-17,408.74,411.96,408.74,411.96,2
2011-01-18,415.09,416.88,414.13,422.91,6
2011-01-19,409.93,410,409.93,413.53,2
2011-01-20,422.35,422.35,406.4,414.77,4
2011-01-21,408.32,408.32,408.32,412.6,1
2011-01-24,406.63,412.75,406.63,412.16,5
2011-01-25,410.58,415.14,408.13,410.71,16
2011-01-27,405.99,405.99,402.25,403.01,18
2011-01-28,404.88,410.56,395.98,399.6,149
2011-01-31,395.08,395.09,389.38,392.87,162
2011-02-01,393,393,383.5,389.2,219
2011-02-02,393.75,397.48,386.5,388.46,135
2011-02-03,391.32,396.4,389.75,392.24,79
2011-02-04,391.25,392.25,380.5,382.92,162
2011-02-07,385.9,390.63,385.83,387.08,111
2011-02-08,389.54,391.56,386.13,388.21,205
2011-02-09,393.41,395.13,386,392.83,327
2011-02-10,388.75,388.89,382.37,383.24,304
2011-02-11,381.25,384.23,378.76,382.27,248
2011-02-14,384.64,390.13,381.56,389.11,3073
2011-02-15,388.13,393.24,386.34,389.83,382
2011-02-16,391.1,391.49,387.29,389.87,1905
2011-02-17,391.38,392.91,389.66,391.16,2002
2011-02-18,392.79,395.19,388,389.08,4346
2011-02-21,390,398.24,386.25,396.84,4162
2011-02-22,394.4,397.16,389.88,393.23,6836
2011-02-23,389.75,390.27,384.49,385.29,9930
2011-02-24,382.24,384.31,375.84,377.33,12992
2011-02-25,379.45,381.36,371.26,377.17,11848
2011-02-28,378.13,393.37,372.46,375.73,16239
2011-03-01,379.17,389.13,376.25,387.23,10342
2011-03-03,382.88,383.58,376.41,379.93,12456
2011-03-04,382.46,386.49,381.22,382.48,8668
2011-03-07,380.66,384.38,378.81,381.37,6775
2011-03-08,381.19,391.08,378.13,388.85,10173
2011-03-09,389.93,391.01,384.5,387.99,7525
2011-03-10,387.01,387.88,383.13,386.87,5077
2011-03-11,383.5,385.49,380.16,381.61,7201
2011-03-14,380.03,388.75,379.03,388.13,6458
2011-03-15,379.75,382.03,375.19,378.11,12944
2011-03-16,379.38,382.92,377.49,379.96,6393
2011-03-17,375.49,375.88,371.33,372.98,10477
2011-03-18,375,375,367.41,368.19,9816
2011-03-21,369.38,369.38,363.44,366.26,8904
2011-03-22,368.27,370.24,366.11,369.34,6703
2011-03-23,367.66,374.82,366.66,374.04,11455
2011-03-24,374.39,377.25,373.11,376.24,11310
2011-03-25,380.06,398.63,380.06,396.5,23561
2011-03-28,393.71,396.13,390.08,394.34,15859
2011-03-29,392.43,399.84,392.43,397.88,12860
2011-03-30,398.37,401.48,395.96,397.45,9199
2011-03-31,397.78,408.38,395.93,405.16,14907
2011-04-01,406.25,408.64,403.44,404.84,6558
2011-04-04,406.86,414.7,406.36,412.91,9077
2011-04-05,411.11,413.59,405.83,412.49,8834
2011-04-06,411.88,414.36,408.31,411.32,8849
2011-04-07,407.88,410.08,406.79,407.71,5290
2011-04-08,407.62,409.63,402.94,405.28,6099
2011-04-11,402.5,409.25,399.03,406.55,8359
2011-04-13,402.5,416.66,401.13,415.36,20182
2011-04-15,412.75,414.34,374.38,375.89,97457
2011-04-18,364.36,373,363.14,364.14,42064
2011-04-19,364.5,367.49,360.96,362.5,26540
2011-04-20,365,367.27,362.19,364.39,23141
2011-04-21,365.88,368.99,364.13,365.21,25090
2011-04-25,363.16,370.92,363.16,368.24,19950
2011-04-26,366.93,369.88,365.49,368.44,21011
2011-04-27,369.51,370.63,368.04,369.28,14033
2011-04-28,368.74,370,365.25,366.14,19210
2011-04-29,364.39,365.75,359.38,361.44,15154
2011-05-02,365.63,366.5,363.15,364.77,9430
2011-05-03,364.08,368.1,360.31,361.72,12732
2011-05-04,359.88,361.36,354.38,356.81,11870
2011-05-05,356.25,358.06,352.25,353.47,10526
2011-05-06,354.41,361.21,354.41,359.13,11278
2011-05-09,361.25,362.5,356.52,361.28,8222
2011-05-10,361,364.25,357.39,359.11,11215
2011-05-11,359.85,363.23,359.38,361.22,6730
2011-05-12,359.87,361.84,357.25,358.18,6864
2011-05-13,357.75,362.74,357.26,358.94,10143
2011-05-16,357.5,357.99,354.07,354.57,7045
2011-05-17,362.5,362.5,352.51,354.7,8739
2011-05-18,353.63,358.74,348.75,353.42,14330
2011-05-19,353.79,355.26,352.08,353.56,8647
2011-05-20,352.88,356,351.88,354.58,9511
2011-05-23,352.85,354.49,351.13,352.41,6964
2011-05-24,352.96,355.23,352.21,352.95,10898
2011-05-25,351.13,351.25,343.04,346.86,16238
2011-05-26,348.69,349.74,344.06,347.07,14509
2011-05-27,348.09,352.5,347.17,350.15,6165
2011-05-30,351.88,352.11,346.63,348.79,5734
