Dates,Open,High,Low,Close,Volume
2010-12-31,87.53,87.53,87.53,87.53,0
2011-01-03,89.25,89.25,89.25,90.31,1
2011-01-04,89.08,89.08,89.08,89.08,0
2011-01-05,89.24,89.24,89.24,89.24,0
2011-01-06,87.25,87.25,87.25,87.25,1
2011-01-07,87.7,87.7,87.7,87.7,0
2011-01-10,87,87,87,85.48,1
2011-01-11,83.69,83.69,83.69,83.69,0
2011-01-12,81.45,81.45,81.45,81.45,0
2011-01-13,81.01,81.01,81.01,79.09,1
2011-01-14,78.94,78.94,78.94,78.94,0
2011-01-17,80.68,80.68,80.5,80.03,2
2011-01-18,79.93,79.93,79.93,79.93,0
2011-01-19,79.84,79.84,79.84,79.84,0
2011-01-20,79.5,79.5,79.5,79.63,1
2011-01-21,80.11,80.11,80.11,83.39,1
2011-01-24,84.5,84.5,84,83.85,3
2011-01-25,84.43,85.13,84.43,85.13,7
2011-01-27,84.75,85.06,82.75,82.89,25
2011-01-28,83.63,84.01,81.4,84.01,19
2011-01-31,81.85,85.58,81.84,84.81,22
2011-02-01,83.26,83.56,81.78,82.15,334
2011-02-02,82.43,84.13,81.25,82.96,20
2011-02-03,81.71,81.8,81.1,81.39,175
2011-02-04,81.98,82.98,80.41,80.43,208
2011-02-07,81.69,83.26,81.49,81.53,22
2011-02-08,83.4,83.4,81.35,81.35,29
2011-02-09,81.29,81.84,78.18,79.35,125
2011-02-10,78.16,80.53,77.73,78.78,88
2011-02-11,79.25,79.63,77.94,79.3,52
2011-02-14,82.51,83.34,80.5,83.13,246
2011-02-15,83.5,84.41,82.44,83.84,152
2011-02-16,84.5,84.73,83.11,83.46,116
2011-02-17,82.53,83.2,82,83.1,255
2011-02-18,83.13,84.1,81,81.26,793
2011-02-21,81.38,81.38,79.33,80.24,741
2011-02-22,78.25,78.79,76.69,77.03,1330
2011-02-23,75.43,77.01,75.43,76.54,1502
2011-02-24,76,76,73.09,74.28,2562
2011-02-25,75.34,76.3,72.96,73.96,1007
2011-02-28,74.75,76.3,73.28,75.05,1409
2011-03-01,75.83,78.23,75.75,78.09,1354
2011-03-03,77.48,79.31,75.94,78.4,1896
2011-03-04,78.75,79.84,77.79,78.84,1717
2011-03-07,77.48,77.49,76.38,76.93,789
2011-03-08,76.78,78.45,76.68,77.95,861
2011-03-09,78.48,78.75,75.95,77.2,1716
2011-03-10,76.4,76.8,76.13,76.63,375
2011-03-11,76.75,77.33,75.63,76.78,1901
2011-03-14,77.64,78.35,77.06,78.06,1350
2011-03-15,76.55,78.25,75.88,76.21,1369
2011-03-16,76.98,78.16,76.98,77.98,1435
2011-03-17,77,77.75,76.88,77.04,598
2011-03-18,76.35,76.5,75.06,76.1,815
2011-03-21,75.75,76,75,75.55,1216
2011-03-22,75.59,75.65,74.94,75.03,653
2011-03-23,74.6,76.06,74.28,75.79,725
2011-03-24,75.7,76.66,75.56,76.45,760
2011-03-25,76.49,78.19,76.44,77.94,1031
2011-03-28,78.23,79.14,77.63,78.95,1170
2011-03-29,78.2,81.31,78.2,81.03,1788
2011-03-30,81.68,85.15,81.68,84.6,1894
2011-03-31,85.24,85.25,82.75,83.21,1300
2011-04-01,83.45,83.86,82.09,83.4,422
2011-04-04,83,83.25,81.94,82.65,818
2011-04-05,82.5,83.38,81.33,81.84,772
2011-04-06,81.86,82.8,81.28,82.15,712
2011-04-07,82.2,84.71,82.03,84.25,1048
2011-04-08,83.5,84.69,82.01,83.78,1272
2011-04-11,82.84,83.36,81.56,81.75,431
2011-04-13,82.43,84.24,82.43,83.64,711
2011-04-15,83.04,83.38,82.06,82.65,428
2011-04-18,82.65,83.25,80.56,80.99,511
2011-04-19,80.76,83.68,80.76,83.3,1361
2011-04-20,83.5,84.2,82.85,83.76,1048
2011-04-21,83.21,83.68,82.64,83.26,649
2011-04-25,82.7,83.98,82.69,83.53,1020
2011-04-26,84.14,85.25,82.91,83.26,2435
2011-04-27,83.75,84.98,83.24,84.61,1401
2011-04-28,84.75,85.25,83.89,84.59,1410
2011-04-29,85.48,86.5,85.04,85.38,814
2011-05-02,85.66,87.1,84.29,86.46,1362
2011-05-03,86.93,87.5,85,85.9,1216
2011-05-04,86.49,89.13,85.38,87.53,3629
2011-05-05,88.25,89,86.25,86.6,1442
2011-05-06,87.24,89.83,87.24,88.65,2810
2011-05-09,89.24,89.25,86.13,86.54,936
2011-05-10,87.45,88.24,85.25,86.26,2168
2011-05-11,85.98,87.98,85,87.49,2409
2011-05-12,88.03,88.25,87.18,87.4,792
2011-05-13,88.2,89.46,85.94,86.41,1767
2011-05-16,87.95,89.23,85.13,85.64,1806
2011-05-17,85.83,86.13,83.78,84.29,1355
2011-05-18,84.93,84.93,80.1,80.44,1504
2011-05-19,80.88,81.33,79.28,79.48,1165
2011-05-20,79.6,80.68,79.15,79.9,1216
2011-05-23,79.45,80.31,78.19,79.48,1250
2011-05-24,79.5,79.5,77.96,78.46,904
2011-05-25,78.11,78.41,75.55,75.86,1510
2011-05-26,75.78,77.46,74.34,76.94,3051
2011-05-27,77.81,80.91,77.68,80.65,1964
2011-05-30,80.5,81.25,78.9,80.19,1950
2011-05-31,80.98,82.79,80.68,82.44,1311
2011-06-01,81.78,83,81.7,82.4,765
2011-06-02,81.54,83.6,81.54,83.04,792
2011-06-03,83,83.74,81.13,81.38,672
2011-06-06,81.36,81.36,79.23,80.05,682
2011-06-07,80,80.98,79.61,80.34,406
2011-06-08,80,81.1,80,80.93,736
2011-06-09,80,80.38,79.25,80,525
2011-06-10,79.8,80.18,78.23,78.76,646
2011-06-13,79.59,81,78.95,80.89,998
2011-06-14,81.48,81.68,80.61,80.89,554
2011-06-15,80.94,83,80.75,82.75,1302
2011-06-16,82.48,83.38,82,82.34,627
2011-06-17,81.59,84.5,81.5,83.78,2180
2011-06-20,83.75,84.43,78.09,81.64,981
2011-06-21,81.3,82.5,80.66,80.9,666
2011-06-22,81.25,81.4,80.09,80.3,559
2011-06-23,80.64,83.14,79.85,82.03,1978
2011-06-24,83.31,85,82.59,84.61,2229
2011-06-27,87.64,89.75,86,87.23,4056
2011-06-28,87.5,87.5,85.08,85.3,1693
2011-06-29,85.55,86.13,84,84.8,1835
