Dates,Open,High,Low,Close,Volume
2010-12-31,119.07,119.07,119.07,119.07,0
2011-01-03,119.07,119.07,119.07,119.07,0
2011-01-04,120.9,120.9,120.9,120.9,0
2011-01-05,122.43,122.43,122.43,122.43,0
2011-01-06,121.77,121.77,121.77,121.77,0
2011-01-07,116.67,116.67,116,116.43,8
2011-01-10,114,114,114,116,1
2011-01-11,114.7,114.7,114.7,115.63,1
2011-01-12,114.67,114.67,114.67,118.1,2
2011-01-13,117.67,117.67,117.67,117.67,0
2011-01-14,115.9,115.9,115.9,115.9,0
2011-01-17,116.77,116.77,116.77,116.77,0
2011-01-18,119.57,119.57,119.57,119.57,0
2011-01-19,118.8,118.8,118.8,118.8,1
2011-01-20,116.47,116.47,116.47,116.47,0
2011-01-21,115.53,115.53,114.2,114.37,10
2011-01-24,114.67,114.77,113.87,113.87,5
2011-01-25,114.93,114.93,112.83,113.03,3
2011-01-27,113.73,114,112.67,112.73,5
2011-01-28,113.07,114.33,112,113.37,63
2011-01-31,111.67,113.93,108.67,109.67,103
2011-02-01,108.83,108.83,105.03,107.23,165
2011-02-02,106.67,108.5,106.23,106.67,64
2011-02-03,106.07,108.37,105.87,107.57,65
2011-02-04,107.33,107.33,101.7,102.6,174
2011-02-07,103,106.13,102.67,104.93,107
2011-02-08,104.73,106,104.2,104.3,82
2011-02-09,103.83,104.13,102.8,103.33,93
2011-02-10,104.8,106.33,104.13,104.3,128
2011-02-11,104.4,104.73,103.07,104,99
2011-02-14,104.67,106.77,103.87,105.47,298
2011-02-15,105.67,105.67,104.33,104.83,166
2011-02-16,105.47,106.07,104.77,105.2,166
2011-02-17,105.27,106,103.87,105.87,731
2011-02-18,106.47,106.87,104.23,104.6,2497
2011-02-21,104.3,106.43,103.8,106.07,2218
2011-02-22,105.7,105.7,103.93,104.73,3742
2011-02-23,105.07,105.27,103.37,103.63,4450
2011-02-24,103.43,104.4,100.07,101.13,7077
2011-02-25,101.9,104.57,101.33,104.23,4713
2011-02-28,104.33,113.13,103.07,111.77,14210
2011-03-01,112.83,116.53,112.77,116.03,6994
2011-03-03,115.4,118.07,114.43,115.6,6844
2011-03-04,116.23,116.63,114.2,114.6,3011
2011-03-07,114,115.87,112.23,115.33,3919
2011-03-08,115.67,116.1,114.43,115.13,2358
2011-03-09,115.33,115.6,113.57,114.47,2630
2011-03-10,113.7,114.17,112.53,113.83,2559
2011-03-11,114,115.27,113.23,114.5,2863
2011-03-14,114.6,116.57,113.97,116.27,2680
2011-03-15,114.8,115.17,112.3,113.37,4827
2011-03-16,114.07,115,114.07,114.67,2216
2011-03-17,113.67,114.33,112.2,112.73,3230
2011-03-18,113.33,113.7,110.87,112.33,2653
2011-03-21,113.13,113.67,112.13,112.5,2282
2011-03-22,112.9,114.27,112,113.77,2007
2011-03-23,113.63,115.6,113.2,115.27,3996
2011-03-24,115.53,116.17,115.07,115.87,2376
2011-03-25,116.37,119.33,116.07,118.93,5660
2011-03-28,118.57,120.33,118.27,119.5,3818
2011-03-29,119.8,120.6,119.13,120.07,3499
2011-03-30,120,121.4,118.33,118.83,4279
2011-03-31,119.13,121.87,119.13,121.4,7013
2011-04-01,122.63,124.23,121.93,122.7,3716
2011-04-04,122.77,124.33,122.57,124.17,3162
2011-04-05,124.1,124.27,122.67,123.33,2350
2011-04-06,123.03,123.87,121,122.47,2500
2011-04-07,122.7,122.73,121.53,122.27,1389
2011-04-08,122.6,124.13,121.87,123.23,2954
2011-04-11,123.23,126,123.03,124,4202
2011-04-13,122.87,127.93,122.07,127.37,5429
2011-04-15,127.33,128.8,126.2,127.93,4239
2011-04-18,127.33,130.3,124.93,126.9,6336
2011-04-19,126.4,127.73,124.87,125.63,3591
2011-04-20,126.3,127.93,125.37,127.63,3308
2011-04-21,128.3,129,127,127.43,3837
2011-04-25,127.17,128.87,127,127.37,1648
2011-04-26,127.13,128.57,123.77,128.13,7057
2011-04-27,128,129.5,127.6,129.07,3823
2011-04-28,129.63,129.9,127.5,127.9,3523
2011-04-29,108.87,130.67,108.87,128.8,3720
2011-05-02,129.17,130.07,127.93,128.33,2530
2011-05-03,127.57,128,124.37,124.93,3306
2011-05-04,125.47,125.8,121.33,124.63,3751
2011-05-05,124.77,124.97,121.37,121.83,3859
2011-05-06,122.27,122.87,118.67,122.5,3866
2011-05-09,123.07,124.87,121.5,123.57,2480
2011-05-10,123.9,126,123.07,123.93,3191
2011-05-11,124.13,124.77,123.07,124.4,1623
2011-05-12,123.87,125.13,122.33,122.53,2205
2011-05-13,122.37,128.5,121.5,126.57,5007
2011-05-16,127.33,127.33,123.7,123.9,2870
2011-05-17,124.23,126.33,123.63,125.47,3336
2011-05-18,125.6,127.17,125.37,126.4,2058
2011-05-19,127.1,128,125.37,125.97,3905
2011-05-20,126.5,127.93,121.67,124.03,21577
2011-05-23,124.5,127.1,123.9,126.73,5811
2011-05-24,127.03,127.03,124.2,124.6,4350
2011-05-25,124.27,126.5,123.47,126.17,4510
2011-05-26,126.07,126.07,123.83,124.67,3537
2011-05-27,122.87,124.5,122.83,123.63,2394
2011-05-30,123.9,124.2,121.87,122.87,2303
2011-05-31,123.07,126.67,123.07,126.4,5400
2011-06-01,126.8,127.53,126.17,127.17,3469
2011-06-02,126.27,129.8,126.27,128.17,5423
2011-06-03,128.17,129,126.53,126.97,2883
2011-06-06,126.8,127.33,125,126.1,2439
2011-06-07,125.63,127.13,125.4,126.77,1738
2011-06-08,126.6,128.23,126.43,127.43,3327
2011-06-09,127.7,127.87,126.2,127.23,2407
2011-06-10,127.37,128.87,127.17,127.8,4674
2011-06-13,127.5,128.5,126.8,127.97,2072
2011-06-14,128.03,130.13,128.03,129.83,2613
2011-06-15,129.67,130.43,128.87,129.53,2551
2011-06-16,129.17,130.3,129.07,129.53,2229
2011-06-17,129.53,130.8,128.17,128.47,2694
2011-06-20,128.67,128.67,122.93,124.73,4769
2011-06-21,125.27,126.3,123.33,123.67,2323
2011-06-22,124,124.8,121.8,123.83,2608
2011-06-23,123.93,127.77,123.33,127.63,3485
2011-06-24,128.3,131.47,128,130.53,3935
2011-06-27,129.7,130.8,128.67,129.4,3217
2011-06-28,129.6,129.83,127.33,129.63,4253
2011-06-29,130.27,133.43,129.83,133.17,4528
2011-06-30,133.47,135.73,133.03,135.3,3944
2011-07-01,136.6,137.33,133.77,135.13,3251
2011-07-04,135.83,136.57,133,133.33,2486
2011-07-05,133.93,133.97,131,131.27,4329
2011-07-06,131.23,132.33,130.13,131.63,3056
2011-07-07,131.8,136.33,131.8,136.07,4288
2011-07-08,136.47,137.33,133.73,134.2,3456
2011-07-11,134.53,136.07,133.73,135.33,2139
2011-07-12,134.67,137.03,133.7,134.67,4513
2011-07-13,135.1,136.8,135,136.37,2519
2011-07-14,136.03,137.1,133.8,135.3,6700
2011-07-15,135.33,136,134.17,134.7,2535
2011-07-18,134,135.47,134,134.6,1486
2011-07-19,134.9,136.83,134.53,136.37,3201
2011-07-20,136.57,138.6,136,137.2,5790
2011-07-21,137.33,138.53,137.1,138.13,2929
2011-07-22,138.8,139.77,138.1,138.63,4741
2011-07-25,138.17,138.23,135.77,137.33,4854
2011-07-26,137,137.9,133.17,134.03,5320
2011-07-27,134.7,135.1,132.27,133.93,4357
2011-07-28,132.67,138.17,132.67,137.5,9083
2011-07-29,137.43,140.9,137.07,139.5,5975
2011-08-01,140.47,141.13,139.23,140,3583
2011-08-02,139.13,139.27,135.83,137.13,4432
2011-08-03,135.97,139.13,135.5,138.4,4238
2011-08-04,137.8,138.17,133.53,133.97,8189
2011-08-05,130.87,132.27,127.27,131.03,6891
2011-08-08,129.07,132,126.73,130.4,5750
2011-08-09,127.67,134.83,127.1,133.57,9331
2011-08-10,135,135.17,131.03,131.73,5197
2011-08-11,131.1,133.53,131.1,132.6,2874
2011-08-12,134.07,134.07,130.07,132.27,3064
2011-08-16,133.33,134.27,132.23,133.57,2608
2011-08-17,133.97,136.97,133.73,136.6,3664
2011-08-18,136.7,137.27,135.33,135.87,3604
2011-08-19,135.07,136.8,132.63,133.17,5868
2011-08-22,133.13,135.6,131.33,135.17,3399
