Dates,Open,High,Low,Close,Volume
2010-12-31,120.35,120.35,120.35,120.35,0
2011-01-03,121.68,121.68,121.68,121.68,0
2011-01-04,119.29,119.29,119.29,119.29,0
2011-01-05,117.19,117.19,117.19,117.19,0
2011-01-06,112.26,112.26,112.26,112.26,0
2011-01-07,104.6,104.6,104.6,104.6,1
2011-01-10,100.55,100.55,100.55,100.55,0
2011-01-11,96.07,96.07,96.07,96.07,0
2011-01-12,101.51,101.51,101.51,101.51,0
2011-01-13,102.21,102.21,102.21,102.21,0
2011-01-14,99.43,99.43,99.43,98.82,1
2011-01-17,99.34,99.34,99.34,99.34,0
2011-01-18,103,103,103,103,1
2011-01-19,107.19,107.19,107.19,107.19,0
2011-01-20,106.18,106.18,106.18,106.18,0
2011-01-21,103.08,103.08,103.08,103.08,0
2011-01-24,104.51,104.51,104.25,104.92,2
2011-01-25,105.4,105.4,102.8,102.8,11
2011-01-27,104,104.3,97.5,97.87,50
2011-01-28,96.1,96.1,89.5,90.87,120
2011-01-31,88.39,92.54,88,91.69,108
2011-02-01,92.6,93.1,90.35,90.69,89
2011-02-02,92,95.05,90.75,93.97,74
2011-02-03,92.81,94.5,91.73,93.6,117
2011-02-04,93.48,94.9,90,90.51,125
2011-02-07,91.14,92,89.08,90.78,69
2011-02-08,90,90,82.35,83,258
2011-02-09,81,85.16,76.14,79.22,242
2011-02-10,81.1,85.07,77.73,84.35,282
2011-02-11,84.28,87.5,82,87.15,211
2011-02-14,87.5,90.39,87.45,89.8,314
2011-02-15,89.48,92.65,87.46,90.79,583
2011-02-16,91.72,92.95,90.11,90.78,758
2011-02-17,90.6,93.2,90.5,92.96,834
2011-02-18,93.2,93.42,88.6,89.15,1132
2011-02-21,88.38,93.3,87.4,92.93,4465
2011-02-22,92,92.7,89.65,90.87,5740
2011-02-23,90.23,92.12,89.23,89.82,5363
2011-02-24,89.4,90.94,86.19,86.96,10494
2011-02-25,87.56,88.4,84.46,87.07,11178
2011-02-28,87.7,91.51,86.35,87.34,12316
2011-03-01,88.48,96.38,88.4,95.15,20055
2011-03-03,94.43,97.78,92.9,96.48,15494
2011-03-04,97,97.57,94.87,95.58,8172
2011-03-07,94.26,94.4,90.6,92.41,10600
2011-03-08,92.66,94.8,92.3,94.35,7094
2011-03-09,94.8,98,93.8,97.45,15125
2011-03-10,97.25,97.25,93.92,94.37,9539
2011-03-11,92.9,93.57,90,90.9,11611
2011-03-14,90.79,93.8,90.79,93.49,8424
2011-03-15,91,92.75,89.24,91.39,10786
2011-03-16,92.18,93.6,90.1,91.2,25482
2011-03-17,89.88,91.56,89.05,89.5,9653
2011-03-18,90.5,91.34,89.15,89.85,11676
2011-03-21,90.75,90.75,87.45,87.86,9482
2011-03-22,88.53,89.9,87.9,88.28,8243
2011-03-23,88.18,91.05,88.13,90.66,11230
2011-03-24,90.73,92,90,90.32,7514
2011-03-25,90.9,91.5,89.66,91.1,10145
2011-03-28,91.35,92.25,90.48,91.19,10688
2011-03-29,91,92.98,90.5,91.91,14099
2011-03-30,92.38,93.1,91.4,91.99,7548
2011-03-31,92.05,92.3,90.13,91.63,12228
2011-04-01,92.79,96.1,92.4,95.72,11595
2011-04-04,96.1,97.85,96.1,97.08,7742
2011-04-05,97.37,100.44,95,99.78,13391
2011-04-06,100.01,101.68,99.3,100.07,11254
2011-04-07,99.9,102.19,99.47,100.74,6853
2011-04-08,100.8,101.23,97.51,98.3,8455
2011-04-11,97.6,98.11,95.51,95.88,6744
2011-04-13,94.95,97.2,94.83,96.67,8895
2011-04-15,96,97.85,95.53,96.12,6799
2011-04-18,96.09,97.29,93.24,93.62,7218
2011-04-19,93.1,94.39,92.3,94.07,5737
2011-04-20,94.9,97.97,94.47,97.48,14113
2011-04-21,97.94,99.2,97.37,97.76,9612
2011-04-25,97.25,98.58,96.75,98.14,9893
2011-04-26,98.3,100.3,97.02,100.05,14731
2011-04-27,100.6,100.66,97.81,98.33,11536
2011-04-28,98.5,98.8,95.41,95.57,8583
2011-04-29,96.2,96.9,94.55,95.38,4849
2011-05-02,95.65,96.4,93.4,93.67,3994
2011-05-03,93,93.75,90.36,90.84,6363
2011-05-04,91,91.1,88.6,89.72,5009
2011-05-05,89.58,90.86,86.04,86.39,6197
2011-05-06,86.54,89.87,86.54,89.51,6596
2011-05-09,89.8,91.18,87.9,90.09,6306
2011-05-10,90.13,90.68,88.23,89.24,4438
2011-05-11,89.8,92.49,89.5,92.27,7706
2011-05-12,91.8,93.24,90.66,91.1,6604
2011-05-13,91.23,95.44,90.95,94.01,9072
2011-05-16,94.01,95.55,90.85,92.28,20569
2011-05-17,92.37,93.25,90,92.8,16292
2011-05-18,93.19,94.98,91.55,94.47,10374
2011-05-19,94.02,95.08,91.6,92.48,8230
2011-05-20,92.75,93.79,91.62,91.99,9402
2011-05-23,91.21,91.28,89.33,89.94,8653
2011-05-24,89.57,94.25,89.57,90.82,9179
2011-05-25,90.46,90.6,88.46,90.16,12926
2011-05-26,90.99,92.16,90.66,91.15,9913
2011-05-27,91.91,94.49,91.91,94.34,5519
2011-05-30,94.6,96.75,94,96.26,7167
2011-05-31,96.21,98.47,96.21,98.19,7699
2011-06-01,98.4,98.6,96.1,96.97,5454
2011-06-02,95.7,96.35,95.05,95.77,3416
2011-06-03,96.1,97.5,93.81,94.38,5653
2011-06-06,93.72,94.8,93.15,94.19,3913
2011-06-07,93.8,95.59,93.8,94.69,4315
2011-06-08,94.19,95.19,92.4,92.73,4878
2011-06-09,92.7,92.8,90.7,91.91,7061
2011-06-10,91.9,92.2,89.78,90.34,5206
2011-06-13,89.8,89.89,88.41,89.15,3812
2011-06-14,89.23,90.59,88.35,89.49,4461
2011-06-15,89.43,90.3,88.6,89.35,4804
2011-06-16,88.7,88.8,87.21,87.65,5281
2011-06-17,87.84,88.7,86.6,86.99,5402
2011-06-20,87.18,87.18,82.55,84.55,6501
2011-06-21,84.97,86.5,84.49,85.13,5420
2011-06-22,86,86,83.51,83.95,5019
2011-06-23,83.73,84.35,82.4,83.35,4901
2011-06-24,84.01,88.1,84.01,87.56,9630
2011-06-27,86,89.37,86,88.51,9538
2011-06-28,88.92,89.05,86.9,88.04,10977
2011-06-29,88.48,89.05,87.29,87.63,8053
2011-06-30,87.84,88.58,86.8,88.34,7023
2011-07-01,88.45,89.04,86.31,87.61,4406
2011-07-04,88.3,88.64,87.1,87.46,5626
2011-07-05,87.21,88.15,86.4,86.7,7026
2011-07-06,86.46,88.97,86.36,88.17,8624
2011-07-07,88.52,90.5,88.37,90.28,9365
2011-07-08,90.4,90.59,87,87.19,7843
2011-07-11,87.28,87.6,84.7,85.02,5879
2011-07-12,84,85.32,83.34,83.74,4581
2011-07-13,84.48,85.87,84.2,85.54,4386
2011-07-14,85.11,87.9,84.44,86.93,7612
2011-07-15,87.01,87.79,85.5,86.37,3488
2011-07-18,86.41,88.8,86.05,88.56,5929
2011-07-19,88.5,89.89,87.6,89.34,6134
2011-07-20,89.8,89.9,86.55,86.95,4952
2011-07-21,86.7,87.34,85.6,85.85,7020
2011-07-22,86.5,87.91,86.3,87.13,6469
2011-07-25,86.87,87.6,86.5,87.22,9221
2011-07-26,87.97,88.9,86.22,87.24,16911
2011-07-27,87.44,87.75,85.8,86.26,11410
2011-07-28,85.6,85.75,79.77,81.93,16220
2011-07-29,81.31,82.6,76,77.57,19111
2011-08-01,74.5,76.79,67.53,69.86,42234
2011-08-02,68.6,71.16,66.9,67.61,23903
2011-08-03,66.38,71.78,65.11,71.36,27886
2011-08-04,71.66,72.75,67.9,68.57,23990
2011-08-05,65.45,71.12,64.97,70.44,18672
