Dates,Open,High,Low,Close,Volume
2010-12-31,231.93,231.93,231.93,231.93,0
2011-01-03,233.5,233.5,233.5,233.5,0
2011-01-04,235.2,235.2,235.2,235.2,0
2011-01-05,229.25,229.25,229.25,229.25,0
2011-01-06,227.23,227.23,227.23,227.23,0
2011-01-07,222.05,222.05,222.05,222.05,0
2011-01-10,210.57,210.57,210.57,210.57,0
2011-01-11,213.05,213.05,213.05,213.05,0
2011-01-12,216.03,216.03,216.03,216.03,0
2011-01-13,207.28,207.28,207.28,207.28,0
2011-01-14,202.68,202.68,202.68,202.68,0
2011-01-17,205.65,205.65,205.65,205.65,0
2011-01-18,206.28,206.28,206.28,206.28,0
2011-01-19,211,211,211,210.6,1
2011-01-20,209,209,207.5,213.18,5
2011-01-21,211.4,211.4,211.4,210.45,1
2011-01-24,213.18,213.18,213.18,210.55,1
2011-01-25,209.18,209.18,206,206,5
2011-01-27,205.8,205.85,199.4,199.4,12
2011-01-28,197.3,197.8,189.8,192.32,60
2011-01-31,190.85,194.4,190.85,193.95,11
2011-02-01,195.98,197.48,189,189.53,40
2011-02-02,191.68,194.65,186.55,188.03,47
2011-02-03,187.78,192.35,186.93,191.05,25
2011-02-04,191.43,191.43,180.15,181.05,40
2011-02-07,182.25,183.5,181.82,182.25,19
2011-02-08,182,182,169.43,170.03,50
2011-02-09,169.5,181.15,168.88,178.7,86
2011-02-10,180.28,186.2,176.15,183.15,48
2011-02-11,182.43,191.63,180,189.55,82
2011-02-14,192.65,200.43,192.65,199.63,250
2011-02-15,197.4,209.32,197.1,206.6,421
2011-02-16,204.75,206.78,201.55,206.05,193
2011-02-17,206,209,203.5,207.9,454
2011-02-18,209,211.3,203.15,204.43,1067
2011-02-21,205.4,209,204.18,207.98,1612
2011-02-22,204.5,208.65,202,205.15,2797
2011-02-23,204.5,207.15,203.5,204.4,2928
2011-02-24,204.07,204.1,195.98,199.13,6885
2011-02-25,201.45,204.48,192.65,201.8,4945
2011-02-28,202.43,215.38,202.23,203.6,5401
2011-03-01,204.95,211.45,204.5,208.88,3088
2011-03-03,207.75,214.75,203.63,208.9,4882
2011-03-04,210.5,214.95,208.5,210.53,2558
2011-03-07,209.03,210,203.5,208.53,2057
