Dates,Open,High,Low,Close,Volume
2010-12-31,899.42,899.42,899.42,899.42,0
2011-01-03,899.22,899.22,899.22,899.22,0
2011-01-04,896.93,896.93,896.93,896.93,0
2011-01-05,875.38,875.38,875.38,875.38,0
2011-01-06,854.71,854.71,852.62,852.11,6
2011-01-07,841.89,841.89,824.82,829.07,5
2011-01-10,809.78,809.78,800,807.24,9
2011-01-11,800,808.89,798.56,801.51,6
2011-01-12,789.91,794.67,778.93,793.8,26
2011-01-13,801.16,801.16,783.11,792.04,3
2011-01-14,776.44,777.53,766.67,770.67,9
2011-01-17,761.82,777.78,751,756.07,19
2011-01-18,755.56,757.33,755.56,762.02,6
2011-01-19,753.42,757.73,715,744.33,151
2011-01-20,742.67,750.33,740,749.11,32
2011-01-21,744.42,744.42,738.89,745.96,21
2011-01-24,747.49,750.18,745.29,749.64,7
2011-01-25,758.67,764.07,747.51,748.71,56
2011-01-27,753.84,753.84,736.89,741.71,91
2011-01-28,734.22,734.82,715.84,721.93,325
2011-01-31,689.49,738.09,689.49,734.04,157
2011-02-01,738.67,741.78,704.49,708.69,287
2011-02-02,714.11,714.22,700,703.58,171
2011-02-03,704.44,731.56,701.78,728.16,374
2011-02-04,722.62,726.6,694.58,698.93,713
2011-02-07,700.42,704.44,687.36,689.53,642
2011-02-08,693.38,693.38,671.56,672.71,567
2011-02-09,671.11,687.56,659.11,663.04,530
2011-02-10,666.22,677.78,656.04,669.29,395
2011-02-11,671.58,700.31,668.89,692.38,646
2011-02-14,700.89,744,700.89,739.87,1140
2011-02-15,745.78,753.33,723.51,725.62,946
2011-02-16,728.89,739.96,727.49,736.71,2975
2011-02-17,737.36,757.71,728.73,755.69,4346
2011-02-18,760.11,769.64,729.33,732.36,3700
2011-02-21,735.29,749.76,720.02,739.73,7056
2011-02-22,730.73,730.73,712.84,717.36,12891
2011-02-23,717.11,725.71,712,714.49,16799
2011-02-24,714.67,714.67,675.31,678.49,24382
2011-02-25,684.44,689.69,660.89,677.09,17736
2011-02-28,688.89,711.78,676.09,680.93,28101
2011-03-01,686.67,722.67,686.67,718.53,16775
2011-03-03,711.11,746.6,706.69,738.78,21633
2011-03-04,746.67,746.67,714.8,718.29,17186
2011-03-07,715.11,715.11,685.09,696.69,21913
2011-03-08,700,710.22,691.67,699.4,14720
2011-03-09,705.89,706.6,693.38,700.09,10903
2011-03-10,695.71,696.49,687.04,693.38,9862
2011-03-11,687.04,699.91,682.22,686.98,14659
2011-03-14,683.16,699.78,681.49,698.44,11184
2011-03-15,680,691.11,670.53,677.62,16697
2011-03-16,682.16,693.73,682.09,687.8,11636
2011-03-17,682.16,693.33,678.22,680.56,9648
2011-03-18,683.51,686.18,673.56,675.93,9106
2011-03-21,679.96,682,670.98,672.71,8105
2011-03-22,675.62,683.11,674.22,679.02,8196
2011-03-23,677.49,687.11,676.53,684.49,11804
2011-03-24,687.76,695.11,687.76,692.82,10427
2011-03-25,696.44,717.33,696,714.07,16835
2011-03-28,715.56,737.38,714.51,728.11,18164
2011-03-29,728.82,746.58,725.78,733.93,16917
2011-03-30,736.8,751.11,733.76,736.18,14945
2011-03-31,733.78,755,732.36,734.18,19672
2011-04-01,742.98,747.4,734.91,738.09,9416
