Dates,Open,High,Low,Close,Volume
2010-12-31,397.85,397.85,397.85,397.85,0
2011-01-03,403.48,403.48,403.48,402.27,1
2011-01-04,399.02,399.02,399.02,399.02,0
2011-01-05,393.75,393.75,393.75,393.75,0
2011-01-06,393.73,393.73,393.73,393.73,0
2011-01-07,377.7,377.7,377.7,377.7,0
2011-01-10,371.55,371.55,371.55,371.55,0
2011-01-11,374.7,374.7,374.7,374.7,0
2011-01-12,382.95,382.95,382.95,382.95,0
2011-01-13,376,376,376,376,0
2011-01-14,376.88,376.88,376.88,376.88,0
2011-01-17,375.65,375.65,375.65,375.65,0
2011-01-18,379.98,379.98,379.98,379.98,0
2011-01-19,382.2,382.2,382.2,382.2,0
2011-01-20,386.9,386.9,386.9,386.9,0
2011-01-21,391.88,391.88,391.88,391.88,0
2011-01-24,395.18,395.18,392.52,402.45,2
2011-01-25,398.35,398.35,388.1,392.07,2
2011-01-27,380,380,367.43,370.5,16
2011-01-28,367.5,367.5,343.5,353.23,91
2011-01-31,348.9,360.1,344.93,358.8,53
2011-02-01,355,356.1,351.2,355.1,43
2011-02-02,357.25,361.5,348.75,352.02,93
2011-02-03,350.68,356.75,350.63,354.55,39
2011-02-04,350.25,352.9,332.13,336.23,153
2011-02-07,335.1,342.5,332.93,336.55,82
2011-02-08,335.5,336.15,315,316.45,161
2011-02-09,317.98,333.88,312.5,328.18,697
2011-02-10,341.95,341.95,324.5,329,163
2011-02-11,330.2,337.65,321.5,335.55,209
2011-02-14,344.5,345.82,336.45,341.85,125
2011-02-15,340,340,329.75,336.2,405
2011-02-16,338.05,338.05,326.43,330.77,399
2011-02-17,331.3,339,327,337.35,1133
2011-02-18,336.27,337.48,325.85,327.18,861
2011-02-21,328.8,329.5,320,328.27,1435
2011-02-22,325.5,325.5,318.25,321.18,1679
2011-02-23,321.1,326.6,319,322,3886
2011-02-24,320.05,321.75,305.55,310.05,5354
2011-02-25,313.52,315.13,295.9,299.77,6599
2011-02-28,300.5,321.9,294,309.32,12950
2011-03-01,311.93,336.15,311.93,332.98,13050
2011-03-03,329,339.7,328.5,335.85,6705
2011-03-04,339.73,344.95,335.13,337.07,6174
2011-03-07,334.05,334.05,323.1,330.77,4576
2011-03-08,331,335.5,330.57,333.7,2675
2011-03-09,335.5,337.45,332.05,334.77,3156
2011-03-10,332.05,336.4,331.05,334.65,2304
2011-03-11,331.48,333.5,326,329.38,3300
2011-03-14,330,335.75,327.48,333.2,2759
2011-03-15,327.5,328.98,318.27,322.82,4239
2011-03-16,325.5,332.9,325.5,331.43,3035
2011-03-17,328.38,333.75,327.52,328.7,2730
2011-03-18,326.25,332.07,314,316.52,4003
2011-03-21,318.27,323.25,314.6,321.3,3608
2011-03-22,323.18,329,321.13,327.55,2319
2011-03-23,327.18,328.38,321.73,324.98,4360
2011-03-24,325.6,335,325.5,333.95,4239
2011-03-25,336.5,339.68,332.38,338.68,3872
2011-03-28,333,343.5,333,340.18,3106
2011-03-29,340,346.05,339.55,344.05,2316
2011-03-30,344.15,356.4,343,355.38,4756
2011-03-31,354.65,357.95,342.77,350.18,4490
2011-04-01,352.77,359.5,351.02,357.75,3221
2011-04-04,360.5,374.3,356.77,372.6,4692
2011-04-05,373.73,374.48,364.4,368.3,3550
2011-04-06,368.38,371.95,361,365.13,2744
2011-04-07,365,371.07,362,368.18,2869
2011-04-08,368.15,369.55,361.55,365.32,3295
2011-04-11,362.5,362.6,355.55,356.65,2239
2011-04-13,354.05,368,352.52,366.45,3634
2011-04-15,364.73,368.82,360.6,362.82,2142
2011-04-18,362.63,371.43,360.2,361.57,3740
2011-04-19,360.45,368.63,358.15,364.85,3919
2011-04-20,368.02,384.5,368.02,382.32,7550
2011-04-21,384.9,388.5,378.02,383.57,4950
2011-04-25,382.48,390.4,381.98,384.88,2701
2011-04-26,384.5,384.7,375.05,379.35,4780
2011-04-27,382.15,387.9,379.5,384.9,3687
2011-04-28,385.63,387.38,380.5,385.13,2919
2011-04-29,385.48,385.98,373.75,378.32,3454
2011-05-02,381.43,383.5,371.55,373.25,3627
2011-05-03,370.25,371.45,352.65,355.18,5757
2011-05-04,355.23,357.35,343.13,352.57,4842
2011-05-05,354.32,357.7,343.65,346.8,3342
2011-05-06,349.02,360.57,347.5,358.15,4571
2011-05-09,360.85,361.8,353.63,355.85,2800
2011-05-10,354.5,358.95,348.3,350.8,3353
2011-05-11,351.13,353.02,347.65,350.43,2864
2011-05-12,348.5,353.88,343.07,345.13,3321
2011-05-13,345.32,351.15,338.68,346.9,5932
2011-05-16,342.55,342.55,335.63,337.82,3376
2011-05-17,338.55,342.95,333.6,336.8,3079
2011-05-18,339.27,339.27,329.2,336.02,2918
2011-05-19,339.48,341.88,336.75,338.9,2409
2011-05-20,340.02,347.25,337.48,345.65,3514
2011-05-23,342.65,345.27,340,343.1,2259
2011-05-24,343.48,344.85,337.25,343.25,2861
2011-05-25,343.95,345.95,339,340.48,2297
2011-05-26,342.5,343.5,330.48,342.43,4754
2011-05-27,344.93,353.8,343.5,351.77,3960
2011-05-30,353.7,356.63,331.25,332.85,18249
2011-05-31,333.9,339.5,326.25,337.38,13057
2011-06-01,337.85,342.48,336.93,338.8,6187
2011-06-02,334.5,335.7,325,331.98,4243
2011-06-03,333.2,337.25,332.27,334.98,4053
2011-06-06,332.88,333.75,327.55,330.38,3625
2011-06-07,328.7,334.7,328.27,332.75,3796
2011-06-08,329.75,333.82,326.43,332.3,4047
2011-06-09,331.5,334.43,330.82,333.27,2453
