Dates,Open,High,Low,Close,Volume
2010-12-31,1453.5,1453.5,1453.5,1453.5,0
2011-01-03,1456.85,1456.85,1456.85,1456.85,0
2011-01-04,1459.5,1459.5,1459.5,1459.5,0
2011-01-05,1442.55,1442.55,1442.55,1442.55,0
2011-01-06,1402.7,1402.7,1402.7,1402.7,0
2011-01-07,1350,1350,1350,1367.9,2
2011-01-10,1352.45,1352.45,1352.45,1352.45,0
2011-01-11,1344.3,1344.3,1344.3,1344.3,0
2011-01-12,1306.25,1306.25,1306.25,1343.35,1
2011-01-13,1341,1341,1341,1341,0
2011-01-14,1270.6,1270.6,1270.6,1270.6,1
2011-01-17,1260,1263,1257,1293.1,4
2011-01-18,1300.8,1300.8,1300.8,1300.8,0
2011-01-19,1295.7,1295.7,1295.7,1295.7,0
2011-01-20,1281.6,1281.6,1281.6,1281.6,0
2011-01-21,1270.6,1270.6,1270.6,1270.6,0
2011-01-24,1314.2,1314.2,1314.2,1314.2,0
2011-01-25,1287.4,1287.4,1284.85,1309.6,2
2011-01-27,1269.45,1278.95,1258.85,1259,17
2011-01-28,1246,1246,1217,1220.55,247
2011-01-31,1131.6,1240.9,1131.6,1235.05,217
2011-02-01,1246,1246,1219.85,1227.65,102
2011-02-02,1224.45,1230.5,1202,1209.8,49
2011-02-03,1213.75,1225,1210,1215.05,55
2011-02-04,1213.35,1231.75,1154.85,1160.55,80
2011-02-07,1180.25,1192,1170.65,1180.85,40
2011-02-08,1177.35,1180.05,1162.8,1167.05,39
2011-02-09,1160.15,1180,1139.45,1146.2,79
2011-02-10,1168.75,1168.75,1142.8,1152.55,41
2011-02-11,1164.5,1182.7,1151.1,1178.9,62
2011-02-14,1189.95,1216,1189.95,1213.3,106
2011-02-15,1217.7,1230.4,1199.9,1223.85,189
2011-02-16,1221,1224.2,1211.7,1217.3,185
2011-02-17,1214,1226.95,1207.5,1215.35,414
2011-02-18,1221.75,1238.7,1210,1212.1,2713
2011-02-21,1218,1218,1166.5,1198.35,1120
2011-02-22,1170.1,1183.35,1162,1171.9,3238
2011-02-23,1177.7,1183.15,1164.1,1172.05,2772
2011-02-24,1171.35,1173.2,1126,1138.2,5359
2011-02-25,1149.2,1152.95,1116.3,1134.55,3426
2011-02-28,1140.25,1216,1110.05,1182.25,5684
2011-03-01,1166.1,1284.9,1166.1,1279.4,6354
2011-03-03,1299.2,1318.5,1262.1,1310.25,4652
2011-03-04,1317.1,1329.7,1276,1284.1,3734
2011-03-07,1277,1277,1245.65,1253.4,3673
2011-03-08,1257.05,1266.9,1239.3,1255.9,3145
2011-03-09,1263.75,1278,1253.4,1262.8,1810
2011-03-10,1255.25,1281.25,1249.65,1267.65,2709
2011-03-11,1259.65,1275.6,1235.95,1251.05,3187
2011-03-14,1241.25,1267.6,1218.95,1259.25,3670
2011-03-15,1240,1240,1201.8,1210.6,3457
2011-03-16,1214.65,1229.8,1214.65,1222.1,2198
2011-03-17,1209.95,1213.75,1160.6,1170.8,7999
2011-03-18,1184.05,1206.15,1153.05,1161.75,6813
2011-03-21,1164.35,1167.7,1128,1133.55,3881
2011-03-22,1140.65,1181.65,1137.65,1173.75,6140
2011-03-23,1170.95,1184.6,1161.15,1182.75,3936
2011-03-24,1180.15,1188.7,1165,1174.75,3481
2011-03-25,1183.25,1191.2,1166.25,1189.05,6408
2011-03-28,1194.05,1217.3,1187.05,1208.5,4909
2011-03-29,1214.35,1250,1211.65,1241.05,5318
2011-03-30,1254.6,1295.8,1242.4,1276.05,4390
2011-03-31,1269.3,1287.85,1252,1262.15,5222
2011-04-01,1262,1294.7,1262,1276.65,3065
2011-04-04,1287.35,1308.85,1262.5,1303.6,3217
2011-04-05,1300,1321.8,1286,1312.25,3284
2011-04-06,1323.4,1327.05,1291.55,1296.2,3474
2011-04-07,1284.7,1288.25,1268.3,1280.4,2760
2011-04-08,1276,1284,1250.1,1259.2,2360
2011-04-11,1256.8,1260.35,1232.6,1239.6,2755
2011-04-13,1226.15,1288.9,1223.05,1285.4,4764
2011-04-15,1279.5,1289,1260,1263.05,2281
2011-04-18,1264,1285.5,1257,1262.7,3930
2011-04-19,1256.05,1267,1240.65,1255.2,2525
2011-04-20,1263.8,1272,1250.15,1269.1,2838
2011-04-21,1276.55,1308.7,1268,1304.6,7731
2011-04-25,1303,1332,1283.25,1322.05,16398
2011-04-26,1317.05,1317.05,1291.85,1305.75,6782
2011-04-27,1307.65,1327.55,1307.65,1315.55,5757
2011-04-28,1321.4,1323.95,1299,1301.25,4062
2011-04-29,1305,1327.4,1291.4,1313.55,3464
2011-05-02,1235.25,1329.85,1235.25,1281.1,4835
2011-05-03,1291,1291,1226.65,1249.55,5669
2011-05-04,1247.45,1248.75,1220,1224.5,3702
2011-05-05,1227.85,1253.45,1211,1226.8,3296
2011-05-06,1238.45,1266.95,1221.35,1259.95,3442
2011-05-09,1260.1,1260.1,1228.1,1232.8,1342
2011-05-10,1228.2,1244.3,1220.5,1228.7,1843
2011-05-11,1229.8,1232,1201.95,1212.3,3227
2011-05-12,1209,1227.3,1202.4,1208.25,2288
2011-05-13,1205.05,1231.9,1202.45,1218.3,2274
2011-05-16,1208.05,1227.95,1197.1,1222.9,3497
2011-05-17,1219.05,1220.05,1195.35,1199.55,2691
2011-05-18,1199.4,1204.3,1177.45,1196.65,3577
2011-05-19,1205,1209,1193.6,1200.55,1653
2011-05-20,1291.1,1291.1,1195.2,1216.2,1685
2011-05-23,1205.1,1208.95,1192.5,1197.25,4310
2011-05-24,1203.75,1219.5,1192.25,1199.65,2993
2011-05-25,1199,1208,1188.65,1204.15,3826
2011-05-26,1196.25,1228.5,1196.25,1215.3,3362
2011-05-27,1203.95,1206,1190.25,1202,2051
2011-05-30,1203.2,1209.85,1187.35,1194.15,1675
2011-05-31,1199,1222.05,1195,1217.25,2829
2011-06-01,1215,1240.9,1213,1236.5,5639
2011-06-02,1224.4,1233.05,1208.5,1219.35,4062
2011-06-03,1223.95,1235.8,1213.7,1232.45,3422
2011-06-06,1228,1235,1206.5,1229,2707
2011-06-07,1212.1,1238.65,1211,1234.7,2545
