Dates,Open,High,Low,Close,Volume
2017-04-28,6770.1,6818.9,6710,6722.9,371
2017-05-02,6716,6764.6,6701,6733.35,46
2017-05-03,6743.05,6743.05,6699.3,6713.1,37
2017-05-04,6718.4,6759.95,6711.7,6742.85,78
2017-05-05,6735,6760,6692.7,6737.25,95
2017-05-08,6819.55,6819.55,6601,6722,76
2017-05-09,6735,6735,6689.95,6717.35,49
2017-05-10,6750,7018.75,6750,6937.55,878
2017-05-11,6916.05,6965.9,6820.1,6852.9,302
2017-05-12,6875.1,6899.95,6766,6829.1,262
2017-05-15,6699,6754.1,6565.05,6600.75,496
2017-05-16,6595.5,6602.75,6445,6470.7,388
2017-05-17,6492,6560,6476.05,6545.1,237
2017-05-18,6495,6554.95,6465,6493.1,219
2017-05-19,6588.85,6600,6468.95,6533.65,169
2017-05-22,6557,6642,6542.35,6603.25,314
2017-05-23,6627.35,6683,6535,6595.25,352
2017-05-24,6617.3,6617.3,6470.6,6526.25,275
2017-05-25,6590.05,6590.05,6440,6498.45,396
2017-05-26,6636.6,6774,6570.3,6682.8,302
2017-05-29,6654,6690.05,6610.05,6626.55,124
2017-05-30,6609.05,6650.05,6589.95,6619.7,65
2017-05-31,6639.3,6721,6625,6665.25,256
2017-06-01,6688.95,6688.95,6590,6616.75,145
2017-06-02,6627.05,6685,6621,6671.6,130
2017-06-05,6699,6847.2,6649.95,6750.55,291
2017-06-06,6703,6745.65,6636.45,6697.5,127
2017-06-07,6651.05,6745,6651.05,6693.95,98
2017-06-08,6661,6729,6635.5,6691.95,134
2017-06-09,6651,6691.95,6650.05,6679.2,76
2017-06-12,6687.1,6735,6650,6667.7,98
2017-06-13,6685.05,6725,6669.95,6694.8,109
2017-06-14,6715,6720,6660.05,6689.2,92
2017-06-15,6690.05,6716.95,6675.15,6693.8,72
2017-06-16,6735,6830.05,6680.05,6761,182
2017-06-19,7098.95,7098.95,6702,6740.65,136
2017-06-20,6730.1,6744,6690.05,6703.4,101
2017-06-21,6666,6798,6621.05,6772.35,222
2017-06-22,6785,6855,6753,6774.65,191
2017-06-23,6778.15,6780,6622.45,6651.1,348
2017-06-27,6675,6698,6550.05,6613.95,221
2017-06-28,6614.95,6652.05,6604.75,6638,376
2017-06-29,6655.95,6778.75,6655.05,6748.7,308
2017-06-30,6717.7,6801.8,6706,6767.7,151
2017-07-03,6771.8,6880,6710.35,6776.85,277
2017-07-04,6825.05,6912.6,6760.15,6884.55,301
2017-07-05,6885.2,7033,6885.2,6958.95,558
2017-07-06,6949.75,7014.95,6929,6943.2,256
2017-07-07,6906.1,6967.95,6880.6,6894.65,149
2017-07-10,6920.05,6939.95,6817.1,6840.05,129
2017-07-11,6800.25,6875,6754.05,6806.6,198
2017-07-12,6813.05,6860.95,6790,6837.25,198
2017-07-13,6790,6979.75,6790,6809.8,303
2017-07-14,6840,6856.15,6813.1,6833.95,115
2017-07-17,6839.35,6932,6782.1,6887.7,201
2017-07-18,6865.05,6987.15,6621.05,6864.45,247
2017-07-19,6910.05,6964,6877.2,6952.7,333
2017-07-20,6954.05,6955,6864.5,6875.1,110
2017-07-21,6890,6928.05,6810,6828.35,157
2017-07-24,6837.65,6877.7,6827,6857.45,229
2017-07-25,6874.95,6874.95,6822.9,6836.5,331
2017-07-26,6860.15,6879.85,6795.1,6816.6,218
2017-07-27,6872,6901.75,6760,6799.65,677
2017-07-28,6809.95,6839.95,6770,6809.7,157
2017-07-31,6825,6835.35,6765.05,6784.95,121
2017-08-01,6755.85,6820,6686.45,6723.15,139
2017-08-02,6774.95,6783.85,6705.05,6725.95,250
2017-08-03,6721.2,6770.05,6700,6759.05,144
2017-08-04,6726.45,6750.05,6604.15,6715.1,192
2017-08-07,6735.05,6788.6,6692.1,6765.45,143
2017-08-08,6799.95,6818.2,6666,6714.35,90
2017-08-09,6700.05,6769.95,6675.05,6738.9,106
2017-08-10,6724.95,6748.45,6565.05,6629.55,256
2017-08-11,6510.05,6592.05,6510.05,6552.4,126
2017-08-14,6591.2,6756.7,6569.1,6664.9,150
2017-08-16,6633.1,6720,6633.1,6692.95,112
2017-08-17,6679.95,6756.95,6663.05,6671.25,75
2017-08-18,6680.05,6740,6655.15,6674.95,140
2017-08-21,6690.35,6690.35,6600.05,6616.55,127
2017-08-22,6654.7,6739.95,6550.05,6612.2,134
2017-08-23,6644,6713.95,6600,6609.45,111
2017-08-24,6625.05,6645.9,6596.35,6601.1,105
2017-08-28,6690,7093,6658.95,7066.95,1866
2017-08-29,7064.25,7075,6901,6973.15,628
2017-08-30,7035.9,7160.45,6828.05,7053.35,681
2017-08-31,6994.95,7139.8,6944.8,7121.25,764
2017-09-01,7130.05,7142.2,7051.05,7060.1,174
2017-09-04,7065.05,7081.2,6890,6905.3,324
2017-09-05,6922.45,7070,6919.95,7057.8,286
2017-09-06,6974.55,7025,6959.95,6995.1,147
2017-09-07,6972.5,7197,6947.65,7158.9,762
2017-09-08,7213.25,7247,7165,7208.05,696
2017-09-11,7222,7342.8,7222,7303.55,435
2017-09-12,7291.05,7418.15,7250,7394.65,457
2017-09-13,7380.05,7425,7212,7242.35,412
2017-09-14,7288.95,7288.95,7220.05,7264.05,228
2017-09-15,7265,7389.9,7251,7352.85,373
2017-09-18,7359.95,7371.75,7295,7317.65,0
