Dates,Open,High,Low,Close,Volume
2010-12-31,170.96,170.96,170.96,170.96,0
2011-01-03,168.96,168.96,168.96,168.96,0
2011-01-04,168.42,168.42,168.33,170.38,2
2011-01-05,167.92,168.17,167.92,169.79,2
2011-01-06,168.88,168.88,168.88,171.88,1
2011-01-07,170.29,170.29,169.38,167.58,2
2011-01-10,154.96,161.04,154.96,162.63,2
2011-01-11,160,160.33,158.33,158.96,7
2011-01-12,160.38,160.75,156.08,159.58,14
2011-01-13,159,159.63,156.88,160.58,10
2011-01-14,157.08,160.46,155.83,155.83,3
2011-01-17,156.04,157.38,156.04,158.79,3
2011-01-18,157.96,157.96,156.96,160.04,25
2011-01-19,156.79,158.83,156.13,156.17,32
2011-01-20,156.63,156.63,156.63,159.96,1
2011-01-21,157.33,161.13,157.33,158,385
2011-01-24,159.25,161.29,158.96,160.42,489
2011-01-25,161.29,164.08,160.92,162.25,667
2011-01-27,162.25,163.67,161.08,162.46,176
2011-01-28,161.79,162.54,159.54,159.75,492
2011-01-31,158.08,158.79,156,156.67,102
2011-02-01,156.25,157.33,153.33,153.67,315
2011-02-02,156.58,156.88,149.46,149.75,254
2011-02-03,150,151.42,148.38,151.29,70
2011-02-04,151.17,152.71,147.67,148.25,151
2011-02-07,149.17,151.21,149.08,150.54,75
2011-02-08,150.88,152.38,146,146.38,149
2011-02-09,145.25,147.5,143.13,144.13,446
2011-02-10,145,146.46,143.33,143.71,424
2011-02-11,144.33,149.63,143.83,148.63,320
2011-02-14,149.92,151.42,149.08,149.71,926
2011-02-15,149.17,152.5,149.17,151.58,1055
2011-02-16,152.33,152.54,151.25,152.29,608
2011-02-17,151.75,152.25,150.21,151.58,543
2011-02-18,151.88,152.13,148.75,149.54,7548
2011-02-21,148.75,149.33,146.38,148.42,1892
2011-02-22,146,148.38,146,147.17,3495
2011-02-23,147.5,148.13,144.58,145.08,3684
2011-02-24,144.25,145.67,142.92,143.5,4311
2011-02-25,143.92,144.63,141.13,142.54,2719
2011-02-28,142.67,147.46,142.08,142.46,3652
2011-03-01,143.42,151.83,142.92,151.33,4234
2011-03-03,150.67,152.46,148.46,149.25,3934
2011-03-04,150.42,151.17,148.79,149.25,2631
2011-03-07,148.33,150.79,146.29,150.08,2402
2011-03-08,149.75,151.38,148.83,150.54,1717
2011-03-09,151.08,151.08,148,148.88,2431
2011-03-10,148.17,148.21,146.25,147.29,2400
2011-03-11,147.13,147.63,145.08,146.46,2005
2011-03-14,146.67,149.79,146.67,149.33,1902
2011-03-15,146.75,147.92,144.71,145.92,2945
2011-03-16,146.67,149.33,146,148.17,1617
2011-03-17,147.67,148.33,146.54,147.08,1121
2011-03-18,148.21,148.21,145.33,145.83,1304
2011-03-21,146.67,146.67,144.38,144.96,1635
2011-03-22,146.13,146.67,145.54,145.92,1679
2011-03-23,145.58,147.33,145.17,146.79,1887
2011-03-24,147.29,147.5,146.5,147.21,2480
2011-03-25,147.42,153.54,147.08,152.96,9839
2011-03-28,152.25,156.33,151.17,154.5,2737
2011-03-29,154,158.21,153.42,157.25,4533
2011-03-30,159,159.08,156.79,157.63,2551
2011-03-31,158.33,161.67,157.13,160.92,4199
2011-04-01,162.17,162.5,158,158.71,1589
2011-04-04,158.5,160.75,157.29,159.17,2248
2011-04-05,158.75,160,157.08,157.79,1358
2011-04-06,158.08,161.25,155.63,160.58,4880
2011-04-07,160.83,161.13,155.96,156.13,4435
2011-04-08,156.54,157.25,152.83,153.79,3895
2011-04-11,153.63,155.96,152.92,153.92,2286
2011-04-13,153.33,157.42,152.08,157.08,3137
2011-04-15,155.96,156.33,154.21,154.67,1956
2011-04-18,154.33,156.67,153.38,154.38,2449
2011-04-19,154.5,154.5,152.71,153.92,1370
2011-04-20,154.58,156.5,153.88,156.33,3454
2011-04-21,156.67,157.33,155.25,156.54,7602
2011-04-25,156.21,157.21,155.67,155.96,4439
2011-04-26,155.5,156.13,153.75,155.58,3314
2011-04-27,155.92,156,154.13,154.58,1918
2011-04-28,155,155.08,152.83,153.08,3297
2011-04-29,153.83,154.75,151.67,152.17,1955
2011-05-02,152.75,153.33,151.25,151.75,1535
2011-05-03,150.88,152.21,148.33,148.83,2721
2011-05-04,148.79,150.13,147.5,148.92,1149
2011-05-05,149.42,149.42,144.29,144.63,2169
2011-05-06,144.29,146.46,143.42,145.88,1758
2011-05-09,146.54,146.54,144.42,144.75,1958
2011-05-10,144.92,152.5,144.67,150.67,8513
2011-05-11,151.29,151.29,146.88,147.58,3272
2011-05-12,147.13,148.46,144.83,145.21,2519
2011-05-13,145.88,148.08,144.38,146.67,2681
2011-05-16,146.83,146.83,144,144.71,3160
2011-05-17,144.58,144.92,140.46,142.38,4202
2011-05-18,142.83,143.25,140.83,142.71,4179
2011-05-19,143.13,143.38,141.54,141.83,2998
2011-05-20,142.38,145.17,141.38,144.04,4936
2011-05-23,142.71,143.17,139.92,140.13,10480
2011-05-24,140.5,141.58,138.33,139.25,9153
2011-05-25,139.08,139.96,137.67,139.71,4877
2011-05-26,140.04,142.96,139.33,142.42,4439
2011-05-27,143.17,144.13,140.42,140.92,3021
2011-05-30,140.75,141.88,139.58,140.42,2199
2011-05-31,140.58,142.08,139.79,141.38,8689
2011-06-01,142.08,146.42,142.08,146.13,5598
2011-06-02,144.63,148.54,144.25,146.54,3001
2011-06-03,146.25,147.88,145.42,145.92,2084
2011-06-06,145.92,146.54,144.42,145.79,842
2011-06-07,145.13,145.5,144.21,145.21,1196
2011-06-08,145,147.5,144.83,146.71,2256
2011-06-09,146.08,149.21,145.29,148.63,2912
2011-06-10,148.75,148.75,145.96,146.71,3715
2011-06-13,145.29,150.83,145.29,149.88,3640
2011-06-14,150.33,151.42,150.04,150.63,2411
2011-06-15,150,150,147.21,147.58,1614
2011-06-16,147.42,149.75,146.71,147.75,1282
2011-06-17,147.33,149.75,145.92,149.46,1713
2011-06-20,150.08,150.13,143.88,145.75,2875
2011-06-21,145.08,147.5,144.46,147.13,2318
2011-06-22,148.04,148.04,145.92,146.46,1726
2011-06-23,146.71,149.17,146.42,146.75,1886
2011-06-24,147.5,154.75,147.17,152.33,9596
2011-06-27,151.38,153.63,150.04,152.38,6017
2011-06-28,151.92,153.67,150.88,153.08,5995
2011-06-29,153.88,155.38,153.54,154.58,3348
2011-06-30,154.58,157.29,153.25,155.75,3326
2011-07-01,157.75,158.21,154.75,156.04,1159
2011-07-04,157.08,157.42,154.17,154.63,924
2011-07-05,154.38,155.17,152.92,154.42,1150
2011-07-06,154.13,156.21,153.54,154.83,1721
2011-07-07,154.96,159.08,154.96,158.63,2461
2011-07-08,159.04,160.21,158.08,158.92,1267
2011-07-11,158.33,159.96,156.42,157.46,900
2011-07-12,156.75,158.08,152.63,155.92,1239
2011-07-13,155.54,159.08,155.54,158.79,1141
2011-07-14,159.08,160,156.79,157.71,1297
2011-07-15,156.88,159.88,156.88,157.96,1586
2011-07-18,158,158,154.42,155.63,881
2011-07-19,155.92,158.75,155.92,157.67,914
2011-07-20,157.67,158.33,154.33,154.79,1013
2011-07-21,155.42,155.42,152.17,152.63,795
2011-07-22,153.88,156.21,152.67,153.25,4712
2011-07-25,152.92,154.5,151.5,153.5,4539
2011-07-26,153.96,154.92,150.29,150.71,3535
2011-07-27,150.88,151.33,148.42,150.29,2871
2011-07-28,149.58,149.58,146.63,146.96,1981
2011-07-29,147.5,149.13,146.75,147.29,807
2011-08-01,149.08,149.58,147.67,148.13,776
2011-08-02,146.67,151.17,146.67,150.75,2110
2011-08-03,150.13,151.58,148.21,151.33,1297
2011-08-04,150.67,150.71,146.96,147.67,1236
2011-08-05,143.54,146.33,143,143.38,1567
2011-08-08,140.83,144.5,137.88,142.92,1574
2011-08-09,139.83,143.08,138.83,141.17,2133
2011-08-10,143.42,148.25,141.25,146.42,3957
2011-08-11,145.79,149.38,145.54,148.13,2626
2011-08-12,147.83,148.54,145.83,146.38,772
2011-08-16,147.96,147.96,145.17,145.83,845
2011-08-17,146.67,148.33,145.13,146.38,1682
2011-08-18,146.42,147.29,144.17,144.83,1307
2011-08-19,144.04,146.54,144,145.17,3842
2011-08-22,145.58,147.71,143.33,146.17,2168
2011-08-23,146.96,147.04,142.92,143.33,4256
2011-08-24,142.63,143.21,141.67,142.17,2706
2011-08-25,142.29,142.29,140.13,141.71,2106
2011-08-26,141.29,141.67,135.5,138.33,1730
2011-08-29,139.5,141.42,138.96,141.08,1486
2011-08-30,142,142.08,139.54,140.96,1501
2011-09-02,142.25,145,137.79,138.88,1764
2011-09-05,138.29,138.92,136.08,136.38,2217
2011-09-06,136.13,136.88,134.42,135.08,2230
2011-09-07,135.75,139.67,135.38,139.38,2332
2011-09-08,139.79,140.29,138.42,139.08,1348
2011-09-09,139.5,140.33,135.92,136.29,1317
2011-09-12,135.13,135.79,133.33,135,1588
2011-09-13,135.79,138.17,135,136.21,1626
2011-09-14,135.92,137.67,134.58,136.96,1272
2011-09-15,137,137.79,135,137.33,1842
2011-09-16,138,144.04,137.75,143.5,3325
2011-09-19,140.5,143.71,140.42,140.88,1090
2011-09-20,140.42,144.13,140.42,143.79,1374
2011-09-21,143.67,145.13,143.33,144.42,2214
2011-09-22,142.17,142.88,137.58,138.08,1616
2011-09-23,136.92,140.42,136.75,139.04,4285
2011-09-26,137.5,139.92,136.08,136.71,2281
2011-09-27,137.21,138.67,136.83,138.13,3541
2011-09-28,137.92,140.92,137.04,140.08,2560
2011-09-29,140,141.67,137.13,140.13,2163
2011-09-30,139.58,140.67,137.58,139.63,1299
2011-10-03,137.71,138.46,136.71,137.63,912
2011-10-04,136.79,138.29,135.42,136.83,1090
2011-10-05,137.5,138.71,135.83,137.33,1086
2011-10-07,140,141.46,138.42,139.46,2180
2011-10-10,137.33,143.21,137.33,142.58,1804
2011-10-11,143.08,147.38,142.58,147,2002
2011-10-12,146.75,148.75,145.88,148.33,2867
2011-10-13,148.33,148.58,144.58,145.08,2478
2011-10-14,144.96,147.33,144,144.63,1480
2011-10-17,144.38,144.58,140,140.58,1241
2011-10-18,140.08,142.54,140.08,140.83,1097
2011-10-19,141.58,143.88,140.58,143.63,4154
2011-10-20,142.5,143.33,140.29,143.04,3631
2011-10-21,142.5,142.58,141.04,141.67,1968
2011-10-24,143.25,144.5,142.42,142.83,1413
2011-10-25,142.83,147.92,141.5,144.67,3888
2011-10-26,147.08,147.08,145.42,146.54,277
2011-10-28,148.92,151.67,147.25,150.17,2413
2011-10-31,149.17,153.63,148.75,150.79,3058
2011-11-01,149.79,151.67,148.54,149.04,836
2011-11-02,148.92,150.67,147.38,147.75,824
2011-11-03,147.08,150.38,146.67,149.79,797
2011-11-04,149.83,152.17,149.42,150.17,1283
2011-11-08,150.29,151,148.08,149.17,1252
2011-11-09,149.83,149.83,145.58,145.96,2110
2011-11-11,144.83,146.38,143.75,145.79,1421
2011-11-14,146.71,147.75,144.08,144.58,1214
2011-11-15,144.08,144.46,141.33,142.21,939
2011-11-16,141.79,143.75,140.25,141.21,1427
2011-11-17,141.75,142.5,137.17,137.75,1476
2011-11-18,136.75,137.33,134.29,135.75,1919
2011-11-21,135.42,135.42,130.17,130.71,3234
2011-11-22,131.42,132.5,129.33,130,3497
2011-11-23,129.58,131.21,126.88,130.5,2513
2011-11-24,131.13,133.13,127.92,132.33,2927
2011-11-25,132.92,134.71,130.33,131.29,1071
2011-11-28,132.17,134.92,132.17,133.92,934
2011-11-29,134.17,134.17,132.17,132.79,723
2011-11-30,131.88,136.83,131.17,135.71,1990
2011-12-01,138.83,140.33,137.92,139.46,1466
2011-12-02,139.17,145.71,138.63,144.63,1235
2011-12-05,144.17,147.46,143.75,147.08,1100
2011-12-07,146.67,148.75,141.33,142.63,2354
2011-12-08,141.13,142.38,136.88,138.96,2508
2011-12-09,137.58,140.25,135.96,139.13,1728
2011-12-12,139.58,140,133.46,136.25,2389
2011-12-13,135.83,140.25,134.38,139.13,1783
2011-12-14,138.46,139,136,136.58,2245
2011-12-15,135.83,139.96,132.92,139.29,2634
2011-12-16,139.54,142.33,133.46,134.54,2317
2011-12-19,133.33,134.75,130.79,134.08,1171
2011-12-20,133.63,135.13,129.13,129.75,1581
2011-12-21,131.83,136.08,129.92,134.67,2097
2011-12-22,134.21,137.46,133.13,136.79,2669
2011-12-23,137.79,138.5,131.79,132.54,3535
2011-12-26,133.13,134.92,132.75,134.58,2064
2011-12-27,134.25,134.46,130.13,131.13,1433
2011-12-28,131.67,135.5,131.21,134.79,1666
2011-12-29,133.5,134.42,132.5,133.88,2104
2011-12-30,135,136.38,133.67,134.71,720
2012-01-02,133.75,134.5,132,132.75,907
2012-01-03,133.67,135.42,133.38,134.83,1128
2012-01-04,135,135,133.42,134.33,922
2012-01-05,134.42,134.79,129.63,131.38,1791
2012-01-06,130.67,132.13,130.21,131.67,1596
2012-01-07,132.92,132.92,131.08,131.71,98
2012-01-09,130.92,132.08,130.46,131.58,938
2012-01-10,132.25,134.17,131.46,132.54,2673
2012-01-11,132.08,134.25,131.96,133.67,2693
2012-01-12,133.79,135.83,133.75,134.58,2284
2012-01-13,134.83,139.42,134.75,138.92,4979
2012-01-16,138.33,138.5,135.21,135.71,3062
2012-01-17,136.5,140,136.08,139.54,2225
2012-01-18,138.88,140.92,136.67,137.25,2083
2012-01-19,138.08,143.67,138.08,143.08,3896
2012-01-20,144.29,146.67,142.75,145.58,3174
2012-01-23,144.96,148.29,144.96,146.58,2316
2012-01-24,146.92,147.54,144.25,145.63,1462
2012-01-25,145.46,147.29,145.08,145.63,2234
2012-01-27,146.67,147.04,142.46,143.71,1464
2012-01-30,142.54,144,140.75,141.5,2026
2012-01-31,142.08,144.83,142.08,144.54,1191
2012-02-01,144.21,145.5,142.83,143.58,1205
2012-02-02,144.29,145.42,142.92,144.17,1721
2012-02-03,143.33,148.63,143.33,148.13,1611
2012-02-06,149.25,149.25,146.08,148.38,1576
2012-02-07,149.58,149.58,146.25,147.04,1010
2012-02-08,147.42,149.92,147.33,148.58,1152
2012-02-09,148.33,151.58,148.33,151.08,1536
2012-02-10,151.08,152,149.58,150.83,1120
2012-02-13,151.25,152.75,150.29,151.83,777
2012-02-14,151.04,153.67,150.96,152.29,2343
