Dates,Open,High,Low,Close,Volume
2010-12-31,217.5,217.5,217.5,217.5,1
2011-01-03,216.67,218.38,216.67,218.38,3
2011-01-04,216.33,216.33,216.33,219.13,1
2011-01-05,212.68,212.82,211.33,215.53,4
2011-01-06,208.04,208.04,205.7,208.84,4
2011-01-07,206.5,206.5,203.02,203.03,11
2011-01-10,200,200,197.83,199.63,15
2011-01-11,199.83,201.1,197.33,201.34,10
2011-01-12,195.03,196.93,194.02,201.63,3
2011-01-13,200.5,200.78,199.67,199.67,9
2011-01-14,200.33,201.66,200.33,200.28,2
2011-01-17,195.83,197.09,193.88,194.39,64
2011-01-18,194.17,194.33,191.67,192.77,82
2011-01-19,194.13,196.23,191.67,192.39,29
2011-01-20,191.64,191.66,187.5,189.1,97
2011-01-21,200.18,200.18,185.67,185.83,119
2011-01-24,189.45,191.02,188.43,191.01,73
2011-01-25,192.48,192.48,186.17,188.7,239
2011-01-27,189.5,190.08,186.03,187.13,130
2011-01-28,188.67,190.83,187.85,189.41,318
2011-01-31,192.64,207.66,192,196.13,311
2011-02-01,197.95,199.17,194.68,195.55,132
2011-02-02,196.38,200.2,194.83,195.52,662
2011-02-03,196.17,197.83,193.65,197.13,280
2011-02-04,197.5,202.48,194.68,195.47,548
2011-02-07,197.83,199.13,195.77,196.34,388
2011-02-08,194.2,196,184.67,186.93,399
2011-02-09,186.6,190.67,180.43,181.9,442
2011-02-10,181.43,185.8,181.03,181.9,812
2011-02-11,180.67,184.47,176.17,183.83,539
2011-02-14,186.07,188.33,183.13,185.87,576
2011-02-15,185,190.47,183,188.73,919
2011-02-16,188,189.33,185.67,186.3,493
2011-02-17,185.5,186.27,184.3,184.8,1599
2011-02-18,185.1,185.33,177.6,178.57,1322
2011-02-21,178.17,185.13,175.6,184.33,3930
2011-02-22,184.13,184.17,178.17,181.03,4816
2011-02-23,181.33,182.57,178.9,180.17,3568
2011-02-24,178.97,179.83,174,176.17,7782
2011-02-25,177.33,178.5,172.5,174.33,3083
2011-02-28,174.6,184.13,174.6,180.73,7828
2011-03-01,182.37,184.2,179.13,183.13,5951
2011-03-03,182.53,184,178.43,180.33,4160
2011-03-04,180.33,180.83,178.23,179.7,4273
2011-03-07,178.47,178.47,175.03,176.83,3384
2011-03-08,175.33,182.67,175.33,182.03,3483
2011-03-09,182.7,183.8,177.73,181.23,4656
2011-03-10,179.37,185.73,178.67,184.43,6609
2011-03-11,184.37,190.53,183.43,188.57,7036
2011-03-14,189.33,191.3,187.7,188.3,2941
2011-03-15,185.37,187.27,181,181.77,4575
2011-03-16,183.23,185.13,181.5,182.47,2596
2011-03-17,180.53,184.9,180.53,182.53,1831
2011-03-18,183.3,184.53,179.67,181.07,2935
2011-03-21,182.57,182.97,179.07,180.93,1694
2011-03-22,181.33,183.13,179.33,181.87,2199
2011-03-23,181.33,183.6,180.8,182.9,1991
2011-03-24,183.33,183.47,181.83,182.4,2315
2011-03-25,183.63,186,182.4,185.1,4370
2011-03-28,183.9,187.87,183.43,186.53,5106
2011-03-29,187.83,190.67,187.2,189.53,4136
2011-03-30,190.6,193.3,187.53,188.77,3487
2011-03-31,189.87,195.6,189.2,194.2,4797
2011-04-01,195.97,197.77,194.83,196.6,2217
2011-04-04,197,200.77,195.07,200,2610
2011-04-05,201.17,202.6,196.6,198.37,2531
2011-04-06,198.73,202.93,197.93,199.2,3118
2011-04-07,200.3,201.03,194.67,195.57,2460
2011-04-08,195.87,196.4,191.07,192.57,2334
2011-04-11,192,193.3,186.83,188.8,2842
2011-04-13,187.53,193.73,186.37,193,4570
2011-04-15,192.23,192.47,188.77,191.27,2528
2011-04-18,192.27,195.83,191.57,192.33,3602
2011-04-19,191.57,194.93,189.47,193.97,2931
2011-04-20,195.33,198.7,194.8,197.73,2831
2011-04-21,197.97,203.9,197.97,203.1,4354
2011-04-25,203.1,206.27,202.03,202.63,2790
2011-04-26,202.8,204.53,198.5,202.87,4546
2011-04-27,204,207.9,203.67,207.53,4519
2011-04-28,208.77,212.83,208.6,211.83,4216
2011-04-29,212.13,215.23,204.37,205.9,5109
2011-05-02,204,209.13,202.73,203.63,3394
2011-05-03,202.4,205.27,195.97,197,3433
2011-05-04,197.7,207.87,195.47,206.67,6823
2011-05-05,208,210.17,205.07,206.4,4798
2011-05-06,208.17,209.27,203.33,204.17,5184
2011-05-09,204.73,205.5,199.67,203.53,4184
2011-05-10,204.03,208.47,203.07,203.6,4047
2011-05-11,204.03,204.73,199.63,201.17,2929
2011-05-12,199.63,203.67,199.33,201.37,2856
2011-05-13,202.57,206.37,202.37,203.63,3565
2011-05-16,204.67,206.07,197.33,198.13,3648
2011-05-17,197.4,197.7,184.53,185.77,12898
2011-05-18,186.57,188.57,182.47,183.23,5728
2011-05-19,184.33,186,182.13,185.43,3271
2011-05-20,186.23,189.57,178.27,182.93,13986
2011-05-23,183.17,183.17,176.33,178.7,5499
2011-05-24,180,180,175.8,177.3,2979
2011-05-25,177.37,177.37,174.33,175.23,3082
2011-05-26,175.67,183.67,174.87,182.97,8089
2011-05-27,184.63,189.8,184.27,188.1,4442
2011-05-30,189.3,190.67,183.83,185.27,3700
2011-05-31,182.63,188.3,180.17,187.53,6283
2011-06-01,188.67,189.57,185.73,188.47,2414
2011-06-02,186.63,190.9,186.07,188.33,3031
2011-06-03,188.9,190,186.33,187.8,2542
2011-06-06,186.23,186.9,184.33,185.03,1975
2011-06-07,184.33,186.13,183.13,185.63,2557
2011-06-08,183.33,184.1,180.43,181.17,4530
2011-06-09,180.73,181.5,177,177.47,5679
2011-06-10,177.67,179.07,177.17,178.6,3504
2011-06-13,178.3,181.33,177,180.27,3991
2011-06-14,181.23,183.27,180.47,180.83,3539
2011-06-15,181.33,181.33,177.87,179.67,3816
2011-06-16,179.27,181.17,178.33,179.83,2755
