Dates,Open,High,Low,Close,Volume
2020-05-04,707.25,727,677,689.65,521
2020-05-05,699,735.5,699,715.85,3224
2020-05-06,712,751.45,706.5,733.45,3772
2020-05-07,737.6,744.45,726,736.95,1044
2020-05-08,742,770.95,740.65,759.5,2519
2020-05-11,767.4,771.85,746,751.8,1358
2020-05-12,746.95,756,737.2,746.85,1051
2020-05-13,771.6,785.05,755.55,762.15,2703
2020-05-14,755,770.65,742.85,747.15,1118
2020-05-15,752.1,755,741.1,753.1,1012
2020-05-18,750.7,750.75,695.25,700.35,1737
2020-05-19,704.1,720.75,699,704.2,1155
2020-05-20,704.8,719,699.85,716.9,707
2020-05-21,717.95,742.95,717.75,731.35,904
2020-05-22,732.05,742.65,724,730.05,947
2020-05-26,734,756,730,754.75,1785
2020-05-27,752,754,730.5,737.7,2635
2020-05-28,741.55,753.65,736.95,748.1,735
2020-05-29,745.7,777,745.7,766.35,5659
2020-06-01,772.95,779.9,763.7,774.6,1377
2020-06-02,777.95,791.3,773.05,778.65,1820
2020-06-03,787.95,815.85,781.15,806.1,3025
2020-06-04,809,820.35,791.55,796.1,1524
2020-06-05,802.1,806,784.65,797.8,1408
2020-06-08,801.95,807,777.45,780.35,1223
2020-06-09,780.6,791.65,750,755.9,2883
2020-06-10,758,761.95,740.3,743.65,5027
2020-06-11,740.15,758.95,732.9,738.15,3291
2020-06-12,730,758.95,729.1,750.85,7444
2020-06-15,748,756,741.4,746.3,4123
2020-06-16,751.5,771.45,742.6,765,3590
2020-06-17,768.4,780.85,765.3,773.15,2580
2020-06-18,770.4,786.45,768.15,773,1487
2020-06-19,774.2,781.5,767.95,776.95,1788
2020-06-22,785.2,789.6,761.35,777.65,2283
2020-06-23,780.35,806.95,780.05,797.25,4893
2020-06-24,803.95,810.2,776.35,782.85,2779
2020-06-25,779.35,793.45,776.4,786.3,2082
2020-06-26,792.45,805.25,783.15,785.35,1245
2020-06-29,784.55,789.9,775,787.35,831
2020-06-30,789.05,810.1,789,806.65,2319
2020-07-01,814.1,819.9,802.1,806.95,1657
2020-07-02,807.95,823,806,817,1555
2020-07-03,819.95,848,819.75,846.25,2334
2020-07-06,851.85,875.25,851.3,863.45,2523
2020-07-07,865.8,874.95,855.9,868.7,1245
2020-07-08,870.15,870.15,850.15,853.9,1246
2020-07-09,850.3,855.65,838,844.05,932
2020-07-10,851.7,873.65,850.45,862.7,2683
2020-07-13,866.05,869.85,851.15,866.35,1095
2020-07-14,865.55,888.9,858.2,862.95,2625
2020-07-15,866.8,872.9,856,859.05,1091
2020-07-16,861.95,871.9,855,868.45,1057
2020-07-17,873.25,884.3,865.8,878.85,1960
2020-07-20,881.2,889,851,854.55,3171
2020-07-21,862.9,899.5,846.3,892.3,10102
2020-07-22,895.8,895.8,856.8,862.15,2987
2020-07-23,861,882.4,860.55,879.7,1440
2020-07-24,874.8,878.9,863.25,868.3,765
2020-07-27,874.75,882.8,857.75,869.25,2701
2020-07-28,865.4,891.05,865.4,884.2,4653
2020-07-29,880.7,892.75,878,881.7,2744
2020-07-30,885.9,916.85,883,913.55,2589
2020-07-31,921,923.2,906.8,917.3,2389
2020-08-03,909.4,913.55,875.1,877.7,2251
2020-08-04,885.4,885.7,871,880.45,1175
2020-08-05,880,884.95,862.85,865.2,2039
2020-08-06,870.1,883,865,880.6,1476
2020-08-07,885.9,886.2,867,873.1,1187
2020-08-10,884.65,884.65,867.05,870.15,1340
2020-08-11,872.9,882.1,861.75,864.75,1346
2020-08-12,864.75,871.95,855.05,861.6,1131
2020-08-13,861.2,871.45,858.05,864.35,878
2020-08-14,868.05,868.05,831.65,842.15,3140
2020-08-17,845.55,849.8,840,846.55,1167
2020-08-18,850,866.4,847.35,862.2,1736
2020-08-19,864.6,878.45,864.5,866.75,2328
2020-08-20,851.8,866,850.15,853.15,1145
2020-08-21,880.25,889.8,859.4,862,5744
2020-08-24,870,870.25,851.65,862.45,3485
2020-08-25,865.35,866.9,840,849.5,5336
2020-08-26,856,856,834.5,839.2,3861
2020-08-27,839,845,833.5,841.25,1962
2020-08-28,849.65,861.85,845.15,856.5,3115
2020-08-31,859.15,867,822.4,829.75,2961
2020-09-01,825.35,844.4,821.7,840.5,2169
2020-09-02,850,863.5,844,854.6,2674
2020-09-03,857.25,866,855.1,856.6,1308
2020-09-04,842.15,848.95,833.5,836.05,1619
2020-09-07,835.45,845.9,827.4,841.75,1230
2020-09-08,843.3,854.2,834.25,845.55,1794
2020-09-09,837.45,846.95,825.55,831.9,1929
2020-09-10,833.15,850.65,833.1,846.7,1576
2020-09-11,848.3,869.95,847.9,867.2,3034
2020-09-14,872.5,878,850.35,858,2143
2020-09-15,861.9,870.1,853.65,865.1,1577
2020-09-16,868.3,874,862.25,868.05,1662
2020-09-17,864.2,866.35,852.5,856,1364
2020-09-18,857.25,861,845.25,849.1,2329
2020-09-21,850,851.05,836.05,839.45,1892
2020-09-22,835.3,837.3,802.5,831,4818
2020-09-23,832.05,842.05,826.5,833.3,3724
2020-09-24,822.05,830,782,804.4,4926
2020-09-25,766.4,814.6,766.4,798.2,3817
2020-09-28,805,817.7,801.75,814.8,1746
2020-09-29,817.95,832.75,806.25,811.1,2498
2020-09-30,808.1,817.2,804.4,813.7,1513
2020-10-01,815.8,828.05,812.05,823.1,1844
2020-10-05,825.1,838.35,818.2,829.35,1626
2020-10-06,831,840,825.5,832.4,1406
2020-10-07,835.95,837.9,828.25,832.1,1168
2020-10-08,837.45,837.45,819.35,822.35,2133
2020-10-09,828.45,828.45,804.7,807,2016
2020-10-12,809.6,812.25,788.15,792.35,1847
2020-10-13,792.8,794.7,784.2,789.65,1441
2020-10-14,789.65,814.45,778.5,812.45,3049
2020-10-15,815.2,822.45,803.65,807.1,3101
2020-10-16,806.05,813.25,799.75,801.95,1227
2020-10-19,802.05,809.4,796.7,801.6,1054
2020-10-20,806.6,808.05,792.4,803.9,2715
2020-10-21,801,806.55,782.2,787.75,2046
2020-10-22,788.8,788.8,772.9,782.6,2248
2020-10-23,783,790.8,769.25,772.9,2883
2020-10-26,775,785.9,766.5,780.75,5835
2020-10-27,791,791,771.55,775.2,4398
2020-10-28,776.4,778,765.9,769.95,3507
2020-10-29,762,772.7,754.85,761.5,2850
2020-10-30,761.4,777.25,758,770.1,2287
2020-11-02,772.3,780.65,764.95,769.55,1678
2020-11-03,772.85,798.2,772.65,789.75,2361
2020-11-04,792.45,795.95,784.3,792.95,1527
2020-11-05,798.65,808.75,794,807.45,1712
2020-11-06,808.5,809.35,797.05,801.4,1762
2020-11-09,804,818.25,803.1,809.9,2304
2020-11-10,815.3,834.95,812.5,831.7,2360
2020-11-11,831.7,849.75,831.7,842.95,2617
2020-11-12,841.15,847.4,827.55,839.9,2133
2020-11-13,837.85,840,825.4,835.5,1521
2020-11-14,835.55,841.9,835.55,838.25,198
2020-11-17,838.85,869,836.75,865,3401
2020-11-18,866.5,868.95,848,858.35,1591
2020-11-19,852.55,863.75,838.3,846.7,1457
2020-11-20,845.1,852.8,836,847.5,1460
2020-11-23,848.35,854.75,832,833.5,1980
2020-11-24,835,841.2,832.95,840.15,2610
2020-11-25,845.9,864,844.35,848.55,3766
2020-11-26,850,858.55,848.05,851.5,3244
2020-11-27,857.15,859.95,846,850.35,2839
2020-12-01,855.75,858.35,844.8,854.1,1457
2020-12-02,857.3,884.85,853.6,880.4,4290
2020-12-03,883.05,883.05,859.25,864.45,5860
2020-12-04,866.65,876,861.25,865.8,2891
2020-12-07,864.95,870.45,851.1,855.1,5104
2020-12-08,856,861.05,852.4,859.4,3379
