Dates,Open,High,Low,Close,Volume
2010-12-31,281.39,284.44,281.39,287.5,5
2011-01-03,286.34,286.34,286.34,288.31,1
2011-01-04,278.01,287.35,277.3,279.44,4
2011-01-05,272,280.44,271.8,272.69,15
2011-01-06,267.89,268,265.9,266.2,12
2011-01-07,262.8,264.49,261.9,263,5
2011-01-10,263.94,265.2,259,259.79,5
2011-01-11,258.95,263.8,258,263.8,6
2011-01-12,261.9,270,261.9,268.14,6
2011-01-13,266.96,266.96,260,261.02,13
2011-01-14,259,259,252,252.5,17
2011-01-17,253.4,254.5,253.4,253.68,6
2011-01-18,256.43,257.59,255.18,260.09,3
2011-01-19,256.07,256.07,250.56,252.75,17
2011-01-20,249.2,256.1,249.2,256,35
2011-01-21,256.5,261.59,255.69,261.36,31
2011-01-24,266.85,271.36,266.46,270.23,80
2011-01-25,268,274.4,267.99,268.32,95
2011-01-27,270.6,272.1,266.57,267.44,238
2011-01-28,266.48,277.2,261.11,264.24,397
2011-01-31,260.91,268.48,260.3,266.86,319
2011-02-01,266.3,266.9,259.64,260.81,345
2011-02-02,262.19,264.5,258.05,259.56,373
2011-02-03,258.02,266.9,257.61,266.41,285
2011-02-04,265.76,270.49,263.99,264.64,1642
2011-02-07,265,268.55,263.68,266.17,607
2011-02-08,267.12,268.57,263.1,263.84,458
2011-02-09,263,264.13,257.7,258.77,608
2011-02-10,258.73,259.81,249.09,250.62,832
2011-02-11,251.58,260.48,249.16,259.47,1089
2011-02-14,261.09,270.29,261.09,269.46,1104
2011-02-15,270.63,275.5,266.5,273.3,2336
2011-02-16,273.09,276.79,272.43,274.49,1514
2011-02-17,275.39,278,273.44,277.09,2850
2011-02-18,278.46,280.2,272.5,274.73,5312
2011-02-21,275,280.38,274.02,279.54,7699
2011-02-22,276.91,277.32,272.1,272.99,12924
2011-02-23,271.4,272.41,262.01,262.77,21199
2011-02-24,263,264.44,252.82,254.36,27815
2011-02-25,256.34,262.3,253.7,258.48,33168
2011-02-28,260.5,267.39,258.52,262.41,43000
2011-03-01,264.8,271.8,263.66,270.95,26747
2011-03-03,268.6,273.2,266.16,269.38,38077
2011-03-04,272,273.39,269.21,270.45,19784
2011-03-07,267.98,267.98,261.5,263.51,20498
2011-03-08,263.49,266.8,263.49,265.58,18313
2011-03-09,266.38,267.2,262.13,264.06,19676
2011-03-10,262.25,262.36,258.3,260.23,20436
2011-03-11,258.3,260.57,256.5,257.77,19923
2011-03-14,255.78,261.8,255.78,261.31,18627
2011-03-15,254.98,258.95,253.1,256.59,22946
2011-03-16,258.18,265.1,258.02,264.22,22030
2011-03-17,262.9,267.09,261.4,263.01,28869
2011-03-18,264.7,264.7,259.1,260.11,16220
2011-03-21,261.4,262,257.55,259.56,16667
2011-03-22,260.04,263.99,260,262.79,14167
2011-03-23,262.21,266,260.21,265.53,17695
2011-03-24,265.02,267.7,264.32,266.5,12523
2011-03-25,267.34,273.2,265.87,272.54,29913
2011-03-28,271.32,277.4,271.32,276.22,21694
2011-03-29,275.69,280.48,275.27,277.24,21174
2011-03-30,278.06,287.48,278.06,285.99,29369
2011-03-31,287.31,288.76,276.35,276.53,29460
2011-04-01,278.4,279.06,272.5,273.95,25433
2011-04-04,274.4,279.2,274.11,278.15,20982
2011-04-05,278.6,281.1,275.61,280.39,27661
2011-04-06,280.82,283,278.01,280.26,25131
2011-04-07,279.56,284.16,278.25,281.69,20804
2011-04-08,281.41,282.99,276.2,278.06,19602
2011-04-11,275.11,279.8,275.11,278.29,14880
2011-04-13,277.02,284.4,276.2,283.44,24703
2011-04-15,283.06,286.2,279.86,281.23,20523
2011-04-18,280.25,285.29,275.25,276.06,20827
2011-04-19,276.5,278,272.6,274.48,17286
2011-04-20,276.01,281.47,273.51,280.67,32837
2011-04-21,281,288.2,281,286.38,31173
2011-04-25,287,296.8,285.8,292.86,20255
2011-04-26,293.23,295.68,289.11,294.07,27574
2011-04-27,295.01,295.76,290.2,291.17,18193
2011-04-28,292.79,293.26,285.32,285.57,20979
2011-04-29,287.25,287.89,279.24,281.24,16415
2011-05-02,282.43,282.61,270,271.18,24228
2011-05-03,270.34,273.99,259.21,260.03,49546
2011-05-04,259.9,265.68,257.5,262.59,29022
2011-05-05,262.02,265.2,259.3,260.91,19299
2011-05-06,261.6,266.9,261.6,265.51,21492
2011-05-09,265.31,266.9,260.5,262.99,16156
2011-05-10,262.23,264.85,261.41,263.16,13414
2011-05-11,264.1,266.99,261.51,265.61,30285
2011-05-12,264.51,266.25,261.5,262.39,16655
2011-05-13,262.7,266.6,260,263.06,26144
2011-05-16,262.49,262.9,257.3,257.96,23460
2011-05-17,260.2,260.2,238.11,239.71,122533
2011-05-18,237.1,237.89,231.1,233.88,58836
2011-05-19,234.01,235.99,229.4,230.32,25921
2011-05-20,230.33,236.3,230.33,232.64,26511
2011-05-23,231.4,231.4,224.73,225.57,27440
2011-05-24,226.01,227.4,222.23,223.04,29350
2011-05-25,222.11,223.64,217.21,218.36,38241
2011-05-26,218.81,221.4,216.65,218.83,44047
2011-05-27,221.49,225.65,221.31,224.62,26850
2011-05-30,225.39,226.48,222.41,224.85,18019
2011-05-31,226.03,231.07,225.81,230.5,28123
2011-06-01,231.34,234.29,230.7,233.46,26575
2011-06-02,231.5,235.44,230.03,234.24,27015
2011-06-03,234.5,236.4,230.63,231.91,21309
2011-06-06,231.06,232.9,227.73,232.22,19918
2011-06-07,230.55,234.19,230.55,232.89,15620
2011-06-08,231.49,233.37,229.43,230.61,19497
2011-06-09,233,233,226.51,227.67,23776
2011-06-10,227.23,228.31,223.2,225.24,21259
2011-06-13,224.53,225.49,221.84,223.37,16854
2011-06-14,223.99,225.94,222.8,224.34,17887
2011-06-15,224.39,224.39,218.85,219.46,23249
2011-06-16,217.5,223.5,217.05,221.28,35820
2011-06-17,222.25,222.9,219.66,222.32,18951
2011-06-20,222.7,222.88,212.56,218.51,22838
2011-06-21,219.9,222,214.83,215.58,26101
2011-06-22,218.28,218.28,213,214.5,19328
2011-06-23,214.1,217.86,213.93,216.52,17632
2011-06-24,217.97,229.95,217.66,228.86,39600
2011-06-27,227.11,232.97,226.51,232.63,31651
2011-06-28,233.2,234.9,231.73,233.96,25753
2011-06-29,233.9,238.47,233.9,237.82,23646
2011-06-30,238.71,243.6,238.61,240.46,30197
2011-07-01,242.5,243.29,238.56,242.36,23921
2011-07-04,243.55,245.52,242.83,244.28,13296
2011-07-05,244.4,248.88,241.28,248.16,31555
2011-07-06,247.99,248.31,244.01,244.8,19584
2011-07-07,244.7,249.32,242.69,248.57,22630
2011-07-08,249.43,252.39,246.13,248.19,29263
2011-07-11,247.6,247.61,242.4,243.51,20372
2011-07-12,239.4,243.38,239.13,241.12,25719
2011-07-13,241.8,244.95,241.8,244.26,17824
2011-07-14,243.2,249.44,242.2,246.79,26928
2011-07-15,247.68,250.49,246.57,247.51,19153
2011-07-18,248.2,248.9,245.8,247.76,11728
2011-07-19,247.21,252.4,247.03,252.03,20535
2011-07-20,253,253.17,246.65,247.61,20300
2011-07-21,247,248.64,244.81,245.73,14452
2011-07-22,247.5,250.58,246.13,249.92,19783
2011-07-25,249.11,252.37,247.41,251.03,18245
2011-07-26,251.59,252.8,242.66,244.14,37822
2011-07-27,243.89,243.92,238.5,241.01,29062
2011-07-28,238.5,239.69,234.51,235.66,24047
2011-07-29,235,237.99,233.64,235.16,18794
2011-08-01,237.6,238.9,233.29,235.69,14978
2011-08-02,234.49,234.89,227.68,228.74,19018
2011-08-03,226,229.9,225.32,228.94,21257
2011-08-04,229.3,231.79,225.6,226.11,19135
2011-08-05,221.23,224.44,218.22,223.7,30351
2011-08-08,219,227.18,218,222.2,26769
2011-08-09,216.79,229.1,216.2,223.31,41262
2011-08-10,227,229,225.3,227.56,20735
2011-08-11,226.44,228.8,224.24,225.24,20362
2011-08-12,227.5,228.09,214.56,219.49,47232
2011-08-16,217.7,224.5,216,219.31,42455
2011-08-17,220.12,223.29,216.86,217.57,32515
2011-08-18,218.4,218.6,206.03,207.03,40917
2011-08-19,204.13,210.5,202.8,204.39,35564
2011-08-22,204.3,207.7,200.69,206.15,36172
2011-08-23,207.3,208.4,203.6,206.71,41159
2011-08-24,206.94,208.5,197.63,199.16,39834
2011-08-25,199.88,200.9,195.4,195.98,33607
2011-08-26,197.14,197.69,187.5,189.56,31838
2011-08-29,192.6,196,191.76,194.77,24696
2011-08-30,197.2,198.99,192.48,198.19,35726
2011-09-02,199,202.3,196.25,199.04,28962
2011-09-05,196.66,201.48,196.66,200.39,25678
2011-09-06,198.79,199.65,193.01,198.68,36804
2011-09-07,198.6,204.3,198.6,202.73,26803
2011-09-08,203.9,204.7,201.1,203.02,24804
2011-09-09,203,205.29,194.51,195.49,38925
2011-09-12,193.3,193.3,185.91,186.63,36219
2011-09-13,187.97,190.5,182.11,183.92,45600
2011-09-14,183.98,185.99,181.5,183.41,50097
2011-09-15,183.69,191.2,183.23,190.51,55387
2011-09-16,191.88,195.98,188.1,194.43,65279
2011-09-19,193.01,193.47,190.3,191.47,23341
2011-09-20,191.23,199.8,190.12,199.23,34689
2011-09-21,198.5,202.1,198.5,200.67,35699
2011-09-22,197.26,197.26,192.19,193.14,33848
2011-09-23,191.11,198.4,188.8,195.08,51837
2011-09-26,195.63,197.59,192.06,195.73,43103
2011-09-27,198.51,201.17,197.8,200.05,36770
