Dates,Open,High,Low,Close,Volume
2010-12-31,247.93,247.93,247.93,247.93,0
2011-01-03,248.93,248.93,248.93,248.93,0
2011-01-04,250.23,250.23,250.23,250.23,0
2011-01-05,249.23,249.23,249.23,249.23,0
2011-01-06,255.25,255.25,255.25,255.25,0
2011-01-07,251.73,251.73,251.73,251.73,0
2011-01-10,243.28,243.28,243.28,243.28,0
2011-01-11,242.57,242.57,242.57,242.57,0
2011-01-12,247.35,247.35,247.35,247.35,0
2011-01-13,246.23,246.23,246.23,246.23,0
2011-01-14,241.98,241.98,241.98,241.98,0
2011-01-17,237,237,237,237,0
2011-01-18,246.57,246.57,246.57,246.57,0
2011-01-19,246.6,246.6,246.6,246.6,0
2011-01-20,248.55,248.55,248.55,248.55,0
2011-01-21,246.95,246.95,246.95,246.95,0
2011-01-24,246.07,246.07,246.07,246.45,1
2011-01-25,240.8,240.8,240.8,240.8,0
2011-01-27,234.7,234.7,233.1,233.55,4
2011-01-28,230.07,230.1,221.3,227.8,36
2011-01-31,223.32,227.28,217.65,222.07,34
2011-02-01,221.03,221.03,215.05,218.1,34
2011-02-02,219.1,222,218.78,220.25,16
2011-02-03,216.25,222,216.15,221.8,10
2011-02-04,221,224.03,206.32,208.78,74
2011-02-07,208.18,208.85,206.5,206.75,22
2011-02-08,202.45,202.45,199.48,199.88,19
2011-02-09,202.53,210.8,202.5,205.6,32
2011-02-10,209.4,211.57,209.3,209.4,20
2011-02-11,212.6,212.6,209.73,210.95,16
2011-02-14,210.55,214.68,208.85,215.4,24
2011-02-15,213.23,214,209,212.15,54
2011-02-16,215.4,218.5,207.5,209.82,78
2011-02-17,209.18,214.98,207.5,213.13,112
2011-02-18,213.32,215.5,213,213.75,135
2011-02-21,212.32,217,212.32,216.6,928
2011-02-22,214.05,214.05,207.43,209.9,951
2011-02-23,212.8,213.57,208.73,209.25,1494
2011-02-24,209.25,210.95,202.75,204.05,2022
2011-02-25,206.28,210.93,205.88,209.73,1502
2011-02-28,208.78,216.98,208.75,211.63,1861
2011-03-01,213.6,225.75,212.5,224,1576
2011-03-03,223,223.55,214.05,216.23,1822
2011-03-04,218.05,222.5,214.88,215.88,1821
2011-03-07,213.35,214,206.25,208.9,1707
2011-03-08,210,213.5,210,211.98,1099
2011-03-09,212.28,213.35,205.78,208.68,1406
2011-03-10,207.25,210.15,205,208.68,1344
2011-03-11,207.55,211.9,207.55,210.53,1208
2011-03-14,209,215.5,209,214.43,1094
2011-03-15,209,217.48,205.05,213.4,2244
2011-03-16,215.73,221.28,214.63,220.07,1103
2011-03-17,218.5,221.95,215.63,216.48,1310
2011-03-18,217.5,219.35,214.78,216.85,899
2011-03-21,217.63,223.9,217.53,221.78,1505
2011-03-22,222.85,227.45,219.4,225.25,1930
2011-03-23,225.28,229.75,225,229.2,2203
2011-03-24,228.75,230.85,227.4,228.55,688
2011-03-25,231.32,232.5,228.5,230.5,1500
2011-03-28,230.5,231.43,220.53,222.8,1833
2011-03-29,221.25,224.45,220.88,222.3,937
2011-03-30,224.18,225.53,221.15,222.55,1281
2011-03-31,222.8,223.5,219,221.25,1593
2011-04-01,222.25,225.18,222.25,224.53,802
2011-04-04,226.25,228.6,224.13,226.75,1364
2011-04-05,226.38,228.73,223.3,225.45,838
2011-04-06,225.73,225.75,221.5,223.28,913
2011-04-07,222.6,222.95,220.6,221.8,664
2011-04-08,222.25,224.15,221.07,221.43,821
2011-04-11,225.18,228.63,223.7,226.55,1891
2011-04-13,226.75,227.28,222.15,224.9,1885
2011-04-15,224,225.75,220.25,220.78,762
2011-04-18,221.23,224.5,215.75,217.9,1275
2011-04-19,217.18,222.2,214.13,221.73,1354
