Dates,Open,High,Low,Close,Volume
2010-12-31,645.79,650.26,644.61,655.63,6
2011-01-03,654.98,667.7,654.98,667.7,9
2011-01-04,668.17,683.95,657.85,657.85,11
2011-01-05,663.08,663.08,645.55,648.66,20
2011-01-06,654.6,655.87,647.86,657.47,7
2011-01-07,650.73,650.73,624.49,626.84,19
2011-01-10,600.13,630.94,599.99,617.75,7
2011-01-11,621.99,623.88,607.52,613.51,39
2011-01-12,592.87,612,586.18,608.09,71
2011-01-13,610.63,610.63,594.8,596.59,49
2011-01-14,588.63,591.74,576.76,585.71,17
2011-01-17,577.65,587.55,577.65,587.55,17
2011-01-18,594.05,595.98,591.83,594.9,15
2011-01-19,597.39,604.41,597.39,598.24,12
2011-01-20,599.84,601.49,592.73,595.04,21
2011-01-21,593.72,596.26,588.82,589.1,71
2011-01-24,587.88,608.7,586.56,606.82,88
2011-01-25,608.61,618.22,608.61,609.08,68
2011-01-27,609.55,614.26,605.4,606.87,118
2011-01-28,604.56,614.31,588.58,594.1,389
2011-01-31,584.11,603.66,583.12,601.54,459
2011-02-01,602.34,606.16,592.12,595.84,489
2011-02-02,596.64,602.2,583.63,594.38,492
2011-02-03,596.45,607.85,595.27,605.73,253
2011-02-04,605.03,621.05,600.27,602.67,489
2011-02-07,607.81,611.2,601.16,606.16,360
2011-02-08,609.65,609.65,584.29,586.74,743
2011-02-09,585.24,588.06,564.79,568.32,1428
2011-02-10,567.43,572.75,550.7,568.27,826
2011-02-11,570.39,572.04,545.09,564.46,923
2011-02-14,568.56,588.58,567.61,586.89,801
2011-02-15,590.28,592.49,578.26,583.07,1236
2011-02-16,584.29,607.85,573.93,605.59,2596
2011-02-17,607.76,618.88,605.78,617.51,4926
2011-02-18,620.11,623.73,599.28,602.34,9772
2011-02-21,603.76,605.83,588.06,603.85,7537
2011-02-22,596.78,596.78,585.38,589.57,11904
2011-02-23,586.18,592.92,581.37,585.33,15344
2011-02-24,586.41,590.42,562.19,566.77,18833
2011-02-25,573.46,578.64,556.4,574.3,29726
2011-02-28,578.59,584.2,566.58,572.37,26724
2011-03-01,576.71,601.96,575.39,600.83,24677
2011-03-03,595.84,598.34,584.39,590.7,23495
2011-03-04,594.8,597.49,581.84,583.68,16731
2011-03-07,579.68,579.68,561.49,570.68,21205
2011-03-08,572.28,584.77,569.22,581.33,16996
2011-03-09,583.35,585.76,572.18,578.78,17268
2011-03-10,575.81,575.81,562.62,564.93,23512
2011-03-11,560.73,561.68,545.66,550.32,27388
2011-03-14,548.48,569.31,546.69,568.46,23223
2011-03-15,554.04,566.39,543.77,558.28,31961
2011-03-16,562.62,572.42,561.68,565.87,19501
2011-03-17,558.38,566.72,558,560.97,15223
2011-03-18,563.94,569.69,559.79,562.48,19816
2011-03-21,566.25,571.24,562.48,566.44,15867
2011-03-22,568.51,576.57,568.51,571.15,15888
2011-03-23,571.57,577.7,570.91,576.43,14332
2011-03-24,578.26,582.13,572.51,576.28,15788
2011-03-25,579.77,582.41,574.54,581.04,24059
2011-03-28,580.52,587.03,577.79,579.11,19386
2011-03-29,577.98,585.9,575.06,580.48,21948
2011-03-30,582.41,588.06,580.71,581.94,17060
2011-03-31,583.3,587.45,578.64,586.41,19657
2011-04-01,589.01,597.02,586.18,592.96,16041
2011-04-04,593.62,600.27,591.65,596.59,10808
2011-04-05,597.49,602.67,588.39,600.79,17209
2011-04-06,601.26,605.64,595.74,599.23,14016
2011-04-07,600.46,606.82,598.81,602.53,12096
2011-04-08,602.2,606.35,589.52,592.78,11723
2011-04-11,593.29,597.96,586.89,590.23,9735
2011-04-13,584.58,601.73,584.44,600.22,10776
2011-04-15,598.19,602.48,592.07,593.81,10413
2011-04-18,596.07,601.12,573.5,575.2,20071
2011-04-19,573.93,582.69,569.59,576.94,13811
2011-04-20,581.56,592.68,580.57,590.89,18683
2011-04-21,595.08,598.24,591.98,595.27,21689
2011-04-25,591.93,600.17,591.41,593.11,14486
2011-04-26,593.34,593.34,580.76,591.83,19944
2011-04-27,593.01,597.39,584.29,586.23,19395
2011-04-28,587.17,588.68,577.37,578.12,15141
2011-04-29,580.24,585.71,576.94,581.66,10299
2011-05-02,582.41,585.47,574.3,580.52,7853
2011-05-03,578.12,580.85,565.96,568.41,11367
2011-05-04,569.17,569.17,556.49,557.58,14652
2011-05-05,560.26,561.54,548.53,550.98,10291
2011-05-06,551.55,564.27,550.37,561.87,12479
2011-05-09,564.65,567,556.49,562.38,9910
2011-05-10,561.25,564.32,550.98,556.78,11461
2011-05-11,557.39,564.69,556.59,561.16,9743
2011-05-12,557.95,560.12,548.77,550.56,12048
2011-05-13,555.55,569.69,551.03,561.96,16976
2011-05-16,558.85,559.7,542.97,544.71,14968
2011-05-17,545.75,551.88,534.49,542.17,19241
2011-05-18,543.77,545.61,535.01,540.33,12807
2011-05-19,541.79,542.36,528.88,530.15,15961
2011-05-20,530.53,551.31,530.53,546.88,18979
2011-05-23,540.19,541.89,524.45,526.62,24156
2011-05-24,527.28,536.66,521.81,534.68,28454
2011-05-25,533.5,536.61,525.86,529.78,19293
2011-05-26,541.98,546.03,532.65,541.08,21557
2011-05-27,545.18,553.15,532.08,550.13,25135
2011-05-30,552.16,552.3,543.54,546.97,11807
2011-05-31,548.77,557.91,545.66,556.68,16034
2011-06-01,558.85,563.84,547.73,550.98,19673
2011-06-02,543.77,545.18,539.06,541.65,12138
2011-06-03,542.97,549.8,538.12,540.8,12974
2011-06-06,538.3,540.9,532.93,537.27,10390
2011-06-07,536.14,546.6,535.05,545,11291
2011-06-08,543.49,548.39,540.24,545.47,12029
2011-06-09,544.05,548.48,542.55,545.66,9829
2011-06-10,546.46,546.46,535.48,538.78,11539
2011-06-13,536.14,537.17,530.11,533.26,12061
2011-06-14,534.82,536.28,528.22,531.61,10751
2011-06-15,532.7,535.19,529.16,530.44,9304
2011-06-16,526.81,531.14,520.78,522.38,12673
2011-06-17,531.43,543.44,531.43,541.23,21007
