Dates,Open,High,Low,Close,Volume
2010-12-31,595.92,595.92,595.92,595.92,0
2011-01-03,591.53,591.53,591.53,591.53,0
2011-01-04,585.17,587.65,584.95,584.7,5
2011-01-05,585,586,582.5,591.83,6
2011-01-06,590,590,590,598.13,1
2011-01-07,604,604,590.72,583,2
2011-01-10,570,574,570,572,3
2011-01-11,570.5,570.5,557.5,560,5
2011-01-12,562.5,572.5,562.5,572.5,3
2011-01-13,573,573,573,573,0
2011-01-14,566,566,564.55,564.55,2
2011-01-17,564.5,564.5,564.5,579.22,1
2011-01-18,621.75,621.75,579.67,612.2,46
2011-01-19,600.5,601.25,598.45,601.25,7
2011-01-20,599.88,611.13,599.88,616.85,8
2011-01-21,607.13,610.35,607.08,610.35,7
2011-01-24,610.7,615.8,605,614.75,13
2011-01-25,610.65,611.83,596,600.85,40
2011-01-27,601.28,606.5,598.03,604.7,53
2011-01-28,604.53,604.53,589.92,595.78,72
2011-01-31,583.33,585.85,571.55,583.35,96
2011-02-01,577.47,583.33,570.05,578.35,279
2011-02-02,585,602.5,585,593.88,183
2011-02-03,592.1,601.63,589.05,596.5,86
2011-02-04,593.63,593.63,573.28,575.92,499
2011-02-07,582.53,583.4,568.5,570.55,269
2011-02-08,572,577.75,564.5,568.33,269
2011-02-09,564.2,568.65,547.55,552.47,296
2011-02-10,554,555.9,542.28,551.72,209
2011-02-11,549.72,550.5,532.85,548.08,183
2011-02-14,552,563.15,548.53,559.78,201
2011-02-15,556.67,557.72,543.9,553.13,682
2011-02-16,555.35,558.97,545.25,552.88,400
2011-02-17,555,561.45,551,558.22,316
2011-02-18,560.92,569.95,546.42,549.88,3395
2011-02-21,549.72,577.17,534.35,572.75,6550
2011-02-22,567.85,576.97,563.92,572.05,4520
2011-02-23,567.33,575,565.33,566.35,5224
2011-02-24,563.13,569.95,552.55,558.95,11496
2011-02-25,556.33,561.5,547.03,557.63,7260
2011-02-28,555,578.45,553.53,557.88,9490
2011-03-01,559.7,569.5,550.78,566.53,9507
2011-03-03,562.42,579.95,557.42,577.08,9703
2011-03-04,582.5,583.47,567.65,569.58,6601
2011-03-07,563.55,563.58,550.35,557.72,9525
2011-03-08,555.95,568,555.72,562.85,5864
2011-03-09,565.5,571.45,561.28,566.13,5668
2011-03-10,563.28,563.28,552.67,558,4993
2011-03-11,552.5,554.4,535.28,542.7,11028
2011-03-14,539.3,553.75,532.08,551.95,8981
2011-03-15,538.75,549.45,535.63,546.65,9039
2011-03-16,567,567,547.5,559.33,7196
2011-03-17,556.92,560.83,548.25,551.4,6686
2011-03-18,554.9,554.9,541,542.85,6005
2011-03-21,545.53,546.25,536.3,538.08,4811
2011-03-22,540.55,542,533.58,537.55,3964
2011-03-23,536.33,538.3,531.5,535.3,8091
2011-03-24,536.15,549.83,536,548.42,7887
