Dates,Open,High,Low,Close,Volume
2010-12-31,179.55,179.55,179.55,179.55,0
2011-01-03,181.76,181.76,181.76,181.76,0
2011-01-04,190.16,190.16,190.16,190.16,0
2011-01-05,186.03,186.03,186.03,186.03,0
2011-01-06,186.29,186.29,186.29,186.29,0
2011-01-07,180.54,180.54,180.54,180.54,0
2011-01-10,176.68,176.68,176.68,176.68,0
2011-01-11,173.94,173.94,173.94,173.94,0
2011-01-12,177.2,177.2,177.2,177.2,0
2011-01-13,174.95,174.95,174.95,174.95,0
2011-01-14,172.68,172.68,172.68,172.68,0
2011-01-17,176.1,176.1,176.1,176.1,0
2011-01-18,176.4,176.4,176.4,176.4,0
2011-01-19,175.48,175.48,175.48,175.48,0
2011-01-20,177.01,177.01,177.01,177.01,0
2011-01-21,175.65,175.65,175.65,175.65,0
2011-01-24,176.85,176.85,176.85,176.85,0
2011-01-25,174.09,174.09,174.09,174.09,2
2011-01-27,175.5,176.6,169.49,169.49,22
2011-01-28,164.25,165.5,164.25,165.5,2
2011-01-31,162.15,162.15,162.15,165.21,2
2011-02-01,162.66,162.66,160,160.25,7
2011-02-02,161.25,162.36,161.25,162.36,2
2011-02-03,160,160,160,164.88,1
2011-02-04,167.66,167.66,167.66,160.91,1
2011-02-07,160,160.13,159,159.24,10
2011-02-08,159.91,159.91,159.91,156.05,1
2011-02-09,151.5,152.57,145.38,145.39,10
2011-02-10,144,144,141.75,142.13,4
2011-02-11,136.88,143.75,136.88,143.75,15
2011-02-14,148.84,162.25,148.84,160,18
2011-02-15,161.59,162,156.84,160.26,25
2011-02-16,157.06,161.95,156.25,161.11,71
2011-02-17,163.49,169.25,162.5,167.6,166
2011-02-18,166.25,167.74,157.68,165.85,95
2011-02-21,163.28,171.7,162.8,170.11,250
2011-02-22,170.5,176,168.41,172.13,313
2011-02-23,172.56,174,168.01,171.13,804
2011-02-24,173.25,174.19,163,164.64,1167
2011-02-25,166.49,166.5,158.6,160.14,653
2011-02-28,159.38,164.5,158.04,161.2,781
2011-03-01,162.46,169,160.84,168.06,430
2011-03-03,167.5,172.24,166.75,171.64,258
2011-03-04,172.06,174.44,169.05,171.56,400
2011-03-07,169.13,170.88,168.13,169.34,252
2011-03-08,170.75,185.99,170.5,185.24,4461
2011-03-09,186.18,186.18,180.63,182.53,2237
2011-03-10,181.95,183,179.5,180.57,766
2011-03-11,179.75,184.38,179,181.11,1611
2011-03-14,181.99,183.5,180,182.56,490
2011-03-15,179.86,189.38,178,183.9,2551
2011-03-16,185,187.46,183.15,184.93,478
2011-03-17,183.82,187.75,182.32,183.73,509
2011-03-18,185.24,185.24,176.09,177.3,1033
2011-03-21,179.25,180.25,175,178.57,621
2011-03-22,177,179.86,176.25,178.56,559
2011-03-23,179.2,179.63,177.53,178.93,241
2011-03-24,179.25,185.25,179.25,184.84,877
2011-03-25,186.56,186.56,183.63,185.36,449
2011-03-28,185,185.63,180.81,181.28,516
2011-03-29,182,184.95,168.96,173.54,1809
2011-03-30,173.71,177.68,164.49,169.43,2309
2011-03-31,171.88,173.32,168.05,169.04,1482
2011-04-01,170.5,173.25,169.07,172.69,766
2011-04-04,174.75,177.25,173,176.4,1072
2011-04-05,177.26,181.61,174.75,180.66,1522
2011-04-06,180.57,186,180,184.4,2259
2011-04-07,182.75,189.16,180.63,188.74,3462
2011-04-08,189.73,190.73,183.81,184.78,2349
2011-04-11,183.75,186.11,182.63,182.99,806
2011-04-13,181.51,184.94,181.25,184.54,496
2011-04-15,184.13,186.06,182.16,183.21,920
2011-04-18,183.88,184.89,176,176.73,631
2011-04-19,177.99,179.75,172.53,177.82,725
2011-04-20,179,182.15,179,181.82,496
2011-04-21,183.64,184.45,178.64,180.54,408
2011-04-25,180.63,181.98,179.16,180,266
2011-04-26,180,183.5,178.46,181.78,1148
2011-04-27,182.71,182.71,179.14,179.76,685
2011-04-28,179.63,179.63,170.9,172.14,1577
2011-04-29,173.26,175.9,170.93,172.41,568
2011-05-02,172.41,174.93,170.38,173.1,498
2011-05-03,171.65,173.78,167.63,168.18,466
2011-05-04,168.25,168.75,165.1,166.6,316
2011-05-05,165.63,168.69,163,165.55,264
2011-05-06,167.86,168.75,163.11,168.23,332
2011-05-09,167.88,168.75,166.13,167.57,158
2011-05-10,168.1,171.46,167.25,169.78,429
2011-05-11,170.65,171.73,169.34,170.5,373
2011-05-12,169.75,171.82,166.75,167.57,364
2011-05-13,168.43,170.68,167.4,169.24,218
2011-05-16,168.79,168.79,165.56,167.06,133
2011-05-17,167.46,167.95,160.78,163.24,302
2011-05-18,164.38,167.18,162.18,164.55,408
2011-05-19,166,167.95,164.16,166.98,291
2011-05-20,168,168.86,161.55,162.24,571
2011-05-23,161.5,164.6,158.06,162.71,845
2011-05-24,163,170.25,161.53,168.3,1176
2011-05-25,167.5,168.45,162.78,165.23,1467
2011-05-26,167.7,168.73,163.07,164.32,1543
2011-05-27,168.44,168.45,163.55,166.26,583
2011-05-30,167.94,173.5,166.84,172.61,1375
2011-05-31,172.85,173.75,169.1,170.65,927
2011-06-01,169.03,177.1,169.03,176.25,1682
2011-06-02,174.24,174.99,171.19,172.15,928
2011-06-03,172.99,174.7,171,172.5,748
2011-06-06,172.86,178,171.84,176.68,1633
2011-06-07,176.76,180.25,176.76,177.98,1228
2011-06-08,177.06,178.25,175.4,176.16,478
2011-06-09,176.99,178,174.55,175.86,624
2011-06-10,176.11,178,174.85,175.5,687
2011-06-13,174.01,177.15,172,175.95,629
2011-06-14,177.25,178.21,175.91,176.91,669
2011-06-15,178.4,179.38,174.86,175.38,721
2011-06-16,175.88,175.88,171.74,172.86,517
2011-06-17,173.25,174.25,170.15,172.86,679
2011-06-20,173.11,173.11,164.54,166.65,686
2011-06-21,167.48,171.13,165.53,168.91,741
2011-06-22,170,174,169.25,173.05,743
2011-06-23,172.16,176,170.86,175.4,670
2011-06-24,175.56,177.86,173.25,174.13,1130
2011-06-27,173,176.57,171.54,175.73,820
2011-06-28,175.51,176.34,173.03,174.98,703
2011-06-29,175.45,179.24,175.15,178.05,1280
2011-06-30,178.75,181,177.85,180.81,977
2011-07-01,183.5,183.75,179.75,180.56,834
2011-07-04,181,183.43,180,183.04,956
2011-07-05,182.79,184.2,181,183.51,934
2011-07-06,183.74,186.2,183.04,185.24,870
2011-07-07,185.5,187.68,184.81,185.73,1027
2011-07-08,186.66,187.49,183.78,184.25,593
2011-07-11,183.4,187.13,181.63,186.04,985
2011-07-12,183.76,187.91,182.75,186.28,1706
2011-07-13,186.5,187.32,184.61,185.25,633
2011-07-14,184,190.25,183.88,188.5,1074
2011-07-15,188.86,190,185,186.41,800
2011-07-18,186.05,187.15,185.25,185.81,187
2011-07-19,186.73,189.25,185.38,188.14,659
2011-07-20,188.73,189.88,187.39,187.94,498
2011-07-21,187.26,190.48,184.84,186.64,723
2011-07-22,187.8,189.63,186.13,187.54,720
2011-07-25,186.6,195.55,186.3,193.25,1658
2011-07-26,195,196.23,190.81,193.3,1518
2011-07-27,194.28,199.41,193.34,197.31,1514
2011-07-28,195.57,196.75,193.31,196.09,819
2011-07-29,194.93,196.24,192.57,193.31,390
2011-08-01,194.25,195.75,193,194.31,575
2011-08-02,194.4,195.35,193.28,194.65,608
2011-08-03,191.06,194.05,191.06,192.95,684
2011-08-04,193,194.3,190.4,192.31,692
2011-08-05,188.75,190.14,180.25,183.88,937
2011-08-08,175.29,179.75,171.75,177.66,767
2011-08-09,172.75,181.25,172,179.9,934
2011-08-10,182.25,187.5,180.81,182.89,794
2011-08-11,181.21,183.1,179.06,181.09,586
2011-08-12,183.01,185.5,181.13,182.24,909
2011-08-16,182.51,182.51,176.38,179.69,938
2011-08-17,179.29,182.25,176.75,178.49,675
2011-08-18,177.75,178.25,163.25,165.5,1024
2011-08-19,162.49,167.09,155.5,159.86,1397
2011-08-22,158.5,162.75,156.32,160.04,671
2011-08-23,158.5,167.93,156.78,165.93,1002
2011-08-24,165.32,167.63,162.25,163.13,683
2011-08-25,186.64,186.64,154.28,154.64,1023
2011-08-26,154.39,156.75,150.81,153.03,879
2011-08-29,155.78,160.88,155.5,159.39,726
2011-08-30,161.38,165.18,158.89,163,864
2011-09-02,163.75,163.75,157.5,158.98,514
2011-09-05,156.57,171.06,156,168.68,1241
2011-09-06,169.74,169.74,162.23,166.04,1400
2011-09-07,167.41,173.13,166.25,171.89,1120
2011-09-08,171.53,175,170.76,172.06,787
2011-09-09,171.5,173.48,164.25,166.36,744
2011-09-12,162.03,162.75,156.25,158.09,514
2011-09-13,158.73,162.56,157.16,157.68,643
2011-09-14,158.13,160.7,154.75,157.84,619
2011-09-15,158.99,160.25,156.75,159.68,694
2011-09-16,161,163.75,158,162.57,1076
2011-09-19,161.5,162.19,156.76,158.9,668
2011-09-20,160.01,163.5,159.51,162.65,745
2011-09-21,162.75,166.06,161.75,163.07,410
2011-09-22,161,161.75,155.53,156.64,487
2011-09-23,154.39,159,154.39,157.06,490
2011-09-26,157.5,158.96,150.5,151.6,548
2011-09-27,153.75,154.68,152.63,153.36,627
2011-09-28,153.75,155.98,144.59,145.53,1377
2011-09-29,140.25,144.63,138.88,142.91,854
2011-09-30,146.99,146.99,139.51,144.14,615
2011-10-03,141.98,141.98,138.46,138.99,315
2011-10-04,138.75,140.75,135.5,137.8,477
2011-10-05,139.25,140.25,133.3,133.84,336
2011-10-07,137.5,141.49,136.25,140.88,515
2011-10-10,142.07,145.23,141.56,144.73,420
2011-10-11,146,147.73,142.21,143.68,459
2011-10-12,144.75,148.69,144.75,146.82,353
2011-10-13,151.1,153.5,145.54,152,636
2011-10-14,152.48,154.11,148.25,149.28,569
2011-10-17,150,150.2,145.25,146.68,225
