Dates,Open,High,Low,Close,Volume
2010-12-31,183.78,183.78,183.78,183.78,0
2011-01-03,188.32,188.32,188.32,188.32,0
2011-01-04,186.83,186.83,186.83,186.83,0
2011-01-05,185.94,185.94,185.94,185.94,0
2011-01-06,182.72,182.72,182.72,182.72,0
2011-01-07,174.09,174.09,174.09,174.09,0
2011-01-10,167.88,167.88,167.88,167.88,0
2011-01-11,168.47,168.47,168.47,168.47,0
2011-01-12,175,180,175,182.54,2
2011-01-13,174.02,174.02,174.02,174.02,0
2011-01-14,173.76,173.76,173.76,173.76,0
2011-01-17,173.75,173.75,173.75,174.43,1
2011-01-18,177.27,177.27,177.27,177.27,0
2011-01-19,175.85,175.85,175.85,175.85,0
2011-01-20,177.45,177.45,177.45,177.45,0
2011-01-21,178.39,178.39,178.39,178.39,0
2011-01-24,180.99,180.99,180.99,180.99,1
2011-01-25,182.91,182.93,174.38,182.9,9
2011-01-27,183.07,183.07,179,180.33,15
2011-01-28,182.87,182.87,166.98,176.08,58
2011-01-31,174,181.67,173.56,181.26,44
2011-02-01,181.79,184.2,180,180.97,83
2011-02-02,182.39,182.39,178.6,178.84,36
2011-02-03,178.26,182,177.5,181.48,27
2011-02-04,181.35,183.43,176.25,177.24,91
2011-02-07,176.98,176.98,173.86,174.19,24
2011-02-08,172.56,173.25,162.75,163.15,108
2011-02-09,161,165,151.25,155.59,204
2011-02-10,158.42,160.19,149.03,155.67,135
2011-02-11,153.8,158.5,153.14,157.26,85
2011-02-14,159,161.5,158.02,160.7,106
2011-02-15,160.58,163.56,157.5,161.55,156
2011-02-16,162,165.25,160.5,164.31,79
2011-02-17,164.5,166.43,163.06,165.63,138
2011-02-18,166.4,167.74,161.26,161.86,386
2011-02-21,161.78,169.7,161.15,169.02,1022
2011-02-22,167.01,172.45,166.34,171.47,1801
2011-02-23,171.45,173.25,169.76,171.19,2586
2011-02-24,170.32,172.59,163.25,164.16,4050
2011-02-25,165.12,168.6,164,167.79,3894
2011-02-28,167.83,172.44,165.25,166.91,4106
2011-03-01,167,171.7,167,170.82,2921
2011-03-03,170.19,175.24,169.49,173.22,5432
2011-03-04,173.99,175.15,171.78,172.52,2361
2011-03-07,171.4,171.4,167.65,170.26,3022
2011-03-08,170.25,174.7,170.25,173.59,2915
2011-03-09,173.85,176.25,173.3,175.02,3121
2011-03-10,174.02,174.6,172.6,173.95,1549
2011-03-11,172.83,174.78,171.65,172.67,1988
2011-03-14,173.95,175.4,171.65,175.04,1942
2011-03-15,172.1,174.1,170.7,173.29,2299
2011-03-16,175,179.4,174.45,177.72,4226
2011-03-17,176.5,179.25,176.36,178.51,2599
2011-03-18,179.5,179.93,173.5,174.03,3922
2011-03-21,175,175.23,171.3,172.4,2146
2011-03-22,172.5,175.19,172.2,173.66,1924
