Dates,Open,High,Low,Close,Volume
2010-12-31,264.71,264.71,264.71,264.71,0
2011-01-03,257.13,257.13,257.13,257.13,2
2011-01-04,260.38,260.38,256.83,262.45,6
2011-01-05,259.25,259.25,259.25,259.25,0
2011-01-06,252.44,252.44,251.12,254.76,2
2011-01-07,241.41,241.41,235.08,236.07,6
2011-01-10,231.52,238.44,231.52,237.49,4
2011-01-11,227.95,227.95,227.95,227.95,1
2011-01-12,245.71,245.71,245.71,245.71,0
2011-01-13,240.93,243.98,240.7,243.15,8
2011-01-14,235.47,238.64,231.58,231.58,9
2011-01-17,230.53,231.52,230.53,237.58,2
2011-01-18,235.87,235.87,235.87,241.67,1
2011-01-19,233.94,233.94,233.5,233.77,3
2011-01-20,231.46,234.38,230.32,240.6,3
2011-01-21,235.07,236.54,224.9,239.09,8
2011-01-24,232.18,237.75,232.18,239.09,16
2011-01-25,234.12,235.08,227.82,228.64,43
2011-01-27,220.6,234.63,220.6,233.14,105
2011-01-28,232.34,232.34,220.01,224.58,496
2011-01-31,221.96,227.71,218.06,226.16,203
2011-02-01,224.91,224.91,210.15,211.24,579
2011-02-02,216.38,221.51,212.63,217.71,479
2011-02-03,216.43,228.75,215.34,227.19,464
2011-02-04,232,232.98,222.74,224.43,837
2011-02-07,222.98,227.07,216.35,223.68,713
2011-02-08,224.07,225.28,216.69,217.83,563
2011-02-09,215.49,219.64,207.3,211.37,999
2011-02-10,213.78,219.72,210.77,216.89,981
2011-02-11,220.04,229.52,215.27,225.32,927
2011-02-14,234.48,239.04,233.96,236.87,3207
2011-02-15,237.45,242.8,233.4,240.61,1575
2011-02-16,239.7,243.39,237.85,242.4,1399
2011-02-17,241.13,243.98,239.07,243.64,2135
2011-02-18,243.79,245.37,234.83,235.87,3981
2011-02-21,237.14,237.14,223.6,229.26,13781
2011-02-22,226.83,226.97,221.03,223.52,12378
2011-02-23,223.61,228.55,222.5,224.75,13767
2011-02-24,224.02,224.02,205.4,207.63,38840
2011-02-25,212.72,218.06,208.56,216.23,33018
2011-02-28,217.27,222.22,207.38,213.41,59392
2011-03-01,216.65,225.15,216.2,224.61,30442
2011-03-03,223.36,231.13,219.38,229.84,44295
2011-03-04,232.5,233.86,227.56,228.89,23297
2011-03-07,226.57,226.57,219.64,222.23,21567
2011-03-08,221.43,229.43,221.43,228.79,18610
2011-03-09,230.28,231.28,225.99,229.01,15779
2011-03-10,228.53,230.92,225.58,228.2,16978
2011-03-11,227.36,229.14,222.16,226.94,20998
2011-03-14,226.28,230.33,223.7,229.44,16762
2011-03-15,224.59,227.76,221.86,223.75,20069
2011-03-16,225.58,230.3,225.58,228.71,15503
2011-03-17,226.6,228.9,223.6,225.04,15435
2011-03-18,227.62,228.49,219.25,220.16,21312
2011-03-21,222.12,223.54,219.64,221.29,15131
2011-03-22,222.86,226.12,222.86,224.75,16211
2011-03-23,224.03,226.34,222.43,225.16,13157
2011-03-24,225.98,229.89,225.98,229.24,13044
2011-03-25,230.92,236.03,229.74,234.71,20188
2011-03-28,235.87,242.2,235.87,241.32,28127
2011-03-29,242.8,245.76,239.88,243.72,21131
2011-03-30,245.57,248.67,244.79,246.94,16412
2011-03-31,248.34,248.58,241.84,247.02,24492
2011-04-01,244.3,246.04,242.63,244.66,12414
2011-04-04,245.47,247.27,242.51,246.41,11300
2011-04-05,247.74,253.09,244.43,252.47,24640
2011-04-06,253.3,255.06,249.58,253.83,22539
2011-04-07,252.29,254.77,250.03,252.19,13562
2011-04-08,251.7,252.68,245.09,246.62,12095
2011-04-11,244.75,244.75,238.66,240.48,11935
2011-04-13,238.7,247.74,237.77,246.57,22090
2011-04-15,245.91,250.51,242.71,244.04,15066
2011-04-18,245.59,249.38,236.86,238.08,20184
2011-04-19,237.81,239.83,234.43,237.77,16121
2011-04-20,239.44,247.91,239.44,246.82,21332
2011-04-21,248.29,248.29,243.81,245.99,16475
2011-04-25,245.16,248.32,244.82,245.87,12286
2011-04-26,245.76,250.77,241.94,249.66,22173
2011-04-27,249.13,251.5,246.6,247.22,18174
2011-04-28,248.14,249.22,243.64,243.84,18064
2011-04-29,242.37,243.32,238.9,241.53,11252
2011-05-02,243.39,243.99,239.55,241.74,11686
2011-05-03,240.51,241.57,227.02,229.16,18977
2011-05-04,229.93,232.65,224.91,229,18095
2011-05-05,228.16,231.85,223.7,224.76,13885
2011-05-06,226.37,238.4,226.37,236.65,24053
2011-05-09,236.46,236.46,230.55,232.51,13215
2011-05-10,231.9,236.92,229.93,233.26,18345
2011-05-11,233.5,239.12,232.11,238.39,15566
2011-05-12,236.46,240.8,233.51,234.32,20987
