Dates,Open,High,Low,Close,Volume
2013-07-26,96.87,96.87,96.87,96.87,0
2013-07-29,93.9,93.9,93.9,93.9,0
2013-07-30,94.17,94.17,94.17,94.17,0
2013-07-31,87.23,87.23,87.23,87.23,0
2013-08-01,85.43,85.43,85.43,85.43,0
2013-08-02,85.5,85.5,85.5,85.5,0
2013-08-05,87.2,87.2,87.2,87.2,0
2013-08-06,88.33,88.33,88.33,88.33,0
2013-08-07,86.57,86.57,86.57,86.57,0
2013-08-08,93.63,93.63,93.63,93.63,0
2013-08-12,98.3,98.3,98.3,98.3,0
2013-08-13,101.03,101.03,101.03,101.03,0
2013-08-14,103.47,103.47,103.47,103.47,0
2013-08-16,97.87,97.87,97.87,97.87,0
2013-08-19,100.53,100.53,100.53,100.53,0
2013-08-20,98.23,98.23,98.23,98.23,0
2013-08-21,94.6,94.6,94.6,94.6,0
2013-08-22,98,98,98,99.3,3
2013-08-23,98.2,98.2,98.2,98.2,0
2013-08-26,96,97.33,96,98.33,2
2013-08-27,96,96,96,96.83,1
2013-08-28,94.93,95.43,94.93,95.2,2
2013-08-29,95.37,95.57,91.27,93.7,16
2013-08-30,91,91,91,90.7,1
2013-09-02,92.27,92.33,91.43,92.4,10
2013-09-03,91.97,91.97,91.4,89.7,3
2013-09-04,91.13,91.13,90.97,91.07,2
2013-09-05,90.67,91.03,90.67,91.73,2
2013-09-06,91.6,93.73,91.6,93.73,3
2013-09-10,92.07,92.07,92.07,92.07,0
2013-09-11,93.93,93.93,91.27,91.07,8
2013-09-12,90.47,91.93,90.27,90.43,14
2013-09-13,90.4,92.03,90.4,91.1,12
2013-09-16,92.2,92.2,90,90.63,15
2013-09-17,89.33,90.4,89.33,90.4,15
2013-09-18,89.67,92.6,89.37,92.17,41
2013-09-19,93.8,97.67,93,96.93,153
2013-09-20,97.33,98.07,94.67,97.6,115
2013-09-23,96.5,96.67,93.33,93.83,519
2013-09-24,94.5,96.6,94.2,96.13,1465
2013-09-25,96,96.1,93.1,95.47,1647
2013-09-26,95.2,98.67,94.07,97.57,1463
