Dates,Open,High,Low,Close,Volume
2010-12-31,1108.6,1108.6,1108.6,1108.6,0
2011-01-03,1111.2,1111.2,1111.2,1111.2,0
2011-01-04,1113.65,1113.65,1113.65,1113.65,0
2011-01-05,1095.4,1095.4,1095.4,1095.4,0
2011-01-06,1032.05,1032.05,1032.05,1032.05,0
2011-01-07,1007.9,1007.9,1007.9,1007.9,0
2011-01-10,1015.3,1015.3,1015.3,1015.3,0
2011-01-11,1033.6,1033.6,1033.6,1033.6,0
2011-01-12,1027.35,1027.35,1027.35,1027.35,0
2011-01-13,1058.75,1058.75,1058.75,1058.75,0
2011-01-14,1040.3,1040.3,1040.3,1040.3,0
2011-01-17,1029.45,1029.45,1029.45,1029.45,0
2011-01-18,1037.75,1037.75,1037.75,1037.75,0
2011-01-19,1032.7,1032.7,1032.7,1032.7,0
2011-01-20,1052.15,1052.15,1052.15,1052.15,0
2011-01-21,1042,1042,1042,1042,0
2011-01-24,1034.85,1034.85,1034.85,1034.85,0
2011-01-25,1040.15,1040.15,1040.15,1040.15,0
2011-01-27,1093.35,1093.35,1093.35,1020.95,16
2011-01-28,1093.35,1093.35,1093.35,1013.6,51
2011-01-31,1093.35,1093.35,1093.35,1018,4
2011-02-01,1010.95,1010.95,1010.95,1010.95,0
2011-02-02,992,1004.7,992,1004.7,11
2011-02-03,992,992,992,1019.75,4
2011-02-04,1019.5,1021,1005,1007.3,245
2011-02-07,1011,1016.05,1010.5,1006.9,77
2011-02-08,983,986.5,945.55,951.2,281
2011-02-09,940,940,916.45,908.9,192
2011-02-10,912.05,913,908.1,928.85,5
2011-02-11,917,922.15,917,922.15,10
2011-02-14,946.25,950.9,939.95,945.7,17
2011-02-15,942.3,955.95,940.55,955.95,9
2011-02-16,940,942,938.55,949,9
2011-02-17,942.2,953.95,942.2,950.25,19
2011-02-18,971,975,944,947.35,42
2011-02-21,951,971.4,941.25,968.4,118
2011-02-22,962.5,970.75,940,960.55,694
2011-02-23,947.55,977.9,945,969.7,1609
2011-02-24,960,976,956.1,970.75,1132
2011-02-25,973.9,983.9,960,963.6,635
2011-02-28,960.55,973.1,924,932.4,267
2011-03-01,938,966,925.65,958.8,374
2011-03-03,958,988.6,958,982.5,508
2011-03-04,982.1,1019,974,1013.2,576
2011-03-07,1010,1024,995,1012.1,438
2011-03-08,1022,1034.4,1017,1029.25,451
2011-03-09,1027,1034,1016.15,1024.7,283
2011-03-10,1028,1030.8,1017,1023.1,298
2011-03-11,1023,1025.7,1007.85,1019.6,638
2011-03-14,1017,1040,1010,1036,326
2011-03-15,1012,1035,1012,1023.8,271
2011-03-16,1025,1037.6,1021,1034.55,599
2011-03-17,1025,1031.95,1020.95,1027.8,244
2011-03-18,1029,1053.8,1023,1040.3,470
2011-03-21,1043,1043,1005.55,1021.9,504
2011-03-22,1023.5,1036,1015,1029,219
2011-03-23,1018.75,1035,1018.75,1028.45,176
2011-03-24,1033,1042.9,1029,1037.2,248
2011-03-25,1046,1060.9,1044.5,1053.85,361
2011-03-28,1058,1076.4,1056,1072.9,773
2011-03-29,1073.2,1100.9,1065,1094.05,670
2011-03-30,1103.8,1144.95,1096.1,1134.3,2118
