Dates,Open,High,Low,Close,Volume
2015-02-27,221.9,221.9,221.9,221.9,0
2015-02-28,224.95,224.95,220.25,222.1,5
2015-03-02,222,222,222,222.8,1
2015-03-03,226.65,226.65,226.65,226.65,0
2015-03-04,221.65,221.65,215.65,215,304
2015-03-05,214.2,215.8,214.2,214.3,3
2015-03-09,209,209,209,202.9,1
2015-03-10,201.7,201.7,198,201.3,2
2015-03-11,199,199,198,196.3,3
2015-03-12,205,205,205,205,1
2015-03-13,206,206,206,199.45,1
2015-03-16,194.4,194.4,190,190,7
2015-03-17,196.15,197.9,191.35,197.8,315
2015-03-18,197,197,197,197,1
2015-03-19,199.5,199.5,195,195,11
2015-03-20,193,193,191.85,190.9,4
2015-03-23,189,195.05,189,193.95,2
2015-03-24,194.2,197,194.2,196.9,4
2015-03-25,195.25,200,195.2,200,5
2015-03-26,197.85,197.85,191.55,191.95,86
2015-03-27,193.5,195.65,187,191.7,80
2015-03-30,192.5,194,188.95,192.1,38
2015-03-31,194.3,197.9,191.3,191.9,72
2015-04-01,194.15,194.15,190.1,192.95,90
2015-04-06,192.6,193.65,190,193.4,32
2015-04-07,192.65,200.5,192,199.95,63
2015-04-08,196.6,197.25,195,196.1,66
2015-04-09,197.6,198,194.35,197.05,136
2015-04-10,198.55,205,197.85,203.9,344
2015-04-13,203.15,204.05,200.05,202.4,132
2015-04-15,203,210.5,201.85,207.5,232
2015-04-16,209.85,209.85,202.5,205.55,380
2015-04-17,205,214.7,205,212.15,406
2015-04-20,211.55,212,208,209.3,356
2015-04-21,212.25,218.75,206.15,213.25,502
2015-04-22,212.65,213.8,208,213.15,613
2015-04-23,213.15,217.9,212,213.45,543
2015-04-24,210.05,214.5,205.3,206.55,1051
2015-04-27,208.55,212.65,206.05,211.15,3587
2015-04-28,209,215.95,207.65,213.4,5833
2015-04-29,210.7,210.8,204.15,208.35,6868
2015-04-30,205.8,212.95,203,211.3,9611
2015-05-04,213.5,216.75,210.6,214,5437
2015-05-05,212,229.5,211.45,227.65,15609
2015-05-06,226.05,230.4,217.1,221.1,10595
2015-05-07,220,224.8,216.8,219.55,3698
2015-05-08,221.7,222.95,215.3,219.1,3494
2015-05-11,222.3,234.7,218.9,231.05,9274
2015-05-12,229.35,230.65,217.6,218.55,6781
2015-05-13,220.85,221.85,210.55,218.45,11206
2015-05-14,216,217.8,212.6,214.85,5464
2015-05-15,214.75,217.8,208.4,210.3,4816
2015-05-18,208.9,213.55,206.6,211.7,4262
2015-05-19,210.05,219.6,210.05,214.9,7005
2015-05-20,214,216.8,213.9,215.8,3363
2015-05-21,216,216.75,207.35,208.65,5137
2015-05-22,208.15,208.5,205.35,206.3,5532
2015-05-25,205.2,205.2,199.1,199.65,7372
2015-05-26,201.85,202.9,194.55,195.2,8645
2015-05-27,193.4,194.9,190.7,192,12559
2015-05-28,193.65,198.2,191.55,196.75,7776
2015-05-29,196.45,201.8,194,198.15,16526
2015-06-01,198.9,202.8,197.05,198.5,4670
2015-06-02,199.65,199.65,194.3,195.4,4417
2015-06-03,196.25,196.3,185.55,189.2,4964
2015-06-04,189.5,191.5,180.6,184.7,7101
2015-06-05,183.25,187.7,182.15,183.6,5592
2015-06-08,183.7,185.15,176.55,177.85,5148
2015-06-09,178,184.95,177.4,183.3,8142
2015-06-10,182.5,188.6,180.05,185.75,9466
2015-06-11,186.7,190.95,182.2,188.3,12286
2015-06-12,188,188,182.3,184.6,7139
2015-06-15,189.2,189.2,180.8,181.95,13887
2015-06-16,181.7,182.4,176.25,179.1,6088
2015-06-17,178.55,178.6,172.55,173.2,9359
2015-06-18,173.25,175.6,172.75,173.55,4103
2015-06-19,175.8,177.4,171.2,175.35,8298
2015-06-22,177.2,178.2,175.4,176.9,7404
2015-06-23,177.1,179.6,175.15,176.7,10752
2015-06-24,177.45,179.3,175.25,176.15,8741
2015-06-25,176.2,182.25,175.3,179.6,14862
2015-06-26,177.5,178.35,172.75,173.2,2965
2015-06-29,170,172.15,167.85,171.1,3433
2015-06-30,171.55,173.25,168.65,172.35,3238
2015-07-01,173.5,175.7,171.3,174.45,2332
2015-07-02,174.1,174.45,171,172.05,2962
2015-07-03,172.35,173.1,168.5,168.95,2178
2015-07-06,164.8,167.5,160,163.9,5607
2015-07-07,163.25,163.55,159.1,159.4,3780
2015-07-08,155.2,156,140.85,146.6,21345
2015-07-09,145.35,147.55,138.65,139.6,10786
2015-07-10,140.85,147.5,140.55,146.9,8705
2015-07-13,145.15,149.55,143.25,148.3,6966
2015-07-14,148.45,148.8,145.5,145.85,2574
2015-07-15,146.3,147.55,145.2,145.85,2581
2015-07-16,146.4,146.8,143.6,144.3,2581
2015-07-17,144.7,147.6,143.1,146,3285
2015-07-20,146.05,146.9,143.2,143.6,1940
2015-07-21,141.65,142.2,136.25,136.75,5152
2015-07-22,135,137.8,130.2,136.6,8928
2015-07-23,133.4,139.2,131.75,135.85,7169
2015-07-24,134.05,135.9,132.25,132.8,3067
2015-07-27,132.4,133.6,128.1,128.85,4795
2015-07-28,129.15,129.85,126.7,128.7,7209
2015-07-29,130.8,136.9,127.05,130.4,12555
2015-07-30,131.8,132.4,129.05,129.85,10573
2015-07-31,132.05,133.6,130.2,130.95,3361
2015-08-03,129.45,130.9,127.25,127.65,3034
2015-08-04,127,129.2,124.55,128.35,5224
2015-08-05,128.9,131.85,127.8,128.3,3843
2015-08-06,128.5,130.35,126.85,127.3,3131
2015-08-07,130.3,132.1,129.05,130,6314
2015-08-10,131.45,131.45,126.9,128.2,3967
2015-08-11,130.25,131.3,123.15,124.05,5286
2015-08-12,124.25,124.25,113.7,114.45,8756
2015-08-13,115,117.05,99.25,103.75,16637
2015-08-14,104.1,108.7,101.4,107.6,9131
2015-08-17,107.6,107.6,102.35,105.4,5943
2015-08-18,106.05,107.9,102.4,102.95,7052
2015-08-19,102.4,105.2,101.1,102.75,3622
2015-08-20,102.1,102.9,95.9,98.7,8867
2015-08-21,96.1,97.05,93.1,95.1,8290
2015-08-24,90.05,90.85,78.85,80.9,11016
2015-08-25,83.95,87.1,76.7,86.2,12690
2015-08-26,85.05,88.1,82.55,85.65,13027
2015-08-27,87.8,92.1,86.25,91.15,16363
2015-08-28,95.95,99.4,94.2,96.8,8798
2015-08-31,96.65,100.35,92.9,98.85,6898
2015-09-01,96.45,98.75,94.3,95,5415
2015-09-02,95.15,95.9,92.6,94.3,3680
2015-09-03,94.35,100.4,94.35,98.6,4655
2015-09-04,97.2,97.2,92.65,93.75,3900
2015-09-07,94.55,95.75,89.65,90.25,2952
2015-09-08,90.6,94.8,87.95,93.95,5253
2015-09-09,96,102.3,95.95,100.35,9276
2015-09-10,96,100.5,95,99.9,6143
2015-09-11,100.45,102.7,96.6,97.3,4731
2015-09-14,97.85,101.65,96.2,101.25,5858
2015-09-15,100.1,100.75,96.5,96.85,4371
2015-09-16,99.45,100.9,97.35,98.9,4348
2015-09-18,101.5,101.9,97.7,99.3,9007
2015-09-21,98.5,99.85,97,98.7,6260
2015-09-22,99.1,100,91.65,92.25,9753
2015-09-23,90,95.45,88.9,94.9,10522
2015-09-24,93.9,95.85,92.4,95.6,10406
2015-09-28,96,96.3,91.15,91.45,4417
2015-09-29,89.3,89.3,85.25,86.8,7914
2015-09-30,88.25,88.65,83.8,85.35,9837
2015-10-01,86.05,86.85,83.1,83.9,5281
2015-10-05,84.25,85.7,83.2,85.05,9952
2015-10-06,86,87.6,84.5,86.2,10931
2015-10-07,86.5,92.6,85.85,91.25,21323
2015-10-08,92.6,94.1,89.4,93.15,13991
2015-10-09,94.9,105,94.6,104.15,36206
2015-10-12,106.3,116,105.15,111.3,30338
2015-10-13,109.4,109.8,106.3,108.15,14020
2015-10-14,107.8,112.65,106.85,108.05,12658
2015-10-15,109.6,111.3,106.25,109.45,11268
2015-10-16,109.1,111.1,107.15,108.9,6361
2015-10-19,109.15,112.45,107.8,108.25,8455
2015-10-20,108.25,108.25,100.4,101.3,15552
2015-10-21,99.9,106.2,99.3,105.5,17550
2015-10-23,107.45,107.65,101.8,102.35,12777
2015-10-26,103.75,105.9,102.4,104.7,10317
2015-10-27,102.65,106.6,102,104.8,23527
2015-10-28,102.85,107.2,101.55,105.15,18637
2015-10-29,105.8,107.3,105.35,107.1,12243
2015-10-30,104.5,106.3,99.65,100.35,7334
2015-11-02,100.5,101.15,96.55,97.45,3032
2015-11-03,98.55,101.5,97.8,98.95,4574
2015-11-04,100.2,101.3,98.7,99.1,2516
2015-11-05,98.9,98.95,94.05,94.45,3627
2015-11-06,93.75,95.95,91.3,92.7,4745
2015-11-09,88.25,95.2,87.6,93.9,4281
2015-11-10,93.15,93.65,90.05,90.45,2900
2015-11-11,91.95,91.95,90.85,91.1,307
2015-11-13,90.2,91.15,87.15,87.7,4640
2015-11-16,87,90.95,86.15,90.05,4994
2015-11-17,91.15,93.3,90.5,92.45,4980
2015-11-18,91.45,91.85,88.9,89.35,3791
2015-11-19,90.4,92.4,89.5,92.05,3681
2015-11-20,91.95,94.8,91.25,93.25,6217
2015-11-23,92.75,92.8,89.5,90.55,6623
2015-11-24,90.4,91.6,89.6,90.35,6230
2015-11-26,90.95,91.75,90.15,90.25,6986
2015-11-27,91.15,94.45,90.45,92.55,5100
2015-11-30,91.7,92.85,90.1,90.5,3299
2015-12-01,92,95.35,91.7,94.95,6300
2015-12-02,96.4,96.8,94.35,94.75,4213
2015-12-03,94.15,94.15,92,92.55,4341
2015-12-04,91.2,93.6,91.05,92.15,2702
2015-12-07,93.4,93.6,91.3,91.75,3006
2015-12-08,90.7,90.7,86.8,87.35,4692
2015-12-09,85.95,86.55,81.75,82.65,5681
2015-12-10,83,84.6,81.65,83.65,3856
2015-12-11,83.9,85.2,82.55,83.85,3883
2015-12-14,83.05,85.7,82.4,84.75,4191
2015-12-15,84.7,85.45,82.8,84,3473
2015-12-16,84.85,85.6,83.6,84.35,2820
2015-12-17,92.75,92.75,84.6,87.55,5638
2015-12-18,86.4,86.8,84.4,84.7,4037
2015-12-21,84.7,87.25,84.3,86.65,3531
2015-12-22,86.8,88.45,85.5,86.05,3744
2015-12-23,87.5,89.8,87.4,89.55,5816
2015-12-24,91.05,92.5,90.5,92.05,6756
2015-12-28,92.65,93.1,90.45,91.75,6058
2015-12-29,91.85,93.6,90.55,92.05,6963
2015-12-30,92.6,93.5,91.55,92,6817
2015-12-31,92.2,92.35,90.15,90.4,6320
2016-01-01,91.25,92.6,90.5,92.25,2201
2016-01-04,92,94.1,88.3,89.2,6131
2016-01-05,90.15,94.45,89.3,92.9,7657
2016-01-06,92.45,92.75,88.65,89.1,4214
2016-01-07,87.15,87.15,80.35,81.4,8717
2016-01-08,81.35,82.9,79.25,81.2,6928
2016-01-11,78.5,86.8,77,85.35,15338
2016-01-12,85.2,87.25,82.8,84.6,7187
2016-01-13,85,86.15,78.7,81.35,8941
2016-01-14,79.1,82.8,77.8,79.65,8130
2016-01-15,80.35,81.15,71.9,72.85,7902
2016-01-18,71.85,74.4,67.85,68.85,8334
2016-01-19,69.35,71.35,67.5,69.5,8646
2016-01-20,67.6,67.6,63.3,64.2,9733
2016-01-21,66.2,66.2,62.25,62.65,8095
2016-01-22,64.5,66.85,63.25,65,11171
2016-01-25,66.2,66.95,64.35,64.55,9283
2016-01-27,65,66.15,63.7,63.9,13365
2016-01-28,64.4,67.5,63.75,67.3,14601
