Dates,Open,High,Low,Close,Volume
2010-12-31,168,168,168,168,0
2011-01-03,165.06,165.06,165.06,165.06,0
2011-01-04,165.59,165.59,165.59,165.59,0
2011-01-05,164.22,164.22,164.22,165.89,1
2011-01-06,166.08,166.08,166.08,166.08,0
2011-01-07,160.88,160.88,160.88,162.78,1
2011-01-10,158.5,158.5,158.5,158.5,0
2011-01-11,160.54,160.54,156.66,158.6,2
2011-01-12,157.61,157.61,156.86,159.49,4
2011-01-13,154.64,154.64,154.64,154.64,0
2011-01-14,157.86,157.86,157.86,157.86,0
2011-01-17,159,159,159,159,0
2011-01-18,162.97,162.97,162.97,162.97,0
2011-01-19,162.11,162.11,162.11,162.11,0
2011-01-20,162.55,162.55,162.55,162.55,0
2011-01-21,152.51,152.51,152.51,155.17,1
2011-01-24,150.16,150.19,149.67,149.74,5
2011-01-25,149.5,150.84,147.16,149.5,11
2011-01-27,149.62,149.65,148,149.07,13
2011-01-28,150.17,150.17,147.5,147.75,22
2011-01-31,144.49,149.3,144.49,148.75,44
2011-02-01,146.86,146.98,143.38,144.04,44
2011-02-02,144.92,147.5,144.92,147.16,12
2011-02-03,146.23,149.4,145.92,148.17,15
2011-02-04,147.68,148.85,145.64,146.43,29
2011-02-07,146.41,146.41,143.2,143.77,46
2011-02-08,144.75,144.77,141.81,143.27,51
2011-02-09,144.07,144.72,141.93,142.04,38
2011-02-10,142.75,142.75,140.46,140.82,24
2011-02-11,139.32,141.39,137.13,141.06,52
2011-02-14,145.84,145.84,141.54,143.3,47
2011-02-15,142.98,143.98,140.76,143.28,33
2011-02-16,144.02,147.3,142.21,146.34,177
2011-02-17,146.88,146.88,144.3,145.06,100
2011-02-18,146.11,148.4,144.82,145.27,258
2011-02-21,148.55,151.84,138.83,151.43,638
2011-02-22,155.86,178.7,146.34,149.25,2416
2011-02-23,148.5,149.8,146.06,146.76,3413
2011-02-24,145.49,148.18,142.43,143.98,3522
2011-02-25,144.82,146.61,142.5,145.71,2142
2011-02-28,145.52,151.51,145.49,146.96,3012
2011-03-01,148.37,149.97,145.29,149.45,2297
2011-03-03,147.83,149.99,146.29,149.17,2503
2011-03-04,150.57,152.01,147.83,148.42,1956
2011-03-07,146.61,150.77,146.53,150.06,2336
2011-03-08,150.51,151.93,149.29,150.98,1812
2011-03-09,151.18,152.05,148.65,151.19,1517
2011-03-10,150.52,152.31,149.24,152,2597
2011-03-11,150.66,152.68,149.84,150.49,2155
2011-03-14,150.51,153.78,149.57,153.3,1671
2011-03-15,150.54,151.78,147.6,148.2,2515
2011-03-16,148.92,150.34,148.23,149.82,1683
2011-03-17,148.67,149.84,148.17,148.57,1268
2011-03-18,149.15,149.72,145.49,147.05,2273
2011-03-21,148.23,148.73,144.85,145.27,1636
2011-03-22,146.11,146.93,144.99,145.51,1097
2011-03-23,145.49,147.56,144.55,146.89,1776
2011-03-24,147.25,149.4,146.94,147.93,2509
2011-03-25,149.02,154.12,148.95,153.45,3744
2011-03-28,153.67,155.52,151.84,155.01,2109
2011-03-29,155.02,156.88,154.74,155.56,2331
2011-03-30,155.96,158.83,155.86,158.18,2051
2011-03-31,157.92,161.44,156.23,160.61,3487
2011-04-01,160.54,161.49,158.35,160.39,1358
2011-04-04,160.62,164.54,160.62,162.18,4181
2011-04-05,162.6,163.03,158.85,161.74,3365
2011-04-06,162.31,162.46,154.87,156.46,4055
2011-04-07,155.86,158.78,154.27,158.45,2967
2011-04-08,157.71,158.2,153.95,156.43,2612
2011-04-11,156.08,156.19,153.62,154.72,1451
2011-04-13,154.19,159.49,153.07,158.92,2773
2011-04-15,158.5,158.5,149.97,150.59,5080
2011-04-18,151.03,152.88,148.58,149.04,3199
2011-04-19,148.3,151.64,147.43,150.99,1830
2011-04-20,151.84,156.16,151.84,155.54,2146
2011-04-21,155.84,158.33,154.02,154.74,3919
2011-04-25,154.74,156.86,154.52,155.86,1030
2011-04-26,155.59,156.43,151.84,155.42,4798
2011-04-27,150.49,152.33,148.93,150.81,7331
2011-04-28,151.73,151.94,148.67,149.37,3206
2011-04-29,149.85,151.44,149.02,150.64,1873
2011-05-02,150.91,151.84,148.82,150.66,1422
2011-05-03,149.52,151.01,145.07,146.19,2309
2011-05-04,147.16,147.66,143.28,146.18,2940
2011-05-05,145.19,146.69,142.86,144.57,3034
2011-05-06,145.86,151.14,145.39,148.05,2808
2011-05-09,147.75,147.86,145.86,146.46,1136
2011-05-10,145.97,148.3,144.99,146.03,1484
2011-05-11,147.01,148,145.99,146.71,1474
2011-05-12,146.38,147.4,144.49,144.9,1411
2011-05-13,145.16,149.5,144.85,147.96,2151
2011-05-16,147.83,148.77,145.64,146.96,1621
2011-05-17,150.51,150.51,145.62,146.88,1615
2011-05-18,147.11,150.51,146.93,149.24,2288
2011-05-19,149.89,149.92,147.16,147.81,1187
2011-05-20,148.77,150.01,145.86,149.39,1231
2011-05-23,147.26,147.88,145.82,147.15,2610
2011-05-24,146.66,148.92,146.66,147.33,1986
2011-05-25,147.38,147.61,143.48,145.11,3586
2011-05-26,145.96,147.16,144.82,145.46,3744
2011-05-27,144.15,148.1,144.15,146.88,1451
2011-05-30,147.2,148.43,147.03,147.35,717
2011-05-31,147.61,149.7,147.53,148.9,1577
2011-06-01,149.09,150.41,148.7,149.62,1296
2011-06-02,148.4,148.83,147.15,147.71,1374
2011-06-03,147.4,149.75,146.43,147.83,1527
2011-06-06,147.51,148.92,146.09,148.32,999
2011-06-07,147.81,147.96,146.66,146.99,2232
2011-06-08,147.66,147.66,145.87,146.96,1599
2011-06-09,147.75,147.75,145.02,146.09,1421
2011-06-10,146.16,146.99,144.4,145.24,1695
2011-06-13,145.37,146.08,144.2,145.14,1324
2011-06-14,145.97,146.63,145.32,145.62,1426
2011-06-15,145.89,145.89,140.04,140.76,2858
2011-06-16,140.16,140.57,137.48,137.86,2585
2011-06-17,137.8,138.95,135.72,136.19,2217
2011-06-20,136.11,136.79,127.13,133.43,3338
2011-06-21,134.17,134.62,131.51,133.77,2120
2011-06-22,134.12,136.11,133.3,134.35,1902
2011-06-23,134.57,136.66,134.12,135.76,1490
2011-06-24,136.43,141.14,136.18,140.72,2414
2011-06-27,139.77,141.98,139.42,140.37,1834
2011-06-28,140.14,140.64,136.89,139.15,2686
2011-06-29,140.26,141.66,139.97,140.76,2744
2011-06-30,140.49,142.08,137.8,139.67,2985
2011-07-01,141.81,142.63,140.59,142.18,1453
2011-07-04,143.07,143.28,141.93,142.6,1141
2011-07-05,142.66,144.69,142.46,143.87,1726
2011-07-06,143.27,144.35,141.68,141.99,1721
2011-07-07,141.18,145.16,140.99,144.67,2369
2011-07-08,145.16,146.09,143.65,144.45,2223
2011-07-11,143.47,143.73,139.65,140.64,1314
2011-07-12,137.88,139.42,136.28,138.57,3849
2011-07-13,138.47,138.98,137.21,138.42,1572
2011-07-14,137.46,139.14,136.98,137.61,2073
2011-07-15,138.7,139.47,137.46,138.8,1739
2011-07-18,137.8,139.27,137.3,138.27,1237
2011-07-19,138.32,139.8,137.26,138.85,3214
2011-07-20,139.8,139.8,132.36,133.73,7641
2011-07-21,132.96,134.9,131.81,134.14,2133
2011-07-22,135.09,136.39,134.67,135.97,2655
2011-07-25,135.96,137.93,133.85,137.51,1740
2011-07-26,137.41,137.93,135.52,137.2,3025
2011-07-27,137.01,137.3,134.47,134.75,2692
2011-07-28,133.18,133.43,130.94,132.11,4428
2011-07-29,131.96,134.22,130.22,130.76,1714
2011-08-01,131.84,133.05,130.07,131.83,1208
2011-08-02,131.18,131.18,128.25,128.88,1206
2011-08-03,127.66,129.39,126.09,128.03,1397
2011-08-04,127.48,128.85,125.54,125.94,1596
2011-08-05,121.53,124,120.1,123.2,3011
2011-08-08,133.83,133.83,113.16,120.02,4312
2011-08-09,114.27,118.05,113.7,116.64,3545
2011-08-10,118.93,119.99,117.26,119.07,2123
2011-08-11,116.84,119.57,116.84,118.37,2421
2011-08-12,118.9,119.79,112.78,114.75,2899
2011-08-16,115.71,116.64,113.11,113.82,1028
2011-08-17,113.77,118.3,113.77,115.64,2751
2011-08-18,115.51,115.72,108.95,109.79,4176
2011-08-19,107.46,109.8,104.02,107.28,3821
2011-08-22,106.76,112.91,105.66,111.46,3138
2011-08-23,111.73,113.38,107.78,111.73,3465
2011-08-24,111.16,111.61,109.18,110.15,3619
2011-08-25,110.39,111.02,109.1,109.77,4466
2011-08-26,110.27,111.04,105.87,107.24,1671
2011-08-29,109.02,112.55,108.87,110.57,2626
2011-08-30,112.38,113.05,109.07,112.16,3051
2011-09-02,114.8,116.53,109.72,111.83,2302
2011-09-05,110.59,111.43,106.88,107.51,3982
2011-09-06,106.36,110.29,104.3,108.75,3650
2011-09-07,110.71,110.87,108.95,110.15,3185
2011-09-08,111.02,114.92,110.44,112.98,2839
2011-09-09,113.65,114.22,111.16,112.86,2483
2011-09-12,109.7,111.29,108.1,108.65,2922
2011-09-13,109.89,111.58,107.13,109.75,2629
2011-09-14,111.04,115.87,108.83,114.82,3490
2011-09-15,116.11,117.48,113.25,116.49,3163
2011-09-16,116.51,118.4,113.05,113.62,2222
2011-09-19,112.48,115.07,112.48,114.13,1915
2011-09-20,114.25,119.02,114.25,117.83,3714
2011-09-21,117.88,120.47,117.23,119.17,2505
2011-09-22,117.03,117.73,112.8,113.82,3474
2011-09-23,112.98,116.66,112.04,113.58,3150
2011-09-26,113.72,115.87,112.73,114.05,2584
2011-09-27,115.42,118.23,115.15,116.74,5211
2011-09-28,118.06,119.72,115.12,116.02,4707
2011-09-29,116.01,116.96,114.32,116.26,2270
2011-09-30,116.41,118.23,112.46,114.27,2015
2011-10-03,111.78,112.06,108.7,111.07,2653
2011-10-04,109.79,113.38,109.39,112.34,3083
2011-10-05,113.23,114.7,109.7,110.15,2708
2011-10-07,114.05,115.89,110.74,112.03,3165
2011-10-10,112.71,117.48,112.21,117.08,1912
2011-10-11,118.73,118.73,113.63,114.3,2369
2011-10-12,116.58,120.07,116.58,117.75,3831
2011-10-13,118.26,119.18,116.73,117.04,1786
2011-10-14,117.04,122.35,116.54,121.88,2223
2011-10-17,122.16,122.66,118.95,119.49,2343
2011-10-18,117.68,117.78,114.92,115.99,1958
2011-10-19,116.73,119.99,116.29,119.54,2001
2011-10-20,118,118.98,115.97,118.7,1787
2011-10-21,118.58,119.74,117.4,118.5,2884
2011-10-24,120,122.4,119.07,119.89,2324
2011-10-25,121.04,126.63,118.5,124.47,3502
2011-10-26,124.95,126.43,123.83,124.29,559
2011-10-28,127.73,132.38,123.48,125.52,2874
2011-10-31,125.67,129.3,122.23,123.52,4305
2011-11-01,122.41,126.39,122.41,125.57,2500
2011-11-02,124.29,126.59,122.86,125.72,2819
2011-11-03,125.1,125.59,123.08,124.69,1772
2011-11-04,125.76,126.39,123.28,124.9,1549
2011-11-08,124.74,125.54,123.83,124.24,665
2011-11-09,124.45,127.71,124.17,126.21,2290
2011-11-11,125.05,129.77,124.47,127.75,4009
2011-11-14,128.77,130.41,128.77,129.5,2001
2011-11-15,128.95,129.44,128.06,128.42,1471
2011-11-16,126.76,128.43,123.32,124.99,3220
2011-11-17,124.85,126.43,121.41,122.83,2559
2011-11-18,122.18,126.76,120.25,125.34,3021
2011-11-21,123.77,125.26,122.24,123.83,2763
2011-11-22,124.05,126.99,123.27,126.38,4038
2011-11-23,124.44,125.51,120.77,122.28,3805
2011-11-24,122.58,124.65,120.97,123.97,5404
2011-11-25,123.15,124.77,122.13,123.68,2439
2011-11-28,125.09,126.43,124.29,125.36,1520
2011-11-29,125.47,126.74,124.5,125.94,2421
2011-11-30,126.01,128.1,124.92,127.04,2811
2011-12-01,129.49,132.36,128.53,130.1,2676
2011-12-02,129.44,134.77,128.43,132.7,3035
2011-12-05,131.53,133.62,130.27,131.76,2257
2011-12-07,131.28,136.69,130.61,136.13,3251
2011-12-08,134.82,139.4,133.92,138.57,4709
2011-12-09,136.79,138.4,134.79,135.69,4502
2011-12-12,136.46,140.62,134.97,138.97,4266
2011-12-13,138.5,141.29,136.13,138.7,4062
2011-12-14,138.57,140,137.2,139,2843
2011-12-15,138.13,139.62,134.52,136.01,5058
2011-12-16,135.09,136.31,132.85,134.72,4126
2011-12-19,133.87,135.52,131.29,135.12,2705
2011-12-20,134.62,136.06,131.34,132.43,2873
2011-12-21,134.45,137.6,131.56,136.38,3385
2011-12-22,133.78,135.17,132.33,133.37,2840
2011-12-23,133.77,136.88,132.45,135.96,2561
2011-12-26,135.96,138.17,135.14,136.49,2655
2011-12-27,136.56,138.12,134.79,136.01,3605
2011-12-28,136.79,137.11,132.45,133.18,4046
2011-12-29,132.78,133.92,131.94,133.23,3315
2011-12-30,133.3,135.29,133.11,134.25,830
2012-01-02,133.8,135.1,132.95,134.17,703
2012-01-03,134.95,140.34,134.95,139.87,1447
2012-01-04,140.44,142.53,139.47,140.05,1420
2012-01-05,139.95,141.81,138,138.88,1399
2012-01-06,138.37,138.37,135.54,136.34,1861
2012-01-07,136.33,137.09,136.18,136.43,104
2012-01-09,135.66,136.94,134.62,134.95,1185
2012-01-10,135.66,136.79,134.79,135.34,1590
2012-01-11,135.14,136.26,133.33,134.17,2048
2012-01-12,130.12,132.86,128.03,131.09,3054
2012-01-13,131.98,134.7,130.47,133.6,1896
2012-01-16,133.08,136.73,132.95,136.33,1318
2012-01-17,137.76,140.09,137.51,138.62,1871
2012-01-18,137.16,137.46,134.15,134.87,1432
2012-01-19,135.56,135.99,133.18,134.99,1483
2012-01-20,138.03,141.84,136.89,138.28,5327
2012-01-23,138.2,140.51,138,139.07,2213
2012-01-24,139.19,141.29,139,140.29,2643
2012-01-25,140.81,141.49,139.3,140.32,2128
2012-01-27,141.16,141.76,139.84,140.89,1164
2012-01-30,140.14,142.15,137.7,138.25,1206
2012-01-31,138.55,139.97,138.22,139.49,1123
2012-02-01,139.22,140.05,138.13,139,926
2012-02-02,139.39,144.24,139.02,143.33,2579
2012-02-03,143.75,144.15,141.83,143.7,1311
2012-02-06,143.9,145.11,141.89,143.4,1038
2012-02-07,143.33,144.95,143.32,143.85,774
2012-02-08,145.02,147.66,144,146.33,1895
