BloomCode,Sector,Weight
RIL IS Equity,Energy,0.15
HDFCB IS Equity,Financials,0.08
INFO IS Equity,Information Technology,0.07
HDFC IS Equity,Financials,0.07
ICICIBC IS Equity,Financials,0.06
TCS IS Equity,Information Technology,0.06
KMB IS Equity,Financials,0.06
HUVR IS Equity,Consumer Staples,0.05
ITC IS Equity,Consumer Staples,0.04
BHARTI IS Equity,Communication Services,0.04
LT IS Equity,Industrials,0.04
HDFCLIFE IS Equity,Financials,0.06
MSIL IS Equity,Consumer Discretionary,0.05
TATA IS Equity,Materials,0.06
CIPLA IS Equity,Health Care,0.04
DRRD IS Equity,Health Care,0.04
NTPC IS Equity,Utilities,0.03
