BloomCode,Sector,Nifty_weights,BankNifty_weights,Standard_deviation,Mean,PAYS_Nifty_weights,PAYS_BankNifty_weights
HDFCB IS Equity,Banks,0.1121,0.2839,0.078333197,0.019634012,0.08,0.39
RIL IS Equity,Petroleum Products,0.1117,0,0.095609612,0.019828142,0.15,0
HDFC IS Equity,Finance,0.0723,0,0.084137786,0.02050399,0.07,0.05
INFO IS Equity,Software,0.0721,0,0.09714242,0.013974306,0.07,0
ICICIBC IS Equity,Banks,0.0584,0.1948,0.127139144,0.019279311,0.06,0.2
TCS IS Equity,Software,0.0504,0,0.078145644,0.018903375,0.06,0
KMB IS Equity,Banks,0.05,0.1631,0.132864618,0.029402533,0.06,0.17
HUVR IS Equity,Consumer Non Durables,0.0342,0,0.074550833,0.011459005,0.05,0
ITC IS Equity,Consumer Non Durables,0.0303,0,0.074978927,0.012943588,0.04,0
AXSB IS equity,Banks,0.0267,0.1495,0.130083552,0.026727643,0,0.09
LT IS Equity,Construction Project,0.0245,0,0.118535729,0.018029823,0.04,0
BAF IS Equity,Finance,0.0233,0,0.126913837,0.037948635,0,0
BHARTI IS Equity,Telecom - Services,0.0199,0,0.097633699,0.019015577,0.04,0
APNT IS Equity,Consumer Non Durables,0.0179,0,0.07152508,0.021700854,0,0
SBIN IS Equity,Banks,0.0168,0.0956,0.110573026,0.015513098,0,0.06
MSIL IS Equity,Auto,0.0167,0,0.106464127,0.023362961,0.05,0
HCLT IS Equity,Software,0.016,0,0.113805301,0.01418821,0,0
MM iS Equity,Auto,0.0124,0,0.118676587,0.016853167,0,0
NESTLE IS Equity,Consumer Non Durables,0.0114,0,0.067785763,0.017543565,0,0
DRRD IS Equity,Pharmaceuticals,0.0105,0,0.08880808,0.014553117,0.04,0
TTAN IS Equity,Consumer Durables,0.0102,0,0.131103682,0.029790797,0,0
SUNP IS Equity,Pharmaceuticals,0.0099,0,0.094152317,0.018699812,0,0
UTCEM IS Equity,Cement,0.0099,0,0.103294469,0.020245117,0,0
TECHM IS Equity,Software,0.0097,0,0.130941433,0.019366416,0,0
BJFIN IS Equity,Finance,0.0095,0,0.153478325,0.030534891,0,0
WPRO IS Equity,Software,0.0093,0,0.122667351,0.011441631,0,0
HDFCLIFE IS Equity,Finance,0.0091,0,0.085111954,0.019199641,0.06,0
PWGR IS Equity,Power,0.0088,0,0.069927455,0.004080931,0,0
IIB IS Equity,Banks,0.0087,0.0437,0.146200481,0.0236018,0,0.05
DIVI IS Equity,Pharmaceuticals,0.0082,0,0.123599835,0.035053321,0,0
NTPC IS Equity,Power,0.0082,0,0.078554642,0.004923929,0.03,0
TATA IS Equity,Ferrous Metals,0.0078,0,0.138137084,0.01740453,0.06,0
BRIT IS Equity,Consumer Non Durables,0.0077,0,0.077909336,0.018597939,0,0
BJAUT IS Equity,Auto,0.0074,0,0.104047068,0.021460803,0,0
HMCL IS Equity,Auto,0.0072,0,0.089248946,0.014333562,0,0
CIPLA IS Equity,Pharmaceuticals,0.0068,0,0.088375091,0.012093851,0.04,0
EIM IS Equity,Auto,0.0063,0,0.131362921,0.033138352,0,0
GRASIM IS Equity,Cement,0.0062,0,0.102864446,0.017179106,0,0
JSTL IS Equity,Ferrous Metals,0.0062,0,0.164092578,0.026114509,0,0
HNDL IS Equity,Non - Ferrous Metals,0.0059,0,0.125315357,0.012765688,0,0
SBILIFE IS Equity,Finance,0.0059,0,0.090265279,0.009394101,0,0
SRCM IS Equity,Cement,0.0058,0,0.131277214,0.033696947,0,0
TTMT IS Equity,Auto,0.0058,0,0.142142702,0.016845854,0,0
ADSEZ IS Equity,Transportation,0.0054,0,0.12395481,0.012821446,0,0
BPCL IS Equity,Petroleum Products,0.0054,0,0.122180112,0.017533146,0,0
ONGC IS Equity,Oil,0.0051,0,0.105945352,0.010283327,0,0
COAL IS Equity,Minerals/Mining,0.0047,0,0.07442539,-0.004932044,0,0
UPLL IS Equity,Pesticides,0.0041,0,0.816663967,0.07845011,0,0
IOCL IS Equity,Petroleum Products,0.0038,0,0.114366999,0.011933644,0,0
GAIL IS Equity,Gas,0.0034,0,0.097165166,0.013600738,0,0
BANDHAN IS Equity,Banks,0,0.0258,0.198795444,0.012930603,0,0
BOB IS Equity,Banks,0,0.0066,0.131313466,0.01411929,0,0
FB IS Equity,Banks,0,0.0133,0.136219501,0.022129576,0,0
IDFCFB IS Equity,Banks,0,0.0085,0.124226398,8.91207E-05,0,0
PNB IS Equity,Banks,0,0.0046,0.146926818,0.016746038,0,0
RBK IS Equity,Banks,0,0.0106,0.153077204,0.00735438,0,0
