DATES,ACC=Z0 IS EQUITY
2020-10-27,1683.65
2020-10-28,1636.7
2020-10-29,1659.85
2020-10-30,1654.8
2020-11-02,1671.25
2020-11-03,1672.55
2020-11-04,1687.15
2020-11-05,1702.15
2020-11-06,1662.4
2020-11-09,1679.05
2020-11-10,1669.8
2020-11-11,1676.15
2020-11-12,1683.3
2020-11-13,1679.65
2020-11-14,1669.3
2020-11-17,1696.8
2020-11-18,1690.15
2020-11-19,1681.0
2020-11-20,1687.7
2020-11-23,1719.75
2020-11-24,1690.3
2020-11-25,1670.7
2020-11-26,1699.25
2020-11-27,1702.85
2020-12-01,1727.05
2020-12-02,1730.0
2020-12-03,1723.5
2020-12-04,1675.4
2020-12-07,1669.4
2020-12-08,1694.05
2020-12-09,1663.8
2020-12-10,1641.8
2020-12-11,1616.55
2020-12-14,1622.75
2020-12-15,1640.55
2020-12-16,1637.85
2020-12-17,1640.85
2020-12-18,1646.25
