DATES,ACEM=Z0 IS EQUITY
2020-10-27,257.15
2020-10-28,252.35
2020-10-29,255.85
2020-10-30,260.1
2020-11-02,261.25
2020-11-03,263.05
2020-11-04,266.1
2020-11-05,257.15
2020-11-06,249.55
2020-11-09,250.6
2020-11-10,251.4
2020-11-11,260.9
2020-11-12,263.75
2020-11-13,259.65
2020-11-14,259.6
2020-11-17,268.35
2020-11-18,263.5
2020-11-19,260.05
2020-11-20,258.85
2020-11-23,259.5
2020-11-24,256.25
2020-11-25,256.8
2020-11-26,261.65
2020-11-27,262.25
2020-12-01,262.9
2020-12-02,263.75
2020-12-03,262.8
2020-12-04,253.7
2020-12-07,254.2
2020-12-08,258.6
2020-12-09,253.7
2020-12-10,249.65
2020-12-11,247.15
2020-12-14,247.6
2020-12-15,248.6
2020-12-16,248.05
2020-12-17,247.75
2020-12-18,250.7
