DATES,ADE=Z0 IS EQUITY
2020-10-27,314.95
2020-10-28,321.25
2020-10-29,332.6
2020-10-30,339.4
2020-11-02,343.45
2020-11-03,348.1
2020-11-04,354.9
2020-11-05,356.25
2020-11-06,354.25
2020-11-09,359.75
2020-11-10,362.6
2020-11-11,363.55
2020-11-12,368.8
2020-11-13,370.65
2020-11-14,373.35
2020-11-17,396.35
2020-11-18,395.75
2020-11-19,387.8
2020-11-20,390.8
2020-11-23,409.2
2020-11-24,406.9
2020-11-25,400.45
2020-11-26,402.65
2020-11-27,401.1
2020-12-01,424.5
2020-12-02,455.4
2020-12-03,449.2
2020-12-04,448.0
2020-12-07,459.0
2020-12-08,453.85
2020-12-09,450.1
2020-12-10,449.7
2020-12-11,451.8
2020-12-14,456.75
2020-12-15,464.6
2020-12-16,465.25
2020-12-17,460.15
2020-12-18,456.25
