DATES,ADSEZ=Z0 IS EQUITY
2020-10-27,367.15
2020-10-28,356.65
2020-10-29,345.4
2020-10-30,361.15
2020-11-02,359.35
2020-11-03,356.05
2020-11-04,364.75
2020-11-05,372.5
2020-11-06,373.5
2020-11-09,369.9
2020-11-10,369.45
2020-11-11,374.35
2020-11-12,371.3
2020-11-13,368.5
2020-11-14,366.65
2020-11-17,382.4
2020-11-18,392.7
2020-11-19,383.5
2020-11-20,378.25
2020-11-23,377.15
2020-11-24,394.65
2020-11-25,401.65
2020-11-26,412.0
2020-11-27,413.7
2020-12-01,424.7
2020-12-02,439.35
2020-12-03,438.5
2020-12-04,456.7
2020-12-07,472.9
2020-12-08,465.95
2020-12-09,466.4
2020-12-10,473.55
2020-12-11,468.25
2020-12-14,469.35
2020-12-15,477.8
2020-12-16,477.6
2020-12-17,469.9
2020-12-18,466.8
