DATES,AFZ0 INDEX
2020-10-27,24756.5
2020-10-28,24238.5
2020-10-29,24125.85
2020-10-30,23952.85
2020-11-02,24950.35
2020-11-03,25686.95
2020-11-04,25813.0
2020-11-05,26316.5
2020-11-06,26769.55
2020-11-09,27548.55
2020-11-10,28657.05
2020-11-11,28842.9
2020-11-12,28348.3
2020-11-13,28536.3
2020-11-14,28607.5
2020-11-17,29172.05
2020-11-18,29779.9
2020-11-19,28944.65
2020-11-20,29266.7
2020-11-23,29011.3
2020-11-24,29706.9
2020-11-25,29238.8
2020-11-26,29589.55
2020-11-27,29667.2
2020-12-01,29892.2
2020-12-02,29603.0
2020-12-03,29542.2
2020-12-04,30190.95
2020-12-07,30290.55
2020-12-08,30314.0
2020-12-09,30763.65
2020-12-10,30621.75
2020-12-11,30609.25
2020-12-14,30788.4
2020-12-15,30706.6
2020-12-16,30770.5
2020-12-17,30844.4
2020-12-18,30810.0
