DATES,AL=Z0 IS EQUITY
2020-10-27,82.15
2020-10-28,80.3
2020-10-29,80.85
2020-10-30,79.4
2020-11-02,82.3
2020-11-03,84.25
2020-11-04,84.35
2020-11-05,85.85
2020-11-06,85.35
2020-11-09,84.7
2020-11-10,91.05
2020-11-11,89.8
2020-11-12,90.45
2020-11-13,91.25
2020-11-14,91.6
2020-11-17,92.15
2020-11-18,95.6
2020-11-19,95.05
2020-11-20,91.35
2020-11-23,91.7
2020-11-24,91.8
2020-11-25,90.0
2020-11-26,89.5
2020-11-27,92.6
2020-12-01,93.1
2020-12-02,93.8
2020-12-03,95.65
2020-12-04,95.25
2020-12-07,95.8
2020-12-08,94.9
2020-12-09,95.9
2020-12-10,95.45
2020-12-11,94.5
2020-12-14,95.65
2020-12-15,95.45
2020-12-16,100.5
2020-12-17,99.8
2020-12-18,98.7
