DATES,APNT=Z0 IS EQUITY
2020-10-27,2202.1
2020-10-28,2172.95
2020-10-29,2230.65
2020-10-30,2215.35
2020-11-02,2188.0
2020-11-03,2171.3
2020-11-04,2183.15
2020-11-05,2247.55
2020-11-06,2223.7
2020-11-09,2239.8
2020-11-10,2215.4
2020-11-11,2195.85
2020-11-12,2186.75
2020-11-13,2194.15
2020-11-14,2195.15
2020-11-17,2197.05
2020-11-18,2206.45
2020-11-19,2172.25
2020-11-20,2177.75
2020-11-23,2195.1
2020-11-24,2211.65
2020-11-25,2159.65
2020-11-26,2166.1
2020-11-27,2219.45
2020-12-01,2234.6
2020-12-02,2318.7
2020-12-03,2407.0
2020-12-04,2435.9
2020-12-07,2471.65
2020-12-08,2451.4
2020-12-09,2525.1
2020-12-10,2541.05
2020-12-11,2528.45
2020-12-14,2550.1
2020-12-15,2538.1
2020-12-16,2583.6
2020-12-17,2583.5
2020-12-18,2628.0
