DATES,ARBP=Z0 IS EQUITY
2020-10-27,800.15
2020-10-28,779.9
2020-10-29,770.45
2020-10-30,777.75
2020-11-02,763.65
2020-11-03,773.65
2020-11-04,784.3
2020-11-05,795.7
2020-11-06,783.7
2020-11-09,791.9
2020-11-10,763.1
2020-11-11,814.9
2020-11-12,845.0
2020-11-13,862.35
2020-11-14,856.7
2020-11-17,858.4
2020-11-18,839.6
2020-11-19,831.05
2020-11-20,834.6
2020-11-23,850.5
2020-11-24,884.2
2020-11-25,856.05
2020-11-26,873.35
2020-11-27,873.15
2020-12-01,900.4
2020-12-02,894.75
2020-12-03,903.15
2020-12-04,906.4
2020-12-07,914.65
2020-12-08,897.8
2020-12-09,890.45
2020-12-10,900.75
2020-12-11,897.85
2020-12-14,892.95
2020-12-15,878.2
2020-12-16,880.0
2020-12-17,873.4
2020-12-18,880.05
