DATES,AXSB IS 12/31/20 C620 EQUITY
2020-11-04,18.6
2020-11-05,22.35
2020-11-06,22.65
2020-11-09,29.6
2020-11-10,24.75
2020-11-11,35.65
2020-11-12,31.5
2020-11-13,34.6
2020-11-14,33.5
2020-11-17,44.5
2020-11-18,46.8
2020-11-19,33.75
2020-11-20,31.1
2020-11-23,25.1
2020-11-24,35.5
2020-11-25,26.2
2020-11-26,28.7
2020-11-27,22.4
2020-12-01,22.95
2020-12-02,24.2
2020-12-03,21.15
2020-12-04,25.95
2020-12-07,27.7
2020-12-08,27.7
2020-12-09,34.25
2020-12-10,28.6
2020-12-11,21.95
2020-12-14,22.0
2020-12-15,17.2
2020-12-16,15.95
2020-12-17,13.55
2020-12-18,13.5
