DATES,AXSB IS 12/31/20 P620 EQUITY
2020-11-04,109.35
2020-11-05,99.05
2020-11-06,96.95
2020-11-09,80.8
2020-11-10,69.5
2020-11-11,56.05
2020-11-12,59.9
2020-11-13,54.05
2020-11-14,52.1
2020-11-17,33.7
2020-11-18,28.0
2020-11-19,38.2
2020-11-20,39.55
2020-11-23,46.55
2020-11-24,32.6
2020-11-25,43.05
2020-11-26,32.8
2020-11-27,37.05
2020-12-01,35.7
2020-12-02,32.6
2020-12-03,34.45
2020-12-04,27.4
2020-12-07,26.15
2020-12-08,25.35
2020-12-09,17.55
2020-12-10,19.2
2020-12-11,27.25
2020-12-14,22.65
2020-12-15,27.55
2020-12-16,27.15
2020-12-17,26.75
2020-12-18,22.7
