DATES,BAF=Z0 IS EQUITY
2020-10-27,3457.2
2020-10-28,3356.35
2020-10-29,3366.95
2020-10-30,3292.4
2020-11-02,3413.8
2020-11-03,3491.15
2020-11-04,3550.55
2020-11-05,3732.15
2020-11-06,3759.25
2020-11-09,3842.85
2020-11-10,4186.4
2020-11-11,4220.85
2020-11-12,4270.5
2020-11-13,4346.75
2020-11-14,4331.8
2020-11-17,4448.85
2020-11-18,4641.35
2020-11-19,4521.6
2020-11-20,4692.6
2020-11-23,4755.55
2020-11-24,4756.9
2020-11-25,4674.2
2020-11-26,4825.0
2020-11-27,4870.6
2020-12-01,4829.85
2020-12-02,4825.35
2020-12-03,4873.8
2020-12-04,4886.0
2020-12-07,4842.55
2020-12-08,4812.75
2020-12-09,4866.95
2020-12-10,4816.65
2020-12-11,4861.55
2020-12-14,4917.95
2020-12-15,5148.2
2020-12-16,5153.1
2020-12-17,5296.35
2020-12-18,5257.85
