DATES,BHART=Z0 IS EQUITY
2020-10-27,437.05
2020-10-28,453.55
2020-10-29,453.6
2020-10-30,435.85
2020-11-02,458.35
2020-11-03,456.35
2020-11-04,455.05
2020-11-05,459.95
2020-11-06,452.95
2020-11-09,473.4
2020-11-10,469.5
2020-11-11,481.8
2020-11-12,481.65
2020-11-13,479.55
2020-11-14,481.95
2020-11-17,486.7
2020-11-18,480.4
2020-11-19,471.45
2020-11-20,486.95
2020-11-23,479.75
2020-11-24,476.65
2020-11-25,465.45
2020-11-26,470.75
2020-11-27,466.05
2020-12-01,482.0
2020-12-02,487.75
2020-12-03,483.0
2020-12-04,496.25
2020-12-07,510.25
2020-12-08,504.6
2020-12-09,505.55
2020-12-10,506.4
2020-12-11,504.9
2020-12-14,505.5
2020-12-15,505.8
2020-12-16,517.6
2020-12-17,515.5
2020-12-18,511.8
