DATES,BJFIN=Z0 IS EQUITY
2020-10-27,5709.55
2020-10-28,5675.0
2020-10-29,5647.55
2020-10-30,5610.2
2020-11-02,5740.0
2020-11-03,5782.2
2020-11-04,5826.0
2020-11-05,6109.55
2020-11-06,6331.25
2020-11-09,6315.8
2020-11-10,6738.15
2020-11-11,6971.55
2020-11-12,7054.25
2020-11-13,7304.6
2020-11-14,7345.55
2020-11-17,7410.85
2020-11-18,7830.05
2020-11-19,7857.85
2020-11-20,8563.0
2020-11-23,8721.4
2020-11-24,8823.25
2020-11-25,8669.6
2020-11-26,8835.65
2020-11-27,8803.0
2020-12-01,8789.05
2020-12-02,8854.35
2020-12-03,9173.75
2020-12-04,9098.0
2020-12-07,9099.0
2020-12-08,9021.9
2020-12-09,9060.7
2020-12-10,9078.75
2020-12-11,9033.7
2020-12-14,8977.0
2020-12-15,9334.9
2020-12-16,9285.3
2020-12-17,9328.6
2020-12-18,9259.9
