DATES,BOB=Z0 IS EQUITY
2020-10-27,43.15
2020-10-28,42.4
2020-10-29,43.25
2020-10-30,42.0
2020-11-02,45.05
2020-11-03,45.5
2020-11-04,45.45
2020-11-05,46.05
2020-11-06,46.15
2020-11-09,47.1
2020-11-10,48.55
2020-11-11,47.55
2020-11-12,46.05
2020-11-13,46.9
2020-11-14,46.9
2020-11-17,47.9
2020-11-18,49.9
2020-11-19,48.2
2020-11-20,48.45
2020-11-23,47.4
2020-11-24,47.25
2020-11-25,49.25
2020-11-26,51.5
2020-11-27,51.6
2020-12-01,53.95
2020-12-02,54.35
2020-12-03,58.65
2020-12-04,59.35
2020-12-07,60.45
2020-12-08,65.5
2020-12-09,65.6
2020-12-10,66.55
2020-12-11,65.45
2020-12-14,66.9
2020-12-15,67.35
2020-12-16,66.1
2020-12-17,63.5
2020-12-18,62.9
