DATES,BPCL=Z0 IS EQUITY
2020-10-27,350.0
2020-10-28,347.35
2020-10-29,343.55
2020-10-30,353.95
2020-11-02,347.9
2020-11-03,351.3
2020-11-04,350.5
2020-11-05,368.0
2020-11-06,363.65
2020-11-09,377.4
2020-11-10,384.0
2020-11-11,394.75
2020-11-12,395.65
2020-11-13,396.55
2020-11-14,414.1
2020-11-17,396.2
2020-11-18,385.35
2020-11-19,385.3
2020-11-20,384.95
2020-11-23,395.5
2020-11-24,390.9
2020-11-25,384.25
2020-11-26,380.15
2020-11-27,375.15
2020-12-01,381.05
2020-12-02,385.95
2020-12-03,396.55
2020-12-04,394.15
2020-12-07,396.85
2020-12-08,392.1
2020-12-09,397.25
2020-12-10,400.6
2020-12-11,398.45
2020-12-14,407.1
2020-12-15,400.05
2020-12-16,400.5
2020-12-17,395.95
2020-12-18,395.15
